#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250289,54997651,2,HOT71_gp02,SEA_EDEN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2250289,54997667,18,HOT71_gp18,SEA_EDEN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2250289,54997668,19,HOT71_gp19,SEA_EDEN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2250289,54997669,20,HOT71_gp20,SEA_EDEN_20,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2250289,54997670,21,HOT71_gp21,SEA_EDEN_21,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2250289,54997671,22,HOT71_gp22,SEA_EDEN_22,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2250289,54997672,23,HOT71_gp23,SEA_EDEN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997673,24,HOT71_gp24,SEA_EDEN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997674,25,HOT71_gp25,SEA_EDEN_25,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
2250289,54997675,26,HOT71_gp26,SEA_EDEN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997676,27,HOT71_gp27,SEA_EDEN_27,-,-,-,HicA-like toxin,protein-coding,-,-,-,HicA-like toxin,20200910,-
2250289,54997677,28,HOT71_gp28,SEA_EDEN_28,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210403,-
2250289,54997678,29,HOT71_gp29,SEA_EDEN_29,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20200910,-
2250289,54997679,30,HOT71_gp30,SEA_EDEN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997680,31,HOT71_gp31,SEA_EDEN_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997681,32,HOT71_gp32,SEA_EDEN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997682,33,HOT71_gp33,SEA_EDEN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997683,34,HOT71_gp34,SEA_EDEN_34,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210403,-
2250289,54997684,35,HOT71_gp35,SEA_EDEN_35,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210403,-
2250289,54997685,36,HOT71_gp36,SEA_EDEN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997686,37,HOT71_gp37,SEA_EDEN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997687,38,HOT71_gp38,SEA_EDEN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997688,39,HOT71_gp39,SEA_EDEN_39,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2250289,54997689,40,HOT71_gp40,SEA_EDEN_40,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2250289,54997690,41,HOT71_gp41,SEA_EDEN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997691,42,HOT71_gp42,SEA_EDEN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997692,43,HOT71_gp43,SEA_EDEN_43,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210403,-
2250289,54997693,44,HOT71_gp44,SEA_EDEN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997694,45,HOT71_gp45,SEA_EDEN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997695,46,HOT71_gp46,SEA_EDEN_46,-,-,-,SprT-like protease,protein-coding,-,-,-,SprT-like protease,20210403,-
2250289,54997696,47,HOT71_gp47,SEA_EDEN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997697,48,HOT71_gp48,SEA_EDEN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997698,49,HOT71_gp49,SEA_EDEN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997699,50,HOT71_gp50,SEA_EDEN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997700,51,HOT71_gp51,SEA_EDEN_51,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2250289,54997701,52,HOT71_gp52,SEA_EDEN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997702,53,HOT71_gp53,SEA_EDEN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997703,54,HOT71_gp54,SEA_EDEN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997704,55,HOT71_gp55,SEA_EDEN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997705,56,HOT71_gp56,SEA_EDEN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997706,57,HOT71_gp57,SEA_EDEN_57,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210403,-
2250289,54997707,58,HOT71_gp58,SEA_EDEN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997708,59,HOT71_gp59,SEA_EDEN_59,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210403,-
2250289,54997709,60,HOT71_gp60,SEA_EDEN_60,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2250289,54997710,61,HOT71_gp61,SEA_EDEN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997711,62,HOT71_gp62,SEA_EDEN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997712,63,HOT71_gp63,SEA_EDEN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997713,64,HOT71_gp64,SEA_EDEN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997714,65,HOT71_gp65,SEA_EDEN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997715,66,HOT71_gp66,SEA_EDEN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997716,67,HOT71_gp67,SEA_EDEN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997717,68,HOT71_gp68,SEA_EDEN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250289,54997718,69,HOT71_gt01,SEA_EDEN_69,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2250289,54997719,70,HOT71_gt02,SEA_EDEN_70,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2250289,54997720,71,HOT71_gt03,SEA_EDEN_71,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2250289,54997721,72,HOT71_gp69,SEA_EDEN_72,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
2250289,54997722,1,HOT71_gp01,SEA_EDEN_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
2250289,55154030,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
