#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079571,62362967,JMN87_gp62,JMN87_gp62,SEA_PIPPIN_62,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210406,-
2079571,62362990,JMN87_gp77,JMN87_gp77,SEA_PIPPIN_77,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2079571,62362991,JMN87_gp76,JMN87_gp76,SEA_PIPPIN_76,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2079571,62362992,JMN87_gp75,JMN87_gp75,SEA_PIPPIN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362993,JMN87_gp74,JMN87_gp74,SEA_PIPPIN_74,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2079571,62362994,JMN87_gp73,JMN87_gp73,SEA_PIPPIN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362995,JMN87_gp72,JMN87_gp72,SEA_PIPPIN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362996,JMN87_gp71,JMN87_gp71,SEA_PIPPIN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362997,JMN87_gp70,JMN87_gp70,SEA_PIPPIN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362998,JMN87_gp69,JMN87_gp69,SEA_PIPPIN_69,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
2079571,62362999,JMN87_gp68,JMN87_gp68,SEA_PIPPIN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363000,JMN87_gp67,JMN87_gp67,SEA_PIPPIN_67,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2079571,62363001,JMN87_gp66,JMN87_gp66,SEA_PIPPIN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363002,JMN87_gp65,JMN87_gp65,SEA_PIPPIN_65,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2079571,62363003,JMN87_gp64,JMN87_gp64,SEA_PIPPIN_64,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2079571,62363004,JMN87_gp63,JMN87_gp63,SEA_PIPPIN_63,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210417,-
2079571,62363005,JMN87_gp61,JMN87_gp61,SEA_PIPPIN_61,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2079571,62363006,JMN87_gp60,JMN87_gp60,SEA_PIPPIN_60,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
2079571,62363007,JMN87_gp59,JMN87_gp59,SEA_PIPPIN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2079571,62363008,JMN87_gp57,JMN87_gp57,SEA_PIPPIN_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2079571,62363009,JMN87_gp56,JMN87_gp56,SEA_PIPPIN_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
2079571,62363010,JMN87_gp55,JMN87_gp55,SEA_PIPPIN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363011,JMN87_gp54,JMN87_gp54,SEA_PIPPIN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363012,JMN87_gp53,JMN87_gp53,SEA_PIPPIN_53,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210123,-
2079571,62363013,JMN87_gp52,JMN87_gp52,SEA_PIPPIN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363014,JMN87_gp51,JMN87_gp51,SEA_PIPPIN_51,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2079571,62363015,JMN87_gp50,JMN87_gp50,SEA_PIPPIN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2079571,62363016,JMN87_gp49,JMN87_gp49,SEA_PIPPIN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363017,JMN87_gp48,JMN87_gp48,SEA_PIPPIN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363018,JMN87_gp47,JMN87_gp47,SEA_PIPPIN_47,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2079571,62363019,JMN87_gp46,JMN87_gp46,SEA_PIPPIN_46,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2079571,62363020,JMN87_gp45,JMN87_gp45,SEA_PIPPIN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363021,JMN87_gp44,JMN87_gp44,SEA_PIPPIN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363022,JMN87_gp43,JMN87_gp43,SEA_PIPPIN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363023,JMN87_gp42,JMN87_gp42,SEA_PIPPIN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363024,JMN87_gp41,JMN87_gp41,SEA_PIPPIN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363025,JMN87_gp40,JMN87_gp40,SEA_PIPPIN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363026,JMN87_gp39,JMN87_gp39,SEA_PIPPIN_39,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2079571,62363027,JMN87_gp38,JMN87_gp38,SEA_PIPPIN_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2079571,62363028,JMN87_gp37,JMN87_gp37,SEA_PIPPIN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363029,JMN87_gp36,JMN87_gp36,SEA_PIPPIN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363030,JMN87_gp35,JMN87_gp35,SEA_PIPPIN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363031,JMN87_gp34,JMN87_gp34,SEA_PIPPIN_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2079571,62363032,JMN87_gp33,JMN87_gp33,SEA_PIPPIN_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2079571,62363033,JMN87_gp32,JMN87_gp32,SEA_PIPPIN_32,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2079571,62363034,JMN87_gp31,JMN87_gp31,SEA_PIPPIN_31,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2079571,62363035,JMN87_gp30,JMN87_gp30,SEA_PIPPIN_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2079571,62363036,JMN87_gp29,JMN87_gp29,SEA_PIPPIN_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2079571,62363037,JMN87_gp28,JMN87_gp28,SEA_PIPPIN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363038,JMN87_gp27,JMN87_gp27,SEA_PIPPIN_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2079571,62363039,JMN87_gp25,JMN87_gp25,SEA_PIPPIN_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210406,-
2079571,62363040,JMN87_gp26,JMN87_gp26,SEA_PIPPIN_26,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2079571,62363041,JMN87_gp24,JMN87_gp24,SEA_PIPPIN_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210406,-
2079571,62363042,JMN87_gp23,JMN87_gp23,SEA_PIPPIN_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2079571,62363043,JMN87_gp22,JMN87_gp22,SEA_PIPPIN_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2079571,62363044,JMN87_gp21,JMN87_gp21,SEA_PIPPIN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2079571,62363045,JMN87_gp20,JMN87_gp20,SEA_PIPPIN_20,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2079571,62363046,JMN87_gp19,JMN87_gp19,SEA_PIPPIN_19,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210424,-
2079571,62363047,JMN87_gp18,JMN87_gp18,SEA_PIPPIN_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363048,JMN87_gp17,JMN87_gp17,SEA_PIPPIN_17,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2079571,62363049,JMN87_gp16,JMN87_gp16,SEA_PIPPIN_16,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2079571,62363050,JMN87_gp15,JMN87_gp15,SEA_PIPPIN_15,-,-,-,capsid maturation protein,protein-coding,-,-,-,capsid maturation protein,20210123,-
2079571,62363051,JMN87_gp14,JMN87_gp14,SEA_PIPPIN_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
2079571,62363052,JMN87_gp13,JMN87_gp13,SEA_PIPPIN_13,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2079571,62363053,JMN87_gp12,JMN87_gp12,SEA_PIPPIN_12,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2079571,62363054,JMN87_gp11,JMN87_gp11,SEA_PIPPIN_11,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2079571,62363055,JMN87_gp10,JMN87_gp10,SEA_PIPPIN_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2079571,62363056,JMN87_gp09,JMN87_gp09,SEA_PIPPIN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363057,JMN87_gp08,JMN87_gp08,SEA_PIPPIN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363058,JMN87_gp07,JMN87_gp07,SEA_PIPPIN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363059,JMN87_gp05,JMN87_gp05,SEA_PIPPIN_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363060,JMN87_gp04,JMN87_gp04,SEA_PIPPIN_4,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2079571,62363061,JMN87_gp03,JMN87_gp03,SEA_PIPPIN_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62363062,JMN87_gp02,JMN87_gp02,SEA_PIPPIN_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2079571,62363063,JMN87_gp01,JMN87_gp01,SEA_PIPPIN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62368961,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
