#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1279082,17825045,X916_gp02,X916_gp02,-,-,-,-,"putative terminase, large subunit",protein-coding,-,-,-,"putative terminase, large subunit",20201221,-
1279082,17825065,X916_gp22,X916_gp22,-,-,-,-,putative tail protein GpU,protein-coding,-,-,-,putative tail protein GpU,20201221,-
1279082,17825066,X916_gp23,X916_gp23,-,-,-,-,putative tail protein X,protein-coding,-,-,-,putative tail protein X,20201221,-
1279082,17825067,X916_gp24,X916_gp24,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201221,-
1279082,17825068,X916_gp25,X916_gp25,-,-,-,-,putative integrase family protein,protein-coding,-,-,-,putative integrase family protein,20201221,-
1279082,17825069,X916_gp26,X916_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825070,X916_gp27,X916_gp27,-,-,-,-,putative single-stand DNA binding protein,protein-coding,-,-,-,putative single-stand DNA binding protein,20201221,-
1279082,17825071,X916_gp28,X916_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825072,X916_gp29,X916_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825073,X916_gp30,X916_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825074,X916_gp31,X916_gp31,-,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20201221,-
1279082,17825075,X916_gp32,X916_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825076,X916_gp33,X916_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825077,X916_gp34,X916_gp34,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1279082,17825078,X916_gp35,X916_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825079,X916_gp36,X916_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825080,X916_gp37,X916_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825081,X916_gp38,X916_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825082,X916_gp39,X916_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825083,X916_gp40,X916_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825084,X916_gp41,X916_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825085,X916_gp42,X916_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825086,X916_gp43,X916_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825087,X916_gp44,X916_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825088,X916_gp45,X916_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825089,X916_gp46,X916_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825090,X916_gp47,X916_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825091,X916_gp48,X916_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825092,X916_gp49,X916_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825093,X916_gp50,X916_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825094,X916_gp51,X916_gp51,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20201221,-
1279082,17825095,X916_gp52,X916_gp52,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1279082,17825096,X916_gp53,X916_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825097,X916_gp54,X916_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825098,X916_gp55,X916_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825099,X916_gp56,X916_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825100,X916_gp57,X916_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825101,X916_gp58,X916_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825102,X916_gp59,X916_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825103,X916_gp60,X916_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825104,X916_gp61,X916_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825105,X916_gp62,X916_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825106,X916_gp63,X916_gp63,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1279082,17825107,X916_gp64,X916_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825108,X916_gp65,X916_gp65,-,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20201221,-
1279082,17825109,X916_gp66,X916_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825110,X916_gp01,X916_gp01,-,-,-,-,"putative terminase, small subunit",protein-coding,-,-,-,"putative terminase, small subunit",20201221,-
1279082,17925277,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201028,-
