#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
301207,54440093,BU25DRAFT_100067,BU25DRAFT_100067,-,-,Unknown,-,Xanthine/uracil permease,protein-coding,-,-,-,Xanthine/uracil permease,20210320,-
301207,54440162,BU25DRAFT_107441,BU25DRAFT_107441,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440163,BU25DRAFT_107655,BU25DRAFT_107655,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440164,BU25DRAFT_10778,BU25DRAFT_10778,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440165,BU25DRAFT_107807,BU25DRAFT_107807,-,-,Unknown,-,glycoside hydrolase family 79 protein,protein-coding,-,-,-,glycoside hydrolase family 79 protein,20210320,-
301207,54440166,BU25DRAFT_108099,BU25DRAFT_108099,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440167,BU25DRAFT_108162,BU25DRAFT_108162,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440168,BU25DRAFT_108193,BU25DRAFT_108193,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440169,BU25DRAFT_108276,BU25DRAFT_108276,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440170,BU25DRAFT_108284,BU25DRAFT_108284,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440171,BU25DRAFT_108295,BU25DRAFT_108295,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440172,BU25DRAFT_108316,BU25DRAFT_108316,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210320,-
301207,54440173,BU25DRAFT_108531,BU25DRAFT_108531,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440174,BU25DRAFT_108565,BU25DRAFT_108565,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440175,BU25DRAFT_109133,BU25DRAFT_109133,-,-,Unknown,-,Rft-1-domain-containing protein,protein-coding,-,-,-,Rft-1-domain-containing protein,20210320,-
301207,54440176,BU25DRAFT_109176,BU25DRAFT_109176,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440177,BU25DRAFT_109182,BU25DRAFT_109182,-,-,Unknown,-,CAP20-like protein,protein-coding,-,-,-,CAP20-like protein,20210320,-
301207,54440178,BU25DRAFT_109487,BU25DRAFT_109487,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440179,BU25DRAFT_109547,BU25DRAFT_109547,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440180,BU25DRAFT_109558,BU25DRAFT_109558,-,-,Unknown,-,DDHD-domain-containing protein,protein-coding,-,-,-,DDHD-domain-containing protein,20210320,-
301207,54440181,BU25DRAFT_109590,BU25DRAFT_109590,-,-,Unknown,-,prim-pol domain-containing protein,protein-coding,-,-,-,prim-pol domain-containing protein,20210320,-
301207,54440182,BU25DRAFT_109725,BU25DRAFT_109725,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440183,BU25DRAFT_109737,BU25DRAFT_109737,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440184,BU25DRAFT_109981,BU25DRAFT_109981,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440185,BU25DRAFT_109986,BU25DRAFT_109986,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440186,BU25DRAFT_110101,BU25DRAFT_110101,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440187,BU25DRAFT_110109,BU25DRAFT_110109,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440188,BU25DRAFT_110143,BU25DRAFT_110143,-,-,Unknown,-,Annexin,protein-coding,-,-,-,Annexin,20210320,-
301207,54440189,BU25DRAFT_110150,BU25DRAFT_110150,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440190,BU25DRAFT_110282,BU25DRAFT_110282,-,-,Unknown,-,glycosyltransferase family 32 protein,protein-coding,-,-,-,glycosyltransferase family 32 protein,20210320,-
301207,54440191,BU25DRAFT_110351,BU25DRAFT_110351,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440192,BU25DRAFT_110518,BU25DRAFT_110518,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440193,BU25DRAFT_110653,BU25DRAFT_110653,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440194,BU25DRAFT_110667,BU25DRAFT_110667,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440195,BU25DRAFT_11067,BU25DRAFT_11067,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440196,BU25DRAFT_110691,BU25DRAFT_110691,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440197,BU25DRAFT_110762,BU25DRAFT_110762,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440198,BU25DRAFT_110798,BU25DRAFT_110798,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440199,BU25DRAFT_11084,BU25DRAFT_11084,-,-,Unknown,-,cation efflux family protein family,protein-coding,-,-,-,cation efflux family protein family,20210320,-
301207,54440200,BU25DRAFT_110845,BU25DRAFT_110845,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440201,BU25DRAFT_11087,BU25DRAFT_11087,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440202,BU25DRAFT_110932,BU25DRAFT_110932,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440203,BU25DRAFT_11100,BU25DRAFT_11100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440204,BU25DRAFT_111258,BU25DRAFT_111258,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440205,BU25DRAFT_111382,BU25DRAFT_111382,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440206,BU25DRAFT_111479,BU25DRAFT_111479,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440207,BU25DRAFT_111488,BU25DRAFT_111488,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440208,BU25DRAFT_111491,BU25DRAFT_111491,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440209,BU25DRAFT_111495,BU25DRAFT_111495,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440210,BU25DRAFT_111555,BU25DRAFT_111555,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440211,BU25DRAFT_111749,BU25DRAFT_111749,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440212,BU25DRAFT_111849,BU25DRAFT_111849,-,-,Unknown,-,HET-domain-containing protein,protein-coding,-,-,-,HET-domain-containing protein,20210320,-
301207,54440213,BU25DRAFT_111954,BU25DRAFT_111954,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440214,BU25DRAFT_112017,BU25DRAFT_112017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440215,BU25DRAFT_112066,BU25DRAFT_112066,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210320,-
301207,54440216,BU25DRAFT_112075,BU25DRAFT_112075,-,-,Unknown,-,glycosyltransferase family 8 protein,protein-coding,-,-,-,glycosyltransferase family 8 protein,20210320,-
301207,54440217,BU25DRAFT_112103,BU25DRAFT_112103,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440218,BU25DRAFT_112127,BU25DRAFT_112127,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440219,BU25DRAFT_112183,BU25DRAFT_112183,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440220,BU25DRAFT_112237,BU25DRAFT_112237,-,-,Unknown,-,protein methyltransferase,protein-coding,-,-,-,protein methyltransferase,20210320,-
301207,54440221,BU25DRAFT_112278,BU25DRAFT_112278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440222,BU25DRAFT_112299,BU25DRAFT_112299,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440223,BU25DRAFT_112448,BU25DRAFT_112448,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440224,BU25DRAFT_112668,BU25DRAFT_112668,-,-,Unknown,-,BRO1-domain-containing protein,protein-coding,-,-,-,BRO1-domain-containing protein,20210320,-
301207,54440225,BU25DRAFT_112865,BU25DRAFT_112865,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440226,BU25DRAFT_112954,BU25DRAFT_112954,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440227,BU25DRAFT_113751,BU25DRAFT_113751,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440228,BU25DRAFT_113824,BU25DRAFT_113824,-,-,Unknown,-,glycoside hydrolase family 94 protein,protein-coding,-,-,-,glycoside hydrolase family 94 protein,20210320,-
301207,54440229,BU25DRAFT_1139,BU25DRAFT_1139,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440230,BU25DRAFT_113921,BU25DRAFT_113921,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440231,BU25DRAFT_113949,BU25DRAFT_113949,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440232,BU25DRAFT_113975,BU25DRAFT_113975,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440233,BU25DRAFT_114159,BU25DRAFT_114159,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440234,BU25DRAFT_114167,BU25DRAFT_114167,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210320,-
301207,54440235,BU25DRAFT_114175,BU25DRAFT_114175,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440236,BU25DRAFT_114235,BU25DRAFT_114235,-,-,Unknown,-,glycosyltransferase family 1 protein,protein-coding,-,-,-,glycosyltransferase family 1 protein,20210320,-
301207,54440237,BU25DRAFT_114983,BU25DRAFT_114983,-,-,Unknown,-,DnaJ-domain-containing protein,protein-coding,-,-,-,DnaJ-domain-containing protein,20210320,-
301207,54440238,BU25DRAFT_115012,BU25DRAFT_115012,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440239,BU25DRAFT_115090,BU25DRAFT_115090,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440240,BU25DRAFT_115126,BU25DRAFT_115126,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440241,BU25DRAFT_115286,BU25DRAFT_115286,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
301207,54440242,BU25DRAFT_115341,BU25DRAFT_115341,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440243,BU25DRAFT_115442,BU25DRAFT_115442,-,-,Unknown,-,chorismate synthase-like protein,protein-coding,-,-,-,chorismate synthase-like protein,20210320,-
301207,54440244,BU25DRAFT_115444,BU25DRAFT_115444,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440245,BU25DRAFT_11558,BU25DRAFT_11558,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440246,BU25DRAFT_11563,BU25DRAFT_11563,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440247,BU25DRAFT_115635,BU25DRAFT_115635,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440248,BU25DRAFT_115663,BU25DRAFT_115663,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440249,BU25DRAFT_115791,BU25DRAFT_115791,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440250,BU25DRAFT_115833,BU25DRAFT_115833,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440251,BU25DRAFT_115880,BU25DRAFT_115880,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440252,BU25DRAFT_115911,BU25DRAFT_115911,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440253,BU25DRAFT_115926,BU25DRAFT_115926,-,-,Unknown,-,HET-domain-containing protein,protein-coding,-,-,-,HET-domain-containing protein,20210320,-
301207,54440254,BU25DRAFT_115952,BU25DRAFT_115952,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440255,BU25DRAFT_11614,BU25DRAFT_11614,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440256,BU25DRAFT_116154,BU25DRAFT_116154,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210320,-
301207,54440257,BU25DRAFT_116223,BU25DRAFT_116223,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440258,BU25DRAFT_116465,BU25DRAFT_116465,-,-,Unknown,-,putative oxidoreductase,protein-coding,-,-,-,putative oxidoreductase,20210320,-
301207,54440259,BU25DRAFT_116562,BU25DRAFT_116562,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440260,BU25DRAFT_116677,BU25DRAFT_116677,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440261,BU25DRAFT_116817,BU25DRAFT_116817,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440262,BU25DRAFT_116869,BU25DRAFT_116869,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
301207,54440263,BU25DRAFT_116923,BU25DRAFT_116923,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210320,-
301207,54440264,BU25DRAFT_116945,BU25DRAFT_116945,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
301207,54440265,BU25DRAFT_116968,BU25DRAFT_116968,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
