#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965489,65071994,KMD25_gp02,KMD25_gp02,-,-,-,-,osmosensitive K+ channel histidine kinase,protein-coding,-,-,-,osmosensitive K+ channel histidine kinase,20210609,-
1965489,65072010,KMD25_gp18,KMD25_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072011,KMD25_gp19,KMD25_gp19,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210609,-
1965489,65072012,KMD25_gp20,KMD25_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072013,KMD25_gp21,KMD25_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072014,KMD25_gp22,KMD25_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072015,KMD25_gp23,KMD25_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072016,KMD25_gp24,KMD25_gp24,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210607,-
1965489,65072017,KMD25_gp25,KMD25_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072018,KMD25_gp26,KMD25_gp26,-,-,-,-,nuclease domain protein,protein-coding,-,-,-,nuclease domain protein,20210607,-
1965489,65072019,KMD25_gp27,KMD25_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072020,KMD25_gp28,KMD25_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072021,KMD25_gp29,KMD25_gp29,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210607,-
1965489,65072022,KMD25_gp30,KMD25_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072023,KMD25_gp31,KMD25_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072024,KMD25_gp32,KMD25_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072025,KMD25_gp33,KMD25_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072026,KMD25_gp34,KMD25_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072027,KMD25_gp35,KMD25_gp35,-,-,-,-,RinA family transcriptional regulator,protein-coding,-,-,-,RinA family transcriptional regulator,20210609,-
1965489,65072028,KMD25_gp36,KMD25_gp36,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
1965489,65072029,KMD25_gp37,KMD25_gp37,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
1965489,65072030,KMD25_gp38,KMD25_gp38,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
1965489,65072031,KMD25_gp39,KMD25_gp39,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210607,-
1965489,65072032,KMD25_gp40,KMD25_gp40,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
1965489,65072033,KMD25_gp41,KMD25_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072034,KMD25_gp42,KMD25_gp42,-,-,-,-,transcriptional terminator,protein-coding,-,-,-,transcriptional terminator,20210607,-
1965489,65072035,KMD25_gp43,KMD25_gp43,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210609,-
1965489,65072036,KMD25_gp44,KMD25_gp44,-,-,-,-,head-tail adaptor,protein-coding,-,-,-,head-tail adaptor,20210609,-
1965489,65072037,KMD25_gp45,KMD25_gp45,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210609,-
1965489,65072038,KMD25_gp46,KMD25_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1965489,65072039,KMD25_gp47,KMD25_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072040,KMD25_gp48,KMD25_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072041,KMD25_gp49,KMD25_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072042,KMD25_gp50,KMD25_gp50,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210607,-
1965489,65072043,KMD25_gp51,KMD25_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072044,KMD25_gp52,KMD25_gp52,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210607,-
1965489,65072045,KMD25_gp53,KMD25_gp53,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
1965489,65072046,KMD25_gp54,KMD25_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1965489,65072047,KMD25_gp55,KMD25_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072048,KMD25_gp56,KMD25_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1965489,65072049,KMD25_gp57,KMD25_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1965489,65072050,KMD25_gp58,KMD25_gp58,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210607,-
1965489,65072051,KMD25_gp59,KMD25_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072052,KMD25_gp60,KMD25_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072053,KMD25_gp61,KMD25_gp61,-,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
1965489,65072054,KMD25_gp62,KMD25_gp62,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210609,-
1965489,65072055,KMD25_gp63,KMD25_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1965489,65072056,KMD25_gp01,KMD25_gp01,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210609,-
1965489,65242545,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
