#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041212,40091733,FDI70_gp02,FDI70_gp02,kpv79_02,-,-,-,large subunit terminase,protein-coding,-,-,-,large subunit terminase,20201221,-
2041212,40091757,FDI70_gp26,FDI70_gp26,kpv79_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091758,FDI70_gp27,FDI70_gp27,kpv79_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091759,FDI70_gp28,FDI70_gp28,kpv79_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091760,FDI70_gp29,FDI70_gp29,kpv79_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091761,FDI70_gp30,FDI70_gp30,kpv79_30,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201221,-
2041212,40091762,FDI70_gp31,FDI70_gp31,kpv79_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091763,FDI70_gp32,FDI70_gp32,kpv79_32,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201221,-
2041212,40091764,FDI70_gp33,FDI70_gp33,kpv79_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091765,FDI70_gp34,FDI70_gp34,kpv79_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091766,FDI70_gp35,FDI70_gp35,kpv79_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091767,FDI70_gp36,FDI70_gp36,kpv79_36,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
2041212,40091768,FDI70_gp37,FDI70_gp37,kpv79_37,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20201221,-
2041212,40091769,FDI70_gp38,FDI70_gp38,kpv79_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091770,FDI70_gp39,FDI70_gp39,kpv79_39,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20210123,-
2041212,40091771,FDI70_gp40,FDI70_gp40,kpv79_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091772,FDI70_gp41,FDI70_gp41,kpv79_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091773,FDI70_gp42,FDI70_gp42,kpv79_42,-,-,-,tail fiber protein / pectate lyase superfamily protein,protein-coding,-,-,-,tail fiber protein / pectate lyase superfamily protein,20201221,-
2041212,40091774,FDI70_gp43,FDI70_gp43,kpv79_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091775,FDI70_gp44,FDI70_gp44,kpv79_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091776,FDI70_gp45,FDI70_gp45,kpv79_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091777,FDI70_gp46,FDI70_gp46,kpv79_46,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
2041212,40091778,FDI70_gp47,FDI70_gp47,kpv79_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091779,FDI70_gp48,FDI70_gp48,kpv79_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091780,FDI70_gp49,FDI70_gp49,kpv79_49,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
2041212,40091781,FDI70_gp50,FDI70_gp50,kpv79_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091782,FDI70_gp51,FDI70_gp51,kpv79_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091783,FDI70_gp52,FDI70_gp52,kpv79_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091784,FDI70_gp53,FDI70_gp53,kpv79_53,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
2041212,40091785,FDI70_gp54,FDI70_gp54,kpv79_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091786,FDI70_gp55,FDI70_gp55,kpv79_55,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
2041212,40091787,FDI70_gp56,FDI70_gp56,kpv79_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091788,FDI70_gp57,FDI70_gp57,kpv79_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091789,FDI70_gp58,FDI70_gp58,kpv79_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091790,FDI70_gp59,FDI70_gp59,kpv79_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091791,FDI70_gp60,FDI70_gp60,kpv79_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091792,FDI70_gp61,FDI70_gp61,kpv79_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091793,FDI70_gp62,FDI70_gp62,kpv79_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091794,FDI70_gp63,FDI70_gp63,kpv79_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091795,FDI70_gp64,FDI70_gp64,kpv79_64,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
2041212,40091796,FDI70_gp65,FDI70_gp65,kpv79_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091797,FDI70_gp66,FDI70_gp66,kpv79_66,-,-,-,TetR family transcriptional regulator,protein-coding,-,-,-,TetR family transcriptional regulator,20201221,-
2041212,40091798,FDI70_gp67,FDI70_gp67,kpv79_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091799,FDI70_gp68,FDI70_gp68,kpv79_68,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
2041212,40091800,FDI70_gp69,FDI70_gp69,kpv79_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091801,FDI70_gp70,FDI70_gp70,kpv79_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091802,FDI70_gp71,FDI70_gp71,kpv79_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091803,FDI70_gp72,FDI70_gp72,kpv79_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091804,FDI70_gp73,FDI70_gp73,kpv79_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091805,FDI70_gp74,FDI70_gp74,kpv79_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091806,FDI70_gp75,FDI70_gp75,kpv79_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091807,FDI70_gp01,FDI70_gp01,kpv79_01,-,-,-,small subunit terminase,protein-coding,-,-,-,small subunit terminase,20201221,-
2041212,40120492,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
