#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
319522,11459255,terL,GoPhGTE5p15,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
319522,11459694,GoPhGTE5p44,GoPhGTE5p44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459695,GoPhGTE5p45,GoPhGTE5p45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459696,GoPhGTE5p46,GoPhGTE5p46,-,-,-,-,putative DNA binding excisionase protein,protein-coding,-,-,-,putative DNA binding excisionase protein,20201220,-
319522,11459697,GoPhGTE5p47,GoPhGTE5p47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459698,GoPhGTE5p48,GoPhGTE5p48,-,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20201220,-
319522,11459699,GoPhGTE5p49,GoPhGTE5p49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459700,GoPhGTE5p50,GoPhGTE5p50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459701,GoPhGTE5p51,GoPhGTE5p51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459702,GoPhGTE5p52,GoPhGTE5p52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459703,GoPhGTE5p53,GoPhGTE5p53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459704,GoPhGTE5p54,GoPhGTE5p54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459705,GoPhGTE5p55,GoPhGTE5p55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459706,GoPhGTE5p56,GoPhGTE5p56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459707,GoPhGTE5p57,GoPhGTE5p57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459708,GoPhGTE5p58,GoPhGTE5p58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459709,GoPhGTE5p59,GoPhGTE5p59,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
319522,11459710,GoPhGTE5p60,GoPhGTE5p60,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201220,-
319522,11459711,GoPhGTE5p61,GoPhGTE5p61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459712,GoPhGTE5p62,GoPhGTE5p62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459713,GoPhGTE5p63,GoPhGTE5p63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459714,GoPhGTE5p64,GoPhGTE5p64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459715,GoPhGTE5p65,GoPhGTE5p65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459716,GoPhGTE5p66,GoPhGTE5p66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459717,GoPhGTE5p67,GoPhGTE5p67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459718,GoPhGTE5p68,GoPhGTE5p68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459719,GoPhGTE5p69,GoPhGTE5p69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459720,GoPhGTE5p70,GoPhGTE5p70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459721,GoPhGTE5p71,GoPhGTE5p71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459722,GoPhGTE5p72,GoPhGTE5p72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459723,GoPhGTE5p73,GoPhGTE5p73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459724,GoPhGTE5p74,GoPhGTE5p74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459725,GoPhGTE5p75,GoPhGTE5p75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459726,GoPhGTE5p76,GoPhGTE5p76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459727,GoPhGTE5p77,GoPhGTE5p77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459728,GoPhGTE5p78,GoPhGTE5p78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459729,GoPhGTE5p79,GoPhGTE5p79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459730,GoPhGTE5p80,GoPhGTE5p80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459731,GoPhGTE5p81,GoPhGTE5p81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459732,GoPhGTE5p82,GoPhGTE5p82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459733,GoPhGTE5p83,GoPhGTE5p83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459734,GoPhGTE5p84,GoPhGTE5p84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459735,GoPhGTE5p85,GoPhGTE5p85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459736,GoPhGTE5p86,GoPhGTE5p86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459737,GoPhGTE5p87,GoPhGTE5p87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459738,GoPhGTE5p88,GoPhGTE5p88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459739,GoPhGTE5p89,GoPhGTE5p89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459740,GoPhGTE5p90,GoPhGTE5p90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459741,GoPhGTE5p91,GoPhGTE5p91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459742,GoPhGTE5p92,GoPhGTE5p92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459743,GoPhGTE5p09,GoPhGTE5p09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459744,GoPhGTE5p10,GoPhGTE5p10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459745,GoPhGTE5p01,GoPhGTE5p01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459746,GoPhGTE5p02,GoPhGTE5p02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459747,GoPhGTE5p03,GoPhGTE5p03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459748,GoPhGTE5p04,GoPhGTE5p04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459749,GoPhGTE5p05,GoPhGTE5p05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459750,GoPhGTE5p06,GoPhGTE5p06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459751,GoPhGTE5p07,GoPhGTE5p07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459752,GoPhGTE5p08,GoPhGTE5p08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459867,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage GTE5; Gordonia terrae phage E5; Gordonia terrae phage GTE5).,other,-,-,-,-,20200513,-
