#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
754056,15013013,RHVG_00002,RHVG_00002,-,-,-,-,phage repressor,protein-coding,-,-,-,phage repressor,20201220,-
754056,15013049,RHVG_00038,RHVG_00038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013050,RHVG_00039,RHVG_00039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013051,RHVG_00040,RHVG_00040,-,-,-,-,I protein,protein-coding,-,-,-,I protein,20201220,-
754056,15013052,RHVG_00041,RHVG_00041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013053,RHVG_00042,RHVG_00042,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201220,-
754056,15013054,RHVG_00043,RHVG_00043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013055,RHVG_00044,RHVG_00044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013056,RHVG_00045,RHVG_00045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013057,RHVG_00046,RHVG_00046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013058,RHVG_00047,RHVG_00047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013059,RHVG_00048,RHVG_00048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013060,RHVG_00049,RHVG_00049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013061,RHVG_00050,RHVG_00050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013062,RHVG_00051,RHVG_00051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013063,RHVG_00052,RHVG_00052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013064,RHVG_00053,RHVG_00053,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201220,-
754056,15013065,RHVG_00054,RHVG_00054,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201220,-
754056,15013066,RHVG_00055,RHVG_00055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013067,RHVG_00056,RHVG_00056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013068,RHVG_00057,RHVG_00057,-,-,-,-,transposase,pseudo,-,-,-,-,20201220,-
754056,15013069,RHVG_00001,RHVG_00001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15102305,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
