#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296659,26797237,AXJ21_gp002,AXJ21_gp002,JIMMER1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1296659,26797265,AXJ21_gp030,AXJ21_gp030,JIMMER1_30,-,-,-,phage-like element PBSX protein,protein-coding,-,-,-,phage-like element PBSX protein,20200629,-
1296659,26797266,AXJ21_gp031,AXJ21_gp031,JIMMER1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797267,AXJ21_gp032,AXJ21_gp032,JIMMER1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797268,AXJ21_gp033,AXJ21_gp033,JIMMER1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797269,AXJ21_gp034,AXJ21_gp034,JIMMER1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797270,AXJ21_gp035,AXJ21_gp035,JIMMER1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797271,AXJ21_gp036,AXJ21_gp036,JIMMER1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797272,AXJ21_gp037,AXJ21_gp037,JIMMER1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797273,AXJ21_gp038,AXJ21_gp038,JIMMER1_38,-,-,-,mannosyl-glycoprotein endo-beta-N-acetylglucosamidase,protein-coding,-,-,-,mannosyl-glycoprotein endo-beta-N-acetylglucosamidase,20200629,-
1296659,26797274,AXJ21_gp039,AXJ21_gp039,JIMMER1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797275,AXJ21_gp040,AXJ21_gp040,JIMMER1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797276,AXJ21_gp041,AXJ21_gp041,JIMMER1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797277,AXJ21_gp042,AXJ21_gp042,JIMMER1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797278,AXJ21_gp043,AXJ21_gp043,JIMMER1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797279,AXJ21_gp044,AXJ21_gp044,JIMMER1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797280,AXJ21_gp045,AXJ21_gp045,JIMMER1_45,-,-,-,kelch repeat protein,protein-coding,-,-,-,kelch repeat protein,20200629,-
1296659,26797281,AXJ21_gp046,AXJ21_gp046,JIMMER1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797282,AXJ21_gp047,AXJ21_gp047,JIMMER1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797283,AXJ21_gp048,AXJ21_gp048,JIMMER1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797284,AXJ21_gp049,AXJ21_gp049,JIMMER1_49,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20200629,-
1296659,26797285,AXJ21_gp050,AXJ21_gp050,JIMMER1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797286,AXJ21_gp052,AXJ21_gp052,JIMMER1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797287,AXJ21_gp053,AXJ21_gp053,JIMMER1_53,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296659,26797288,AXJ21_gp054,AXJ21_gp054,JIMMER1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797289,AXJ21_gp055,AXJ21_gp055,JIMMER1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797290,AXJ21_gp056,AXJ21_gp056,JIMMER1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797291,AXJ21_gp057,AXJ21_gp057,JIMMER1_57,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296659,26797292,AXJ21_gp058,AXJ21_gp058,JIMMER1_58,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296659,26797293,AXJ21_gp059,AXJ21_gp059,JIMMER1_59,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20200629,-
1296659,26797294,AXJ21_gp060,AXJ21_gp060,JIMMER1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797295,AXJ21_gp061,AXJ21_gp061,JIMMER1_61,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296659,26797296,AXJ21_gp062,AXJ21_gp062,JIMMER1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797297,AXJ21_gp063,AXJ21_gp063,JIMMER1_63,-,-,-,Arc family DNA-binding protein,protein-coding,-,-,-,Arc family DNA-binding protein,20201221,-
1296659,26797298,AXJ21_gp064,AXJ21_gp064,JIMMER1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797299,AXJ21_gp065,AXJ21_gp065,JIMMER1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797300,AXJ21_gp066,AXJ21_gp066,JIMMER1_66,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20200629,-
1296659,26797301,AXJ21_gp067,AXJ21_gp067,JIMMER1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797302,AXJ21_gp068,AXJ21_gp068,JIMMER1_68,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20200629,-
1296659,26797303,AXJ21_gp069,AXJ21_gp069,JIMMER1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797304,AXJ21_gp070,AXJ21_gp070,JIMMER1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797305,AXJ21_gp071,AXJ21_gp071,JIMMER1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797306,AXJ21_gp072,AXJ21_gp072,JIMMER1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797307,AXJ21_gp073,AXJ21_gp073,JIMMER1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797308,AXJ21_gp074,AXJ21_gp074,JIMMER1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797309,AXJ21_gp075,AXJ21_gp075,JIMMER1_75,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200629,-
1296659,26797310,AXJ21_gp076,AXJ21_gp076,JIMMER1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797311,AXJ21_gp077,AXJ21_gp077,JIMMER1_77,-,-,-,putative prophage replication protein O,protein-coding,-,-,-,putative prophage replication protein O,20200629,-
1296659,26797312,AXJ21_gp078,AXJ21_gp078,JIMMER1_78,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20200629,-
1296659,26797313,AXJ21_gp079,AXJ21_gp079,JIMMER1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797314,AXJ21_gp080,AXJ21_gp080,JIMMER1_80,-,-,-,anti-repressor,protein-coding,-,-,-,anti-repressor,20200629,-
1296659,26797315,AXJ21_gp081,AXJ21_gp081,JIMMER1_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797316,AXJ21_gp082,AXJ21_gp082,JIMMER1_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797317,AXJ21_gp083,AXJ21_gp083,JIMMER1_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797318,AXJ21_gp084,AXJ21_gp084,JIMMER1_84,-,-,-,recombination protein U,protein-coding,-,-,-,recombination protein U,20200629,-
1296659,26797319,AXJ21_gp085,AXJ21_gp085,JIMMER1_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797320,AXJ21_gp086,AXJ21_gp086,JIMMER1_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797321,AXJ21_gp087,AXJ21_gp087,JIMMER1_87,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200629,-
1296659,26797322,AXJ21_gp088,AXJ21_gp088,JIMMER1_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797323,AXJ21_gp089,AXJ21_gp089,JIMMER1_89,-,-,-,site-specific DNA methylase,protein-coding,-,-,-,site-specific DNA methylase,20200629,-
1296659,26797324,AXJ21_gp090,AXJ21_gp090,JIMMER1_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797325,AXJ21_gp091,AXJ21_gp091,JIMMER1_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797326,AXJ21_gp092,AXJ21_gp092,JIMMER1_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797327,AXJ21_gp093,AXJ21_gp093,JIMMER1_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797328,AXJ21_gp094,AXJ21_gp094,JIMMER1_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797329,AXJ21_gp095,AXJ21_gp095,JIMMER1_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797330,AXJ21_gp096,AXJ21_gp096,JIMMER1_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797331,AXJ21_gp097,AXJ21_gp097,JIMMER1_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797332,AXJ21_gp098,AXJ21_gp098,JIMMER1_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797333,AXJ21_gp099,AXJ21_gp099,JIMMER1_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797334,AXJ21_gp100,AXJ21_gp100,JIMMER1_100,-,-,-,RNA polymerase sigma 24,protein-coding,-,-,-,RNA polymerase sigma 24,20200629,-
1296659,26797335,AXJ21_gp101,AXJ21_gp101,JIMMER1_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797336,AXJ21_gp102,AXJ21_gp102,JIMMER1_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797337,AXJ21_gp103,AXJ21_gp103,JIMMER1_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797338,AXJ21_gp051,AXJ21_gp051,JIMMER1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797339,AXJ21_gp001,AXJ21_gp001,JIMMER1_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1296659,26823824,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Paenibacillus phage Jimmer1).,other,-,-,-,-,20200513,-
