#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
221915,3293517,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage K; Staphylococcus aureus phage K; Staphylococcus phage K).,other,-,-,-,-,20200513,-
221915,19622031,CPT_phageK_gp080,CPT_phageK_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622032,CPT_phageK_gp079,CPT_phageK_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622033,CPT_phageK_gp233,CPT_phageK_gp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622034,tRNA-Phe,CPT_phageK_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
221915,19622035,tRNA-Asp,CPT_phageK_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
221915,19622036,CPT_phageK_gp191,CPT_phageK_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622037,CPT_phageK_gp002,CPT_phageK_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622038,CPT_phageK_gp003,CPT_phageK_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622039,CPT_phageK_gp004,CPT_phageK_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622040,CPT_phageK_gp005,CPT_phageK_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622041,CPT_phageK_gp006,CPT_phageK_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622042,CPT_phageK_gp007,CPT_phageK_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622043,CPT_phageK_gp008,CPT_phageK_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622044,CPT_phageK_gp009,CPT_phageK_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622045,CPT_phageK_gp010,CPT_phageK_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622046,CPT_phageK_gp011,CPT_phageK_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622047,CPT_phageK_gp012,CPT_phageK_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622048,CPT_phageK_gp013,CPT_phageK_gp013,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
221915,19622049,CPT_phageK_gp014,CPT_phageK_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622050,CPT_phageK_gp015,CPT_phageK_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622051,CPT_phageK_gp016,CPT_phageK_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622052,CPT_phageK_gp017,CPT_phageK_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622053,CPT_phageK_gp018,CPT_phageK_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622054,CPT_phageK_gp019,CPT_phageK_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622055,CPT_phageK_gp020,CPT_phageK_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622056,CPT_phageK_gp021,CPT_phageK_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622057,CPT_phageK_gp022,CPT_phageK_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622058,CPT_phageK_gp023,CPT_phageK_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622059,CPT_phageK_gp024,CPT_phageK_gp024,-,-,-,-,putative DUF1024 domain protein,protein-coding,-,-,-,putative DUF1024 domain protein,20200629,-
221915,19622060,CPT_phageK_gp025,CPT_phageK_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622061,CPT_phageK_gp026,CPT_phageK_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622062,CPT_phageK_gp027,CPT_phageK_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622063,CPT_phageK_gp028,CPT_phageK_gp028,-,-,-,-,NADAR family protein,protein-coding,-,-,-,NADAR family protein,20201220,-
221915,19622064,CPT_phageK_gp029,CPT_phageK_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622065,CPT_phageK_gp030,CPT_phageK_gp030,-,-,-,-,putative protein metallophosphatase,protein-coding,-,-,-,putative protein metallophosphatase,20201220,-
221915,19622066,CPT_phageK_gp031,CPT_phageK_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622067,CPT_phageK_gp032,CPT_phageK_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622068,tRNA-Met,CPT_phageK_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
221915,19622069,CPT_phageK_gp232,CPT_phageK_gp232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622070,CPT_phageK_gp231,CPT_phageK_gp231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622071,CPT_phageK_gp230,CPT_phageK_gp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622072,CPT_phageK_gp229,CPT_phageK_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622073,CPT_phageK_gp228,CPT_phageK_gp228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622074,CPT_phageK_gp227,CPT_phageK_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622075,CPT_phageK_gp226,CPT_phageK_gp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622076,CPT_phageK_gp225,CPT_phageK_gp225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622077,CPT_phageK_gp224,CPT_phageK_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622078,CPT_phageK_gp223,CPT_phageK_gp223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622079,CPT_phageK_gp222,CPT_phageK_gp222,-,-,-,-,ORF163,protein-coding,-,-,-,ORF163,20201220,-
221915,19622080,CPT_phageK_gp221,CPT_phageK_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622081,CPT_phageK_gp220,CPT_phageK_gp220,-,-,-,-,putative ATPase domain protein,protein-coding,-,-,-,putative ATPase domain protein,20200909,-
221915,19622082,CPT_phageK_gp219,CPT_phageK_gp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
221915,19622083,CPT_phageK_gp218,CPT_phageK_gp218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622084,CPT_phageK_gp217,CPT_phageK_gp217,-,-,-,-,DUF3310 domain-containing protein,protein-coding,-,-,-,DUF3310 domain-containing protein,20210212,-
221915,19622085,CPT_phageK_gp216,CPT_phageK_gp216,-,-,-,-,putative NTP pyrophosphohydrolase,protein-coding,-,-,-,putative NTP pyrophosphohydrolase,20200629,-
221915,19622086,CPT_phageK_gp215,CPT_phageK_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622087,CPT_phageK_gp214,CPT_phageK_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622088,CPT_phageK_gp213,CPT_phageK_gp213,-,-,-,-,PcfJ domain-containing protein,protein-coding,-,-,-,PcfJ domain-containing protein,20210212,-
221915,19622089,CPT_phageK_gp212,CPT_phageK_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622090,CPT_phageK_gp211,CPT_phageK_gp211,-,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20210403,-
221915,19622091,CPT_phageK_gp210,CPT_phageK_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622092,CPT_phageK_gp209,CPT_phageK_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622093,CPT_phageK_gp208,CPT_phageK_gp208,-,-,-,-,RNA ligase family protein,protein-coding,-,-,-,RNA ligase family protein,20210212,-
221915,19622094,CPT_phageK_gp207,CPT_phageK_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622095,CPT_phageK_gp206,CPT_phageK_gp206,-,-,-,-,PhoH family protein,protein-coding,-,-,-,PhoH family protein,20210212,-
221915,19622096,CPT_phageK_gp205,CPT_phageK_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622097,CPT_phageK_gp204,CPT_phageK_gp204,-,-,-,-,reverse transcriptase-like protein,protein-coding,-,-,-,reverse transcriptase-like protein,20210212,-
221915,19622098,CPT_phageK_gp203,CPT_phageK_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622099,CPT_phageK_gp202,CPT_phageK_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622100,CPT_phageK_gp201,CPT_phageK_gp201,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
221915,19622101,CPT_phageK_gp200,CPT_phageK_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622102,CPT_phageK_gp199,CPT_phageK_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
221915,19622103,CPT_phageK_gp198,CPT_phageK_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622104,CPT_phageK_gp197,CPT_phageK_gp197,-,-,-,-,prohibitin family protein,protein-coding,-,-,-,prohibitin family protein,20201220,-
221915,19622105,CPT_phageK_gp196,CPT_phageK_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622106,CPT_phageK_gp195,CPT_phageK_gp195,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210320,-
221915,19622107,CPT_phageK_gp194,CPT_phageK_gp194,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
221915,19622108,CPT_phageK_gp193,CPT_phageK_gp193,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
221915,19622109,CPT_phageK_gp078,CPT_phageK_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622110,CPT_phageK_gp077,CPT_phageK_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622111,CPT_phageK_gp076,CPT_phageK_gp076,-,-,-,-,putative metallophosphatase,protein-coding,-,-,-,putative metallophosphatase,20200912,-
221915,19622112,CPT_phageK_gp075,CPT_phageK_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622113,CPT_phageK_gp074,CPT_phageK_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622114,CPT_phageK_gp073,CPT_phageK_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622115,CPT_phageK_gp072,CPT_phageK_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622116,CPT_phageK_gp071,CPT_phageK_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622117,CPT_phageK_gp070,CPT_phageK_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622118,CPT_phageK_gp069,CPT_phageK_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622119,CPT_phageK_gp068,CPT_phageK_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622120,CPT_phageK_gp067,CPT_phageK_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622121,CPT_phageK_gp066,CPT_phageK_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622122,CPT_phageK_gp065,CPT_phageK_gp065,-,-,-,-,putative ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,putative ribose-phosphate pyrophosphokinase,20201220,-
221915,19622123,CPT_phageK_gp064,CPT_phageK_gp064,-,-,-,-,putative nicotinate phosphoribosyltransferase,protein-coding,-,-,-,putative nicotinate phosphoribosyltransferase,20200629,-
221915,19622124,CPT_phageK_gp063,CPT_phageK_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622125,CPT_phageK_gp062,CPT_phageK_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622126,CPT_phageK_gp061,CPT_phageK_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622127,CPT_phageK_gp060,CPT_phageK_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622128,CPT_phageK_gp059,CPT_phageK_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622129,CPT_phageK_gp058,CPT_phageK_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622130,CPT_phageK_gp057,CPT_phageK_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622131,CPT_phageK_gp056,CPT_phageK_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622132,CPT_phageK_gp055,CPT_phageK_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622133,CPT_phageK_gp054,CPT_phageK_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622134,CPT_phageK_gp053,CPT_phageK_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622135,CPT_phageK_gp052,CPT_phageK_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622136,CPT_phageK_gp051,CPT_phageK_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
