#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
31754,921252,BK5-Tp07,BK5-Tp07,-,-,-,-,major structural protein,protein-coding,-,-,-,major structural protein,20201220,-
31754,921275,BK5-Tp62,BK5-Tp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921276,BK5-Tp60,BK5-Tp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921277,BK5-Tp57,BK5-Tp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921278,BK5-Tp39,BK5-Tp39,-,-,-,-,DUF771 domain-containing protein,protein-coding,-,-,-,DUF771 domain-containing protein,20201220,-
31754,921279,BK5-Tp38,BK5-Tp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921280,BK5-Tp37,BK5-Tp37,-,-,-,-,Cro repressor,protein-coding,-,-,-,Cro repressor,20201220,-
31754,921281,BK5-Tp36,BK5-Tp36,-,-,-,-,putative transcription regulator,protein-coding,-,-,-,putative transcription regulator,20201220,-
31754,921282,BK5-Tp42,BK5-Tp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921283,BK5-Tp35,BK5-Tp35,-,-,-,-,cI repressor,protein-coding,-,-,-,cI repressor,20201220,-
31754,921284,BK5-Tp34,BK5-Tp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921285,BK5-Tp33,BK5-Tp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921286,BK5-Tp32,BK5-Tp32,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
31754,921287,BK5-Tp31,BK5-Tp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921288,BK5-Tp30,BK5-Tp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921289,BK5-Tp41,BK5-Tp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921290,BK5-Tp29,BK5-Tp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921291,BK5-Tp28,BK5-Tp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921292,BK5-Tp26,BK5-Tp26,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210417,-
31754,921293,BK5-Tp24,BK5-Tp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921294,BK5-Tp22,BK5-Tp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921295,BK5-Tp20,BK5-Tp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921296,BK5-Tp03,BK5-Tp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921297,BK5-Tp19,BK5-Tp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921298,BK5-Tp18,BK5-Tp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921299,BK5-Tp05,BK5-Tp05,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
31754,921300,BK5-Tp06,BK5-Tp06,-,-,-,-,Clp protease ClpP,protein-coding,-,-,-,Clp protease ClpP,20201220,-
31754,921301,BK5-Tp17,BK5-Tp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921302,BK5-Tp49,BK5-Tp49,-,-,-,-,putative replication protein,protein-coding,-,-,-,putative replication protein,20201220,-
31754,921303,BK5-Tp55,BK5-Tp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921304,BK5-Tp15,BK5-Tp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921305,BK5-Tp14,BK5-Tp14,-,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20201220,-
31754,921306,BK5-Tp13,BK5-Tp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921307,BK5-Tp12,BK5-Tp12,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
31754,921308,BK5-Tp11,BK5-Tp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921309,BK5-Tp10,BK5-Tp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921310,BK5-Tp09,BK5-Tp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921311,BK5-Tp08,BK5-Tp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921312,BK5-Tp23,BK5-Tp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921313,BK5-Tp27,BK5-Tp27,-,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201220,-
31754,921314,BK5-Tp25,BK5-Tp25,-,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20201220,-
31754,2829194,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage BK5-T; Lactococcus bacteriophage BK5-T; Lactococcus lactis bacteriophage BK5-T; Lactococcus lactis phage BK5-T).,other,-,-,-,-,20200513,-
