#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772296,40078360,2,FDH56_gp02,DRROBERT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772296,40078375,17,FDH56_gp17,DRROBERT_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772296,40078376,18,FDH56_gp18,DRROBERT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772296,40078377,19,FDH56_gp19,DRROBERT_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078378,20,FDH56_gp20,DRROBERT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078379,21,FDH56_gp21,DRROBERT_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210129,-
1772296,40078380,22,FDH56_gp22,DRROBERT_22,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1772296,40078381,23,FDH56_gp23,DRROBERT_23,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772296,40078382,24,FDH56_gp24,DRROBERT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078383,25,FDH56_gp25,DRROBERT_25,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1772296,40078384,26,FDH56_gp26,DRROBERT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078385,27,FDH56_gp27,DRROBERT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078386,29,FDH56_gp29,DRROBERT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078387,30,FDH56_gp30,DRROBERT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078388,31,FDH56_gp31,DRROBERT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078389,32,FDH56_gp32,DRROBERT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078390,33,FDH56_gp33,DRROBERT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078391,34,FDH56_gp34,DRROBERT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078392,35,FDH56_gp35,DRROBERT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078393,36,FDH56_gp36,DRROBERT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078394,37,FDH56_gp37,DRROBERT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078395,38,FDH56_gp38,DRROBERT_38,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1772296,40078396,39,FDH56_gp39,DRROBERT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078397,40,FDH56_gp40,DRROBERT_40,-,-,-,ABC transporter ATP binding domain protein,protein-coding,-,-,-,ABC transporter ATP binding domain protein,20201221,-
1772296,40078398,41,FDH56_gp41,DRROBERT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078399,42,FDH56_gp42,DRROBERT_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1772296,40078400,43,FDH56_gp43,DRROBERT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078401,44,FDH56_gp44,DRROBERT_44,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1772296,40078402,45,FDH56_gp45,DRROBERT_45,-,-,-,adenylsuccinate synthetase,protein-coding,-,-,-,adenylsuccinate synthetase,20201221,-
1772296,40078403,46,FDH56_gp46,DRROBERT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078404,47,FDH56_gp47,DRROBERT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078405,48,FDH56_gp48,DRROBERT_48,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20201221,-
1772296,40078406,49,FDH56_gp49,DRROBERT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078407,50,FDH56_gp50,DRROBERT_50,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772296,40078408,51,FDH56_gp51,DRROBERT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078409,52,FDH56_gp52,DRROBERT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078410,53,FDH56_gp53,DRROBERT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078411,54,FDH56_gp54,DRROBERT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078412,55,FDH56_gp55,DRROBERT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078413,56,FDH56_gp56,DRROBERT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078414,57,FDH56_gp57,DRROBERT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078415,58,FDH56_gp58,DRROBERT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078416,59,FDH56_gp59,DRROBERT_59,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1772296,40078417,28,FDH56_gp28,DRROBERT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078418,1,FDH56_gp01,DRROBERT_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40120250,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
