#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126734,54989995,HOS99_gp002,HOS99_gp002,-,-,-,-,immunodominant staphylococcal antigen A precursor,protein-coding,-,-,-,immunodominant staphylococcal antigen A precursor,20210403,-
2126734,54990062,HOS99_gp069,HOS99_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990063,HOS99_gp070,HOS99_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990064,HOS99_gp071,HOS99_gp071,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20210403,-
2126734,54990065,HOS99_gp072,HOS99_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990066,HOS99_gp073,HOS99_gp073,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20210403,-
2126734,54990067,HOS99_gp074,HOS99_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990068,HOS99_gp075,HOS99_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990069,HOS99_gp076,HOS99_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990070,HOS99_gp077,HOS99_gp077,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2126734,54990071,HOS99_gp078,HOS99_gp078,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2126734,54990072,HOS99_gp079,HOS99_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990073,HOS99_gp080,HOS99_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990074,HOS99_gp081,HOS99_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990075,HOS99_gp082,HOS99_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990076,HOS99_gp083,HOS99_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990077,HOS99_gp084,HOS99_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990078,HOS99_gp085,HOS99_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990079,HOS99_gp086,HOS99_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990080,HOS99_gp087,HOS99_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990081,HOS99_gp088,HOS99_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990082,HOS99_gp089,HOS99_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990083,HOS99_gp090,HOS99_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990084,HOS99_gp091,HOS99_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990085,HOS99_gp092,HOS99_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990086,HOS99_gp093,HOS99_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990087,HOS99_gp094,HOS99_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990088,HOS99_gp095,HOS99_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990089,HOS99_gp096,HOS99_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990090,HOS99_gp097,HOS99_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990091,HOS99_gp098,HOS99_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990092,HOS99_gp099,HOS99_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990093,HOS99_gp100,HOS99_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990094,HOS99_gp101,HOS99_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990095,HOS99_gp102,HOS99_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990096,HOS99_gp103,HOS99_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990097,HOS99_gp104,HOS99_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990098,HOS99_gp105,HOS99_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990099,HOS99_gp106,HOS99_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990100,HOS99_gp107,HOS99_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990101,HOS99_gp108,HOS99_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990102,HOS99_gp109,HOS99_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990103,HOS99_gp110,HOS99_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990104,HOS99_gp111,HOS99_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990105,HOS99_gp112,HOS99_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990106,HOS99_gp113,HOS99_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990107,HOS99_gp114,HOS99_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990108,HOS99_gp115,HOS99_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990109,HOS99_gp116,HOS99_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990110,HOS99_gp117,HOS99_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990111,HOS99_gp118,HOS99_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990112,HOS99_gp119,HOS99_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990113,HOS99_gp120,HOS99_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990114,HOS99_gp121,HOS99_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990115,HOS99_gp122,HOS99_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990116,HOS99_gp123,HOS99_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990117,HOS99_gp124,HOS99_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990118,HOS99_gp125,HOS99_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990119,HOS99_gp126,HOS99_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990120,HOS99_gp127,HOS99_gp127,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
2126734,54990121,HOS99_gp128,HOS99_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990122,HOS99_gp129,HOS99_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990123,HOS99_gp130,HOS99_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990124,HOS99_gp131,HOS99_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990125,HOS99_gp132,HOS99_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990126,HOS99_gp133,HOS99_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990127,HOS99_gp134,HOS99_gp134,-,-,-,-,GTP cyclohydrolase II,protein-coding,-,-,-,GTP cyclohydrolase II,20210403,-
2126734,54990128,HOS99_gp135,HOS99_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990129,HOS99_gp136,HOS99_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990130,HOS99_gp137,HOS99_gp137,-,-,-,-,serine/threonine protein phosphatase,protein-coding,-,-,-,serine/threonine protein phosphatase,20210403,-
2126734,54990131,HOS99_gp138,HOS99_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990132,HOS99_gp139,HOS99_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990133,HOS99_gp140,HOS99_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990134,HOS99_gp141,HOS99_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990135,HOS99_gp142,HOS99_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990136,HOS99_gp143,HOS99_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990137,HOS99_gp144,HOS99_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990138,HOS99_gp145,HOS99_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990139,HOS99_gp146,HOS99_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990140,HOS99_gp147,HOS99_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990141,HOS99_gp148,HOS99_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990142,HOS99_gp149,HOS99_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990143,HOS99_gp150,HOS99_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990144,HOS99_gp151,HOS99_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990145,HOS99_gp152,HOS99_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990146,HOS99_gp153,HOS99_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990147,HOS99_gp154,HOS99_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990148,HOS99_gp155,HOS99_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990149,HOS99_gp156,HOS99_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990150,HOS99_gp157,HOS99_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990151,HOS99_gp158,HOS99_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990152,HOS99_gp159,HOS99_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990153,HOS99_gp160,HOS99_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990154,HOS99_gp161,HOS99_gp161,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210403,-
2126734,54990155,HOS99_gp162,HOS99_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990156,HOS99_gp163,HOS99_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990157,HOS99_gp164,HOS99_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990158,HOS99_gp165,HOS99_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990159,HOS99_gp166,HOS99_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990160,HOS99_gp167,HOS99_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990161,HOS99_gp168,HOS99_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990162,HOS99_gp169,HOS99_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990163,HOS99_gp170,HOS99_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990164,HOS99_gp171,HOS99_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990165,HOS99_gp172,HOS99_gp172,-,-,-,-,putative ATPase,protein-coding,-,-,-,putative ATPase,20210403,-
2126734,54990166,HOS99_gp173,HOS99_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990167,HOS99_gp174,HOS99_gp174,-,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20210403,-
2126734,54990168,HOS99_gp175,HOS99_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990169,HOS99_gp176,HOS99_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990170,HOS99_gp177,HOS99_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990171,HOS99_gp178,HOS99_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990172,HOS99_gp179,HOS99_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990173,HOS99_gp180,HOS99_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990174,HOS99_gp181,HOS99_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990175,HOS99_gp182,HOS99_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990176,HOS99_gp183,HOS99_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990177,HOS99_gp184,HOS99_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990178,HOS99_gp185,HOS99_gp185,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2126734,54990179,HOS99_gp186,HOS99_gp186,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2126734,54990180,HOS99_gp187,HOS99_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990181,HOS99_gp188,HOS99_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990182,HOS99_gp189,HOS99_gp189,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2126734,54990183,HOS99_gp190,HOS99_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990184,HOS99_gp191,HOS99_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990185,HOS99_gp192,HOS99_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990186,HOS99_gp193,HOS99_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990187,HOS99_gp194,HOS99_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990188,HOS99_gp195,HOS99_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990189,HOS99_gp196,HOS99_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990190,HOS99_gp197,HOS99_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990191,HOS99_gp198,HOS99_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990192,HOS99_gp199,HOS99_gp199,-,-,-,-,holin,protein-coding,-,-,-,holin,20210403,-
