#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301565,60329142,3,I5H43_gp003,SEA_GIRR_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2301565,60329174,37,I5H43_gp037,SEA_GIRR_37,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
2301565,60329175,38,I5H43_gp038,SEA_GIRR_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329176,39,I5H43_gp039,SEA_GIRR_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329177,41,I5H43_gp041,SEA_GIRR_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329178,42,I5H43_gp042,SEA_GIRR_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329179,43,I5H43_gp043,SEA_GIRR_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329180,45,I5H43_gp045,SEA_GIRR_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329181,46,I5H43_gp046,SEA_GIRR_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2301565,60329182,47,I5H43_gp047,SEA_GIRR_47,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2301565,60329183,48,I5H43_gp048,SEA_GIRR_48,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210129,-
2301565,60329184,49,I5H43_gp049,SEA_GIRR_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329185,50,I5H43_gp050,SEA_GIRR_50,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2301565,60329186,51,I5H43_gp051,SEA_GIRR_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329187,52,I5H43_gp052,SEA_GIRR_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329188,53,I5H43_gp053,SEA_GIRR_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329189,54,I5H43_gp054,SEA_GIRR_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301565,60329190,55,I5H43_gp055,SEA_GIRR_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301565,60329191,56,I5H43_gp056,SEA_GIRR_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2301565,60329192,57,I5H43_gp057,SEA_GIRR_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301565,60329193,58,I5H43_gp058,SEA_GIRR_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2301565,60329194,59,I5H43_gp059,SEA_GIRR_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329195,60,I5H43_gp060,SEA_GIRR_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329196,61,I5H43_gp061,SEA_GIRR_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329197,62,I5H43_gp062,SEA_GIRR_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2301565,60329198,63,I5H43_gp063,SEA_GIRR_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2301565,60329199,64,I5H43_gp064,SEA_GIRR_64,-,-,-,DNA helicase/methylase,protein-coding,-,-,-,DNA helicase/methylase,20210424,-
2301565,60329200,65,I5H43_gp065,SEA_GIRR_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329201,66,I5H43_gp066,SEA_GIRR_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329202,67,I5H43_gp067,SEA_GIRR_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329203,68,I5H43_gp068,SEA_GIRR_68,-,-,-,PAPS reductase-like domain,protein-coding,-,-,-,PAPS reductase-like domain,20210417,-
2301565,60329204,69,I5H43_gp069,SEA_GIRR_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329205,70,I5H43_gp070,SEA_GIRR_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329206,71,I5H43_gp071,SEA_GIRR_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329207,72,I5H43_gp072,SEA_GIRR_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329208,73,I5H43_gp073,SEA_GIRR_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329209,74,I5H43_gp074,SEA_GIRR_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329210,76,I5H43_gp076,SEA_GIRR_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329211,77,I5H43_gp077,SEA_GIRR_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2301565,60329212,78,I5H43_gp078,SEA_GIRR_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329213,79,I5H43_gp079,SEA_GIRR_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329214,80,I5H43_gp080,SEA_GIRR_80,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201129,-
2301565,60329215,81,I5H43_gp081,SEA_GIRR_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329216,82,I5H43_gp082,SEA_GIRR_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329217,83,I5H43_gp083,SEA_GIRR_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329218,84,I5H43_gp084,SEA_GIRR_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329219,85,I5H43_gp085,SEA_GIRR_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329220,86,I5H43_gp086,SEA_GIRR_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329221,87,I5H43_gp087,SEA_GIRR_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329222,88,I5H43_gp088,SEA_GIRR_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329223,89,I5H43_gp089,SEA_GIRR_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329224,90,I5H43_gp090,SEA_GIRR_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329225,91,I5H43_gp091,SEA_GIRR_91,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2301565,60329226,92,I5H43_gp092,SEA_GIRR_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2301565,60329227,93,I5H43_gp093,SEA_GIRR_93,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20201129,-
2301565,60329228,94,I5H43_gt001,SEA_GIRR_94,-,-,-,tRNA,tRNA,-,-,-,-,20201129,-
2301565,60329229,95,I5H43_gp102,SEA_GIRR_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329230,96,I5H43_gp101,SEA_GIRR_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329231,97,I5H43_gp100,SEA_GIRR_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329232,98,I5H43_gp099,SEA_GIRR_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329233,99,I5H43_gp098,SEA_GIRR_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329234,100,I5H43_gp097,SEA_GIRR_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301565,60329235,101,I5H43_gp096,SEA_GIRR_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329236,102,I5H43_gp095,SEA_GIRR_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301565,60329237,103,I5H43_gp094,SEA_GIRR_103,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2301565,60329238,2,I5H43_gp002,SEA_GIRR_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2301565,60329239,28,I5H43_gp028,SEA_GIRR_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329240,33,I5H43_gp033,SEA_GIRR_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2301565,60329241,40,I5H43_gp040,SEA_GIRR_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329242,75,I5H43_gp075,SEA_GIRR_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301565,60329243,44,I5H43_gp044,SEA_GIRR_44,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2301565,60329244,1,I5H43_gp001,SEA_GIRR_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2301565,60338701,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
