#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2662297,55814351,HYQ06_gp02,HYQ06_gp02,-,-,-,-,adenine-specific methyltransferase,protein-coding,-,-,-,adenine-specific methyltransferase,20210424,-
2662297,55814375,HYQ06_gp26,HYQ06_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814376,HYQ06_gp27,HYQ06_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814377,HYQ06_gp28,HYQ06_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814378,HYQ06_gp29,HYQ06_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814379,HYQ06_gp30,HYQ06_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814380,HYQ06_gp31,HYQ06_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662297,55814381,HYQ06_gp32,HYQ06_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814382,HYQ06_gp33,HYQ06_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814383,HYQ06_gp34,HYQ06_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814384,HYQ06_gp35,HYQ06_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662297,55814385,HYQ06_gp36,HYQ06_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814386,HYQ06_gp37,HYQ06_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814387,HYQ06_gp38,HYQ06_gp38,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210424,-
2662297,55814388,HYQ06_gp39,HYQ06_gp39,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200704,-
2662297,55814389,HYQ06_gp40,HYQ06_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814390,HYQ06_gp41,HYQ06_gp41,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20200912,-
2662297,55814391,HYQ06_gp42,HYQ06_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662297,55814392,HYQ06_gp43,HYQ06_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814393,HYQ06_gp44,HYQ06_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814394,HYQ06_gp45,HYQ06_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814395,HYQ06_gp46,HYQ06_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814396,HYQ06_gp47,HYQ06_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662297,55814397,HYQ06_gp48,HYQ06_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814398,HYQ06_gp49,HYQ06_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814399,HYQ06_gp50,HYQ06_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814400,HYQ06_gp51,HYQ06_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814401,HYQ06_gp52,HYQ06_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814402,HYQ06_gp53,HYQ06_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814403,HYQ06_gp54,HYQ06_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814404,HYQ06_gp55,HYQ06_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814405,HYQ06_gp01,HYQ06_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200912,-
2662297,55863618,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
