#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1640969,26635826,AVU27_gp02,AVU27_gp02,-,-,-,-,baseplate hub protein,protein-coding,-,-,-,baseplate hub protein,20201221,-
1640969,26635874,AVU27_gp50,AVU27_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635875,AVU27_gp51,AVU27_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635876,AVU27_gp52,AVU27_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635877,AVU27_gp53,AVU27_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635878,AVU27_gp54,AVU27_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1640969,26635879,AVU27_gp55,AVU27_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635880,AVU27_gp56,AVU27_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635881,AVU27_gp57,AVU27_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635882,AVU27_gp58,AVU27_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635883,AVU27_gp59,AVU27_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635884,AVU27_gp60,AVU27_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635885,AVU27_gp61,AVU27_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635886,AVU27_gp62,AVU27_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635887,AVU27_gp63,AVU27_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635888,AVU27_gp64,AVU27_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635889,AVU27_gp65,AVU27_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635890,AVU27_gp66,AVU27_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635891,AVU27_gp67,AVU27_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635892,AVU27_gp68,AVU27_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635893,AVU27_gp69,AVU27_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635894,AVU27_gp70,AVU27_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635895,AVU27_gp71,AVU27_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635896,AVU27_gp01,AVU27_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26680796,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudomonas aeruginosa DL54 phage).,other,-,-,-,-,20200513,-
