#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
551895,6779462,phiPLPE_25,phiPLPE_25,-,-,-,-,gp25 putative head protein,protein-coding,-,-,-,gp25 putative head protein,20201220,-
551895,6779498,phiPLPE_42,phiPLPE_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779499,phiPLPE_35,phiPLPE_35,-,-,-,-,gp35 virion protein,protein-coding,-,-,-,gp35 virion protein,20201220,-
551895,6779500,phiPLPE_59,phiPLPE_59,-,-,-,-,gp59 putative baseplate protein,protein-coding,-,-,-,gp59 putative baseplate protein,20201220,-
551895,6779501,phiPLPE_65,phiPLPE_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779502,phiPLPE_52,phiPLPE_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779503,phiPLPE_84,phiPLPE_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779504,phiPLPE_27,phiPLPE_27,-,-,-,-,gp27 putative head protein,protein-coding,-,-,-,gp27 putative head protein,20201220,-
551895,6779505,dnaC,phiPLPE_05,-,-,-,-,DNA replication protein DnaC,protein-coding,-,-,-,DNA replication protein DnaC,20201220,-
551895,6779506,phiPLPE_57,phiPLPE_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779507,phiPLPE_39,phiPLPE_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779508,phiPLPE_45,phiPLPE_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779509,phiPLPE_60,phiPLPE_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779510,phiPLPE_40,phiPLPE_40,-,-,-,-,gp40 putative lipoprotein,protein-coding,-,-,-,gp40 putative lipoprotein,20201220,-
551895,6779511,phiPLPE_02,phiPLPE_02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779512,phiPLPE_80,phiPLPE_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779513,phiPLPE_72,phiPLPE_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779514,phiPLPE_22,phiPLPE_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779515,bet,phiPLPE_78,-,-,-,-,phage recombination protein Bet,protein-coding,-,-,-,phage recombination protein Bet,20201220,-
551895,6779516,phiPLPE_37,phiPLPE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779517,phiPLPE_70,phiPLPE_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779518,phiPLPE_31,phiPLPE_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779519,phiPLPE_11,phiPLPE_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779520,phiPLPE_83,phiPLPE_83,-,-,-,-,gp83 putative HNH endonuclease,protein-coding,-,-,-,gp83 putative HNH endonuclease,20201220,-
551895,6779521,phiPLPE_77,phiPLPE_77,-,-,-,-,gp77 putative tail-fiber protein,protein-coding,-,-,-,gp77 putative tail-fiber protein,20201220,-
551895,6779522,phiPLPE_48,phiPLPE_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779523,terS,phiPLPE_17,-,-,-,-,small subunit terminase TerS,protein-coding,-,-,-,small subunit terminase TerS,20201220,-
551895,6779524,phiPLPE_14,phiPLPE_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779525,phiPLPE_13,phiPLPE_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779526,phiPLPE_71,phiPLPE_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779527,phiPLPE_47,phiPLPE_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779528,phiPLPE_61,phiPLPE_61,-,-,-,-,gp61 putative baseplate protein,protein-coding,-,-,-,gp61 putative baseplate protein,20201220,-
551895,6779529,phiPLPE_24,phiPLPE_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779530,phiPLPE_67,phiPLPE_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779531,phiPLPE_30,phiPLPE_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779532,phiPLPE_49,phiPLPE_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779533,phiPLPE_07,phiPLPE_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779534,phiPLPE_29,phiPLPE_29,-,-,-,-,gp29 major capsid protein,protein-coding,-,-,-,gp29 major capsid protein,20201220,-
551895,6779535,phiPLPE_33,phiPLPE_33,-,-,-,-,gp33 putative acylhydrolase,protein-coding,-,-,-,gp33 putative acylhydrolase,20201220,-
551895,6779536,phiPLPE_74,phiPLPE_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779537,phiPLPE_09,phiPLPE_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779538,phiPLPE_19,phiPLPE_19,-,-,-,-,gp19 putative portal protein,protein-coding,-,-,-,gp19 putative portal protein,20201220,-
551895,6779539,phiPLPE_03,phiPLPE_03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779540,phiPLPE_36,phiPLPE_36,-,-,-,-,gp36 putative tail-fiber protein,protein-coding,-,-,-,gp36 putative tail-fiber protein,20201220,-
551895,6779541,phiPLPE_54,phiPLPE_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779542,phiPLPE_50,phiPLPE_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779543,phiPLPE_41,phiPLPE_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779544,recE,phiPLPE_79,-,-,-,-,RecE exonuclease VIII,protein-coding,-,-,-,RecE exonuclease VIII,20201220,-
551895,6779545,phiPLPE_21,phiPLPE_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6797459,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Iodobacteriophage phiPLPE).,other,-,-,-,-,20200513,-
