#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
722417,26041284,APL47_gp002,APL47_gp002,CPT_0002,-,-,-,Putative base plate hub assembly catalyst,protein-coding,-,-,-,Putative base plate hub assembly catalyst,20200629,-
722417,26041301,APL47_gp019,APL47_gp019,CPT_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041302,APL47_gp020,APL47_gp020,CPT_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041303,APL47_gp021,APL47_gp021,CPT_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041304,APL47_gp022,APL47_gp022,CPT_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041305,APL47_gp023,APL47_gp023,CPT_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041306,APL47_gp024,APL47_gp024,CPT_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041307,APL47_gp025,APL47_gp025,CPT_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041308,APL47_gp026,APL47_gp026,CPT_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041309,APL47_gp027,APL47_gp027,CPT_0027,-,-,-,possible virion structural protein,protein-coding,-,-,-,possible virion structural protein,20200629,-
722417,26041310,APL47_gp028,APL47_gp028,CPT_0028,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722417,26041311,APL47_gp029,APL47_gp029,CPT_0029,-,-,-,Possible EndoVII packaging and recombination endonuclease,protein-coding,-,-,-,Possible EndoVII packaging and recombination endonuclease,20200629,-
722417,26041312,APL47_gp030,APL47_gp030,CPT_0030,-,-,-,Possible phage prohead assembley initiator protein / portal protein,protein-coding,-,-,-,Possible phage prohead assembley initiator protein / portal protein,20200629,-
722417,26041313,APL47_gp031,APL47_gp031,CPT_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041314,APL47_gp032,APL47_gp032,CPT_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041315,APL47_gp033,APL47_gp033,CPT_0033,-,-,-,Possible phage DNA ligase,protein-coding,-,-,-,Possible phage DNA ligase,20200629,-
722417,26041316,APL47_gp034,APL47_gp034,CPT_0034c,-,-,-,Probable phage tail sheath protein,protein-coding,-,-,-,Probable phage tail sheath protein,20200629,-
722417,26041317,APL47_gp035,APL47_gp035,CPT_0035c,-,-,-,ISCaje1 transposase,protein-coding,-,-,-,ISCaje1 transposase,20200629,-
722417,26041318,APL47_gp036,APL47_gp036,CPT_0036c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041319,APL47_gp037,APL47_gp037,CPT_0037c,-,-,-,Possible outer wedge baseplate protein and lysozyme,protein-coding,-,-,-,Possible outer wedge baseplate protein and lysozyme,20200629,-
722417,26041320,APL47_gp038,APL47_gp038,CPT_0038c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041321,APL47_gp039,APL47_gp039,CPT_0039c,-,-,-,hypothetical phage exported protein,protein-coding,-,-,-,hypothetical phage exported protein,20200629,-
722417,26041322,APL47_gp040,APL47_gp040,CPT_0040c,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722417,26041323,APL47_gp041,APL47_gp041,CPT_0041,-,-,-,Possible phage baseplate wedge protein,protein-coding,-,-,-,Possible phage baseplate wedge protein,20200629,-
722417,26041324,APL47_gp042,APL47_gp042,CPT_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041325,APL47_gp043,APL47_gp043,CPT_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041326,APL47_gp044,APL47_gp044,CPT_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041327,APL47_gp045,APL47_gp045,CPT_0045,-,-,-,Possible phage tail tube protein,protein-coding,-,-,-,Possible phage tail tube protein,20200629,-
722417,26041328,APL47_gp046,APL47_gp046,CPT_0046,-,-,-,Possible phage head completion protein,protein-coding,-,-,-,Possible phage head completion protein,20200629,-
722417,26041329,APL47_gp047,APL47_gp047,CPT_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041330,APL47_gp048,APL47_gp048,CPT_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041331,APL47_gp049,APL47_gp049,CPT_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041332,APL47_gp050,APL47_gp050,CPT_0050,-,-,-,Possible prohead core scaffold protein,protein-coding,-,-,-,Possible prohead core scaffold protein,20200629,-
722417,26041333,APL47_gp051,APL47_gp051,CPT_0051,-,-,-,Possible phage major capsid protein,protein-coding,-,-,-,Possible phage major capsid protein,20200629,-
722417,26041334,APL47_gp052,APL47_gp052,CPT_0052,-,-,-,Possible tail sheath protein,protein-coding,-,-,-,Possible tail sheath protein,20200629,-
722417,26041335,APL47_gp053,APL47_gp053,CPT_0053,-,-,-,Possible phage tail sheath protein,protein-coding,-,-,-,Possible phage tail sheath protein,20200629,-
722417,26041336,APL47_gp054,APL47_gp054,CPT_0054c,-,-,-,Possible homing endonuclease,protein-coding,-,-,-,Possible homing endonuclease,20200629,-
722417,26041337,APL47_gp055,APL47_gp055,CPT_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041338,APL47_gp056,APL47_gp056,CPT_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041339,APL47_gp057,APL47_gp057,CPT_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041340,APL47_gp058,APL47_gp058,CPT_0058,-,-,-,Possible phage tail tube protein,protein-coding,-,-,-,Possible phage tail tube protein,20200629,-
722417,26041341,APL47_gp059,APL47_gp059,CPT_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041342,APL47_gp060,APL47_gp060,CPT_0060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041343,APL47_gp061,APL47_gp061,CPT_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041344,APL47_gp062,APL47_gp062,CPT_0062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041345,APL47_gp063,APL47_gp063,CPT_0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041346,APL47_gp064,APL47_gp064,CPT_0064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041347,APL47_gp065,APL47_gp065,CPT_0065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041348,APL47_gp066,APL47_gp066,CPT_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041349,APL47_gp067,APL47_gp067,CPT_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041350,APL47_gp068,APL47_gp068,CPT_0068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041351,APL47_gp069,APL47_gp069,CPT_0069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041352,APL47_gp070,APL47_gp070,CPT_0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041353,APL47_gp071,APL47_gp071,CPT_0071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041354,APL47_gp072,APL47_gp072,CPT_0072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041355,APL47_gp073,APL47_gp073,CPT_0073,-,-,-,Possible base plate lysozyme,protein-coding,-,-,-,Possible base plate lysozyme,20200629,-
722417,26041356,APL47_gp074,APL47_gp074,CPT_0074,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722417,26041357,APL47_gp075,APL47_gp075,CPT_0075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041358,APL47_gp076,APL47_gp076,CPT_0076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041359,APL47_gp077,APL47_gp077,CPT_0077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041360,APL47_gp078,APL47_gp078,CPT_0078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041361,APL47_gp079,APL47_gp079,CPT_0079c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041362,APL47_gp080,APL47_gp080,CPT_0080,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722417,26041363,APL47_gp081,APL47_gp081,CPT_0081,-,-,-,Radical SAM family phage protein,protein-coding,-,-,-,Radical SAM family phage protein|hypothetical phage protein (Radical SAM family),20200629,-
722417,26041364,APL47_gp082,APL47_gp082,CPT_0082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041365,APL47_gp083,APL47_gp083,CPT_0083,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722417,26041366,APL47_gp084,APL47_gp084,CPT_0084,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722417,26041367,APL47_gp085,APL47_gp085,CPT_0085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041368,APL47_gp086,APL47_gp086,CPT_0086,-,-,-,hypothetical phage protein (possible glycine amidinotransferase),protein-coding,-,-,-,hypothetical phage protein (possible glycine amidinotransferase),20200629,-
722417,26041369,APL47_gp087,APL47_gp087,CPT_0087,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722417,26041370,APL47_gp088,APL47_gp088,CPT_0088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041371,APL47_gp089,APL47_gp089,CPT_0089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041372,APL47_gp090,APL47_gp090,CPT_0090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041373,APL47_gp091,APL47_gp091,CPT_0091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041374,APL47_gp092,APL47_gp092,CPT_0092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041375,APL47_gp093,APL47_gp093,CPT_0093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041376,APL47_gp094,APL47_gp094,CPT_0094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041377,APL47_gp095,APL47_gp095,CPT_0095,-,-,-,hypothetical phage membrane,protein-coding,-,-,-,hypothetical phage membrane,20200629,-
722417,26041378,APL47_gp096,APL47_gp096,CPT_0096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041379,APL47_gp097,APL47_gp097,CPT_0097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041380,APL47_gp098,APL47_gp098,CPT_0098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041381,APL47_gp099,APL47_gp099,CPT_0099,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722417,26041382,APL47_gp100,APL47_gp100,CPT_0100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041383,APL47_gp101,APL47_gp101,CPT_0101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041384,APL47_gp102,APL47_gp102,CPT_0102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041385,APL47_gp103,APL47_gp103,CPT_0103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041386,APL47_gp104,APL47_gp104,CPT_0104c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041387,APL47_gp105,APL47_gp105,CPT_0105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041388,APL47_gp106,APL47_gp106,CPT_0106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041389,APL47_gp107,APL47_gp107,CPT_0107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041390,APL47_gp108,APL47_gp108,CPT_0108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041391,APL47_gp109,APL47_gp109,CPT_0109c,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722417,26041392,APL47_gp110,APL47_gp110,CPT_0110,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722417,26041393,APL47_gp111,APL47_gp111,CPT_0111,-,-,-,hypothetical phage lipoprotein,protein-coding,-,-,-,hypothetical phage lipoprotein,20200629,-
722417,26041394,APL47_gp112,APL47_gp112,CPT_0112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041395,APL47_gp113,APL47_gp113,CPT_0113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041396,APL47_gp114,APL47_gp114,CPT_0114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041397,APL47_gp115,APL47_gp115,CPT_0115,-,-,-,Possible phage DNA polymerase,protein-coding,-,-,-,Possible phage DNA polymerase,20200629,-
722417,26041398,APL47_gp116,APL47_gp116,CPT_0116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041399,APL47_gp117,APL47_gp117,CPT_0117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041400,APL47_gp118,APL47_gp118,CPT_0118,-,-,-,Possible phage neck protein,protein-coding,-,-,-,Possible phage neck protein,20200629,-
722417,26041401,APL47_gp119,APL47_gp119,CPT_0119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041402,APL47_gp120,APL47_gp120,CPT_0120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041403,APL47_gp121,APL47_gp121,CPT_0121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041404,APL47_gp122,APL47_gp122,CPT_0122,-,-,-,Possible sliding clamp,protein-coding,-,-,-,Possible sliding clamp,20200629,-
722417,26041405,APL47_gp123,APL47_gp123,CPT_0123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041406,APL47_gp124,APL47_gp124,CPT_0124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041407,APL47_gp125,APL47_gp125,CPT_0125,-,-,-,Possible phage ATP-dependent primase-helicase,protein-coding,-,-,-,Possible phage ATP-dependent primase-helicase,20200629,-
722417,26041408,tRNA-Arg,APL47_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
722417,26041409,APL47_gp193,APL47_gp193,CPT_0127c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041410,APL47_gp192,APL47_gp192,CPT_0128c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041411,APL47_gp191,APL47_gp191,CPT_0129c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041412,APL47_gp190,APL47_gp190,CPT_0130c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041413,APL47_gp189,APL47_gp189,CPT_0131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041414,APL47_gp188,APL47_gp188,CPT_0132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041415,APL47_gp187,APL47_gp187,CPT_0133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041416,APL47_gp186,APL47_gp186,CPT_0134,-,-,-,Probable phage ribonucleotide-diphosphate reductase alpha subunit,protein-coding,-,-,-,Probable phage ribonucleotide-diphosphate reductase alpha subunit,20200629,-
722417,26041417,APL47_gp185,APL47_gp185,CPT_0135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041418,APL47_gp184,APL47_gp184,CPT_0136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041419,APL47_gp183,APL47_gp183,CPT_0137,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722417,26041420,APL47_gp182,APL47_gp182,CPT_0138c,-,-,-,ISCaje3 transposase,protein-coding,-,-,-,ISCaje3 transposase,20200629,-
722417,26041421,APL47_gp181,APL47_gp181,CPT_0139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041422,APL47_gp180,APL47_gp180,CPT_0140,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722417,26041423,APL47_gp179,APL47_gp179,CPT_0141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041424,APL47_gp178,APL47_gp178,CPT_0142c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041425,APL47_gp177,APL47_gp177,CPT_0143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041426,APL47_gp176,APL47_gp176,CPT_0144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041427,APL47_gp175,APL47_gp175,CPT_0145,-,-,-,putative IS200/IS605 family transposase TnpA,protein-coding,-,-,-,putative IS200/IS605 family transposase TnpA,20200629,-
722417,26041428,APL47_gp174,APL47_gp174,CPT_0146,-,-,-,ISCaje4 transposase TnpB,protein-coding,-,-,-,ISCaje4 transposase TnpB,20200629,-
722417,26041429,APL47_gp173,APL47_gp173,CPT_0147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041430,uvsW,APL47_gp172,CPT_0148,-,-,-,Probable phage ATP-dependent DNA/RNA helicase (uvsW),protein-coding,-,-,-,Probable phage ATP-dependent DNA/RNA helicase (uvsW)|atp-dependent dna helicase uvsw (ec 3.6.1.-) (dar protein),20200629,-
722417,26041431,APL47_gp170,APL47_gp170,CPT_0150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041432,APL47_gp169,APL47_gp169,CPT_0151,-,-,-,Possible DNA topoisomerase (medium subunit),protein-coding,-,-,-,Possible DNA topoisomerase (medium subunit)|dna topoisomerase medium subunit (ec 5.99.1.3),20201220,-
722417,26041433,APL47_gp168,APL47_gp168,CPT_0152,-,-,-,Probable phage ClpP protease,protein-coding,-,-,-,Probable phage ClpP protease,20200629,-
722417,26041434,APL47_gp167,APL47_gp167,CPT_0153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041435,APL47_gp166,APL47_gp166,CPT_0154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041436,APL47_gp165,APL47_gp165,CPT_0155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041437,APL47_gp164,APL47_gp164,CPT_0156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041438,APL47_gp163,APL47_gp163,CPT_0157,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722417,26041439,APL47_gp162,APL47_gp162,CPT_0158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041440,APL47_gp161,APL47_gp161,CPT_0159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041441,APL47_gp160,APL47_gp160,CPT_0160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041442,APL47_gp159,APL47_gp159,CPT_0161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041443,APL47_gp158,APL47_gp158,CPT_0162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041444,APL47_gp157,APL47_gp157,CPT_0163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041445,APL47_gp156,APL47_gp156,CPT_0164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041446,APL47_gp155,APL47_gp155,CPT_0165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041447,APL47_gp154,APL47_gp154,CPT_0166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041448,APL47_gp153,APL47_gp153,CPT_0167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041449,NrdB,APL47_gp152,CPT_0168,-,-,-,Probable ribonucleotide reductase (small subunit),protein-coding,-,-,-,Probable ribonucleotide reductase (small subunit),20200629,-
722417,26041450,APL47_gp150,APL47_gp150,CPT_0170c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041451,APL47_gp149,APL47_gp149,CPT_0171c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041452,APL47_gp148,APL47_gp148,CPT_0172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041453,APL47_gp147,APL47_gp147,CPT_0173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041454,APL47_gp146,APL47_gp146,CPT_0174,-,-,-,Possible phage tail sheath completion protein,protein-coding,-,-,-,Possible phage tail sheath completion protein,20200629,-
722417,26041455,APL47_gp145,APL47_gp145,CPT_0175,-,-,-,Possible phage tail tube protein,protein-coding,-,-,-,Possible phage tail tube protein,20200629,-
722417,26041456,APL47_gp144,APL47_gp144,CPT_0176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041457,APL47_gp143,APL47_gp143,CPT_0177,-,-,-,Probable phage ssDNA binding protein,protein-coding,-,-,-,Probable phage ssDNA binding protein,20200629,-
722417,26041458,APL47_gp142,APL47_gp142,CPT_0178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041459,APL47_gp141,APL47_gp141,CPT_0179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041460,APL47_gp140,APL47_gp140,CPT_0180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041461,APL47_gp139,APL47_gp139,CPT_0181,-,-,-,Probable phage RNA ligase,protein-coding,-,-,-,Probable phage RNA ligase,20200629,-
722417,26041462,APL47_gp138,APL47_gp138,CPT_0182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041463,APL47_gp137,APL47_gp137,CPT_0183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041464,APL47_gp136,APL47_gp136,CPT_0184,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
