#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500822,24576466,ACJ78_gp02,ACJ78_gp02,PHL150M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500822,24576479,ACJ78_gp15,ACJ78_gp15,PHL150M00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500822,24576480,ACJ78_gp16,ACJ78_gp16,PHL150M00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500822,24576481,ACJ78_gp17,ACJ78_gp17,PHL150M00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576482,ACJ78_gp18,ACJ78_gp18,PHL150M00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576483,ACJ78_gp19,ACJ78_gp19,PHL150M00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500822,24576484,ACJ78_gp20,ACJ78_gp20,PHL150M00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500822,24576485,ACJ78_gp21,ACJ78_gp21,PHL150M00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500822,24576486,ACJ78_gp22,ACJ78_gp22,PHL150M00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576487,ACJ78_gp23,ACJ78_gp23,PHL150M00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500822,24576488,ACJ78_gp24,ACJ78_gp24,PHL150M00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576489,ACJ78_gp25,ACJ78_gp25,PHL150M00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576490,ACJ78_gp26,ACJ78_gp26,PHL150M00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576491,ACJ78_gp27,ACJ78_gp27,PHL150M00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576492,ACJ78_gp28,ACJ78_gp28,PHL150M00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576493,ACJ78_gp29,ACJ78_gp29,PHL150M00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576494,ACJ78_gp30,ACJ78_gp30,PHL150M00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500822,24576495,ACJ78_gp31,ACJ78_gp31,PHL150M00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500822,24576496,ACJ78_gp32,ACJ78_gp32,PHL150M00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576497,ACJ78_gp33,ACJ78_gp33,PHL150M00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500822,24576498,ACJ78_gp34,ACJ78_gp34,PHL150M00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576499,ACJ78_gp35,ACJ78_gp35,PHL150M00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576500,ACJ78_gp36,ACJ78_gp36,PHL150M00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500822,24576501,ACJ78_gp37,ACJ78_gp37,PHL150M00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576502,ACJ78_gp38,ACJ78_gp38,PHL150M00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576503,ACJ78_gp39,ACJ78_gp39,PHL150M00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576504,ACJ78_gp40,ACJ78_gp40,PHL150M00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576505,ACJ78_gp41,ACJ78_gp41,PHL150M00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576506,ACJ78_gp42,ACJ78_gp42,PHL150M00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576507,ACJ78_gp43,ACJ78_gp43,PHL150M00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576508,ACJ78_gp44,ACJ78_gp44,PHL150M00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576509,ACJ78_gp45,ACJ78_gp45,PHL150M00_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500822,24576510,ACJ78_gp01,ACJ78_gp01,PHL150M00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500822,24923461,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
