#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743931,64367612,2,KD927_gp02,SEA_RAYMOND7_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210423,-
2743931,64367661,56,KD927_gp56,SEA_RAYMOND7_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367662,57,KD927_gp57,SEA_RAYMOND7_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367663,58,KD927_gp58,SEA_RAYMOND7_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367664,59,KD927_gp59,SEA_RAYMOND7_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367665,60,KD927_gp60,SEA_RAYMOND7_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367666,63,KD927_gp63,SEA_RAYMOND7_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2743931,64367667,32,KD927_gp32,SEA_RAYMOND7_32,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210522,-
2743931,64367668,61,KD927_gp61,SEA_RAYMOND7_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367669,31,KD927_gp31,SEA_RAYMOND7_31,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210522,-
2743931,64367670,62,KD927_gp62,SEA_RAYMOND7_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367671,34,KD927_gp34,SEA_RAYMOND7_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367672,42,KD927_gp42,SEA_RAYMOND7_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367673,23,KD927_gp23,SEA_RAYMOND7_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367674,1,KD927_gp01,SEA_RAYMOND7_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64409773,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
