#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024309,40095696,FDJ03_gp001,FDJ03_gp001,Sf24_gp1,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200629,-
2024309,40095731,FDJ03_gp036,FDJ03_gp036,Sf24_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095732,FDJ03_gp037,FDJ03_gp037,Sf24_gp37,-,-,-,recombination mediator protein UvsY,protein-coding,-,-,-,recombination mediator protein UvsY,20210129,-
2024309,40095733,FDJ03_gp038,FDJ03_gp038,Sf24_gp38,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
2024309,40095734,FDJ03_gp039,FDJ03_gp039,Sf24_gp39,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
2024309,40095735,FDJ03_gp040,FDJ03_gp040,Sf24_gp40,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
2024309,40095736,FDJ03_gp041,FDJ03_gp041,Sf24_gp41,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
2024309,40095737,FDJ03_gp042,FDJ03_gp042,Sf24_gp42,-,-,-,base plate distal hub subunit,protein-coding,-,-,-,base plate distal hub subunit,20201221,-
2024309,40095738,FDJ03_gp043,FDJ03_gp043,Sf24_gp43,-,-,-,"baseplate hub subunit, tail length determinator",protein-coding,-,-,-,"baseplate hub subunit, tail length determinator",20200629,-
2024309,40095739,FDJ03_gp044,FDJ03_gp044,Sf24_gp44,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20200629,-
2024309,40095740,FDJ03_gp045,FDJ03_gp045,Sf24_gp45,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20200629,-
2024309,40095741,FDJ03_gp046,FDJ03_gp046,Sf24_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095742,FDJ03_gp047,FDJ03_gp047,Sf24_gp47,-,-,-,ADP ribosyltransferase,protein-coding,-,-,-,ADP ribosyltransferase,20200629,-
2024309,40095743,FDJ03_gp048,FDJ03_gp048,Sf24_gp48,-,-,-,ADP ribosyltransferase,protein-coding,-,-,-,ADP ribosyltransferase,20200629,-
2024309,40095744,FDJ03_gp049,FDJ03_gp049,Sf24_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095745,FDJ03_gp050,FDJ03_gp050,Sf24_gp50,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
2024309,40095746,FDJ03_gp051,FDJ03_gp051,Sf24_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095747,FDJ03_gp052,FDJ03_gp052,Sf24_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095748,FDJ03_gp053,FDJ03_gp053,Sf24_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095749,FDJ03_gp054,FDJ03_gp054,Sf24_gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095750,FDJ03_gp055,FDJ03_gp055,Sf24_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095751,FDJ03_gp056,FDJ03_gp056,Sf24_gp56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095752,FDJ03_gp057,FDJ03_gp057,Sf24_gp57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095753,FDJ03_gp058,FDJ03_gp058,Sf24_gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095754,FDJ03_gp059,FDJ03_gp059,Sf24_gp59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095755,FDJ03_gp060,FDJ03_gp060,Sf24_gp60,-,-,-,rIII lysis inhibitor,protein-coding,-,-,-,rIII lysis inhibitor,20200629,-
2024309,40095756,FDJ03_gp061,FDJ03_gp061,Sf24_gp61,-,-,-,head assembly chaperone,protein-coding,-,-,-,head assembly chaperone,20210123,-
2024309,40095757,FDJ03_gp062,FDJ03_gp062,Sf24_gp62,-,-,-,DUF2693 domain-containing protein,protein-coding,-,-,-,DUF2693 domain-containing protein,20210123,-
2024309,40095758,FDJ03_gp063,FDJ03_gp063,Sf24_gp63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095759,FDJ03_gp064,FDJ03_gp064,Sf24_gp64,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
2024309,40095760,FDJ03_gp065,FDJ03_gp065,Sf24_gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095761,FDJ03_gp066,FDJ03_gp066,Sf24_gp66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095762,FDJ03_gp067,FDJ03_gp067,Sf24_gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095763,FDJ03_gp068,FDJ03_gp068,Sf24_gp68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095764,FDJ03_gp069,FDJ03_gp069,Sf24_gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095765,FDJ03_gp070,FDJ03_gp070,Sf24_gp70,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200629,-
2024309,40095766,FDJ03_gp071,FDJ03_gp071,Sf24_gp71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095767,FDJ03_gp072,FDJ03_gp072,Sf24_gp72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095768,FDJ03_gp073,FDJ03_gp073,Sf24_gp73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095769,FDJ03_gp074,FDJ03_gp074,Sf24_gp74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095770,FDJ03_gp075,FDJ03_gp075,Sf24_gp75,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20200629,-
2024309,40095771,FDJ03_gp076,FDJ03_gp076,Sf24_gp76,-,-,-,RNA ligase A,protein-coding,-,-,-,RNA ligase A,20200629,-
2024309,40095772,FDJ03_gp077,FDJ03_gp077,Sf24_gp77,-,-,-,GIY-YIG nuclease family protein,protein-coding,-,-,-,GIY-YIG nuclease family protein,20201221,-
2024309,40095773,FDJ03_gp078,FDJ03_gp078,Sf24_gp78,-,-,-,"ribonucleoside-diphosphate reductase, small subunit",protein-coding,-,-,-,"ribonucleoside-diphosphate reductase, small subunit",20200629,-
2024309,40095774,FDJ03_gp079,FDJ03_gp079,Sf24_gp79,-,-,-,"ribonucleoside-diphosphate reductase, large subunit",protein-coding,-,-,-,"ribonucleoside-diphosphate reductase, large subunit",20200629,-
2024309,40095775,FDJ03_gp080,FDJ03_gp080,Sf24_gp80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2024309,40095776,FDJ03_gp081,FDJ03_gp081,Sf24_gp81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095777,FDJ03_gp082,FDJ03_gp082,Sf24_gp82,-,-,-,dTMP thymidylate synthase,protein-coding,-,-,-,dTMP thymidylate synthase,20200629,-
2024309,40095778,FDJ03_gp083,FDJ03_gp083,Sf24_gp83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095779,FDJ03_gp084,FDJ03_gp084,Sf24_gp84,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200629,-
2024309,40095780,FDJ03_gp085,FDJ03_gp085,Sf24_gp85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095781,FDJ03_gp086,FDJ03_gp086,Sf24_gp86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095782,FDJ03_gp087,FDJ03_gp087,Sf24_gp87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095783,FDJ03_gp088,FDJ03_gp088,Sf24_gp88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095784,FDJ03_gp089,FDJ03_gp089,Sf24_gp89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095785,FDJ03_gp090,FDJ03_gp090,Sf24_gp90,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200629,-
2024309,40095786,FDJ03_gp091,FDJ03_gp091,Sf24_gp91,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
2024309,40095787,FDJ03_gp092,FDJ03_gp092,Sf24_gp92,-,-,-,DNA replication and recombination protein,protein-coding,-,-,-,DNA replication and recombination protein,20200629,-
2024309,40095788,FDJ03_gp093,FDJ03_gp093,Sf24_gp93,-,-,-,gp33 late promoter transcription accessory protein,protein-coding,-,-,-,gp33 late promoter transcription accessory protein,20201221,-
2024309,40095789,FDJ03_gp094,FDJ03_gp094,Sf24_gp94,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20200629,-
2024309,40095790,FDJ03_gp095,FDJ03_gp095,Sf24_gp95,-,-,-,RnaseH,protein-coding,-,-,-,RnaseH,20200629,-
2024309,40095791,FDJ03_gp096,FDJ03_gp096,Sf24_gp96,-,-,-,"long tail fiber subunit, proximal",protein-coding,-,-,-,"long tail fiber subunit, proximal",20200629,-
2024309,40095792,FDJ03_gp097,FDJ03_gp097,Sf24_gp97,-,-,-,proximal hinge connector of long tail fiber,protein-coding,-,-,-,proximal hinge connector of long tail fiber,20200629,-
2024309,40095793,FDJ03_gp098,FDJ03_gp098,Sf24_gp98,-,-,-,distal hinge connector of long tail fiber,protein-coding,-,-,-,distal hinge connector of long tail fiber,20210403,-
2024309,40095794,FDJ03_gp099,FDJ03_gp099,Sf24_gp99,-,-,-,"long tail fiber subunit, distal",protein-coding,-,-,-,"long tail fiber subunit, distal",20200629,-
2024309,40095795,FDJ03_gp100,FDJ03_gp100,Sf24_gp100,-,-,-,gp100,protein-coding,-,-,-,gp100|tail fiber/host adhesion protein,20201221,-
2024309,40095796,FDJ03_gp101,FDJ03_gp101,Sf24_gp101,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
2024309,40095797,FDJ03_gp102,FDJ03_gp102,Sf24_gp102,-,-,-,AsiA anti-sigma 70 protein,protein-coding,-,-,-,AsiA anti-sigma 70 protein,20210212,-
2024309,40095798,FDJ03_gp103,FDJ03_gp103,Sf24_gp103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095799,FDJ03_gp104,FDJ03_gp104,Sf24_gp104,-,-,-,inhibitor of restriction endonuclease,protein-coding,-,-,-,inhibitor of restriction endonuclease,20200629,-
2024309,40095800,FDJ03_gp105,FDJ03_gp105,Sf24_gp105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095801,FDJ03_gp106,FDJ03_gp106,Sf24_gp106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095802,FDJ03_gp107,FDJ03_gp107,Sf24_gp107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095803,FDJ03_gp108,FDJ03_gp108,Sf24_gp108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095804,FDJ03_gp109,FDJ03_gp109,Sf24_g109,-,-,-,flagellar motor protein MotA,protein-coding,-,-,-,flagellar motor protein MotA,20201221,-
2024309,40095805,FDJ03_gp110,FDJ03_gp110,Sf24_gp110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095806,FDJ03_gp111,FDJ03_gp111,Sf24_gp111,-,-,-,"DNA gyrase, gyrA subunit",protein-coding,-,-,-,"DNA gyrase, gyrA subunit",20200629,-
2024309,40095807,FDJ03_gp112,FDJ03_gp112,Sf24_gp112,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20200629,-
2024309,40095808,FDJ03_gp113,FDJ03_gp113,Sf24_gp113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095809,FDJ03_gp114,FDJ03_gp114,Sf24_gp114,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200629,-
2024309,40095810,FDJ03_gp115,FDJ03_gp115,Sf24_gp115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095811,FDJ03_gp116,FDJ03_gp116,Sf24_gp116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095812,FDJ03_gp117,FDJ03_gp117,Sf24_gp117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095813,FDJ03_gp118,FDJ03_gp118,Sf24_gp118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095814,FDJ03_gp119,FDJ03_gp119,Sf24_gp119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095815,FDJ03_gp120,FDJ03_gp120,Sf24_gp120,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20200629,-
2024309,40095816,FDJ03_gp121,FDJ03_gp121,Sf24_gp121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095817,FDJ03_gp122,FDJ03_gp122,Sf24_gp122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095818,FDJ03_gp123,FDJ03_gp123,Sf24_gp123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095819,FDJ03_gp124,FDJ03_gp124,Sf24_gp124,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
2024309,40095820,FDJ03_gp125,FDJ03_gp125,Sf24_gp125,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
2024309,40095821,FDJ03_gp126,FDJ03_gp126,Sf24_gp126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024309,40095822,FDJ03_gp127,FDJ03_gp127,Sf24_gp127,-,-,-,"DNA gyrase, gyrB subunit",protein-coding,-,-,-,"DNA gyrase, gyrB subunit",20200629,-
2024309,40095823,FDJ03_gp128,FDJ03_gp128,Sf24_gp128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095824,FDJ03_gp129,FDJ03_gp129,Sf24_gp129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095825,FDJ03_gp130,FDJ03_gp130,Sf24_gp130,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20201221,-
2024309,40095826,FDJ03_gp131,FDJ03_gp131,Sf24_gp131,-,-,-,goF mRNA metabolism modulator,protein-coding,-,-,-,goF mRNA metabolism modulator,20200629,-
2024309,40095827,FDJ03_gp132,FDJ03_gp132,Sf24_gp132,-,-,-,cef modifier of suppressor tRNAs,protein-coding,-,-,-,cef modifier of suppressor tRNAs,20200629,-
2024309,40095828,FDJ03_gp133,FDJ03_gp133,Sf24_gp133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095829,FDJ03_gp134,FDJ03_gp134,Sf24_gp134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095830,FDJ03_gp135,FDJ03_gp135,Sf24_gp135,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20200629,-
2024309,40095831,FDJ03_gp136,FDJ03_gp136,Sf24_gp136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095832,FDJ03_gp137,FDJ03_gp137,Sf24_gp137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095833,FDJ03_gp138,FDJ03_gp138,Sf24_gp138,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200629,-
2024309,40095834,FDJ03_gp139,FDJ03_gp139,Sf24_gp139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095835,FDJ03_gp140,FDJ03_gp140,Sf24_gp140,-,-,-,dextranase,protein-coding,-,-,-,dextranase,20201221,-
2024309,40095836,FDJ03_gp141,FDJ03_gp141,Sf24_gp141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095837,FDJ03_gp142,FDJ03_gp142,Sf24_gp142,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
2024309,40095838,FDJ03_gp143,FDJ03_gp143,Sf24_gp143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095839,FDJ03_gp144,FDJ03_gp144,Sf24_gp144,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20200629,-
2024309,40095840,FDJ03_gp145,FDJ03_gp145,Sf24_gp145,-,-,-,ModA,protein-coding,-,-,-,ModA|gp145,20200629,-
2024309,40095841,FDJ03_gp146,FDJ03_gp146,Sf24_gp146,-,-,-,ModB,protein-coding,-,-,-,ModB|gp146,20200629,-
2024309,40095842,FDJ03_gp147,FDJ03_gp147,Sf24_gp147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095843,FDJ03_gp148,FDJ03_gp148,Sf24_gp148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095844,FDJ03_gp149,FDJ03_gp149,Sf24_gp149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095845,FDJ03_gp150,FDJ03_gp150,Sf24_gp150,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20200629,-
2024309,40095846,FDJ03_gp151,FDJ03_gp151,Sf24_gp151,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20200629,-
2024309,40095847,FDJ03_gp152,FDJ03_gp152,Sf24_gp152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095848,FDJ03_gp153,FDJ03_gp153,Sf24_gp153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095849,FDJ03_gp154,FDJ03_gp154,Sf24_gp154,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210123,-
2024309,40095850,FDJ03_gp155,FDJ03_gp155,Sf24_gp155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095851,FDJ03_gp156,FDJ03_gp156,Sf24_gp156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095852,FDJ03_gp157,FDJ03_gp157,Sf24_gp157,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20200629,-
2024309,40095853,FDJ03_gp158,FDJ03_gp158,Sf24_gp158,-,-,-,Dam family site-specific DNA-(adenine-N6)-methyltransferase,protein-coding,-,-,-,Dam family site-specific DNA-(adenine-N6)-methyltransferase,20210212,-
2024309,40095854,FDJ03_gp159,FDJ03_gp159,Sf24_gp159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095855,FDJ03_gp160,FDJ03_gp160,Sf24_gp160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095856,FDJ03_gp161,FDJ03_gp161,Sf24_gp161,-,-,-,"DNA primase/helicase, primase subunit",protein-coding,-,-,-,"DNA primase/helicase, primase subunit",20200629,-
2024309,40095857,FDJ03_gp162,FDJ03_gp162,Sf24_gp162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024309,40095858,FDJ03_gp163,FDJ03_gp163,Sf24_gp163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095859,FDJ03_gp164,FDJ03_gp164,Sf24_gp164,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20200629,-
2024309,40095860,FDJ03_gp165,FDJ03_gp165,Sf24_gp165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095861,FDJ03_gp166,FDJ03_gp166,Sf24_gp166,-,-,-,descriminator of mRNA degradation,protein-coding,-,-,-,descriminator of mRNA degradation,20200629,-
2024309,40095862,FDJ03_gp167,FDJ03_gp167,Sf24_gp167,-,-,-,"DNA primase/helicase, helicase subunit",protein-coding,-,-,-,"DNA primase/helicase, helicase subunit",20200629,-
2024309,40095863,FDJ03_gp168,FDJ03_gp168,Sf24_gp168,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20200629,-
