#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2776877,60328615,2,I5H38_gp02,SEA_FIREHOUSE51_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2776877,60328626,14,I5H38_gp14,SEA_FIREHOUSE51_14,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2776877,60328627,12,I5H38_gp13,SEA_FIREHOUSE51_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2776877,60328628,15,I5H38_gp15,SEA_FIREHOUSE51_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2776877,60328629,16,I5H38_gp16,SEA_FIREHOUSE51_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776877,60328630,17,I5H38_gp17,SEA_FIREHOUSE51_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776877,60328631,18,I5H38_gp18,SEA_FIREHOUSE51_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776877,60328632,19,I5H38_gp19,SEA_FIREHOUSE51_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776877,60328633,20,I5H38_gp20,SEA_FIREHOUSE51_20,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210424,-
2776877,60328634,21,I5H38_gp21,SEA_FIREHOUSE51_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776877,60328635,22,I5H38_gp22,SEA_FIREHOUSE51_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776877,60328636,23,I5H38_gp23,SEA_FIREHOUSE51_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328637,24,I5H38_gp24,SEA_FIREHOUSE51_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328638,25,I5H38_gp25,SEA_FIREHOUSE51_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328639,26,I5H38_gp26,SEA_FIREHOUSE51_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2776877,60328640,27,I5H38_gp27,SEA_FIREHOUSE51_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328641,28,I5H38_gp28,SEA_FIREHOUSE51_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328642,29,I5H38_gp29,SEA_FIREHOUSE51_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328643,30,I5H38_gp30,SEA_FIREHOUSE51_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328644,31,I5H38_gp31,SEA_FIREHOUSE51_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210529,-
2776877,60328645,32,I5H38_gp32,SEA_FIREHOUSE51_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2776877,60328646,33,I5H38_gp33,SEA_FIREHOUSE51_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2776877,60328647,34,I5H38_gp34,SEA_FIREHOUSE51_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2776877,60328648,35,I5H38_gp35,SEA_FIREHOUSE51_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328649,36,I5H38_gp36,SEA_FIREHOUSE51_36,-,-,-,DnaQ-like DNA polymerase III,protein-coding,-,-,-,DnaQ-like DNA polymerase III,20210529,-
2776877,60328650,37,I5H38_gp37,SEA_FIREHOUSE51_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328651,38,I5H38_gp38,SEA_FIREHOUSE51_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328652,39,I5H38_gp39,SEA_FIREHOUSE51_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328653,40,I5H38_gp40,SEA_FIREHOUSE51_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328654,41,I5H38_gp41,SEA_FIREHOUSE51_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328655,42,I5H38_gp42,SEA_FIREHOUSE51_42,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210529,-
2776877,60328656,43,I5H38_gp43,SEA_FIREHOUSE51_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328657,44,I5H38_gp44,SEA_FIREHOUSE51_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210529,-
2776877,60328658,45,I5H38_gp45,SEA_FIREHOUSE51_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328659,46,I5H38_gp46,SEA_FIREHOUSE51_46,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20210529,-
2776877,60328660,47,I5H38_gp47,SEA_FIREHOUSE51_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210529,-
2776877,60328661,48,I5H38_gp48,SEA_FIREHOUSE51_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328662,49,I5H38_gp49,SEA_FIREHOUSE51_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328663,50,I5H38_gp50,SEA_FIREHOUSE51_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2776877,60328664,51,I5H38_gp51,SEA_FIREHOUSE51_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2776877,60328665,52,I5H38_gp52,SEA_FIREHOUSE51_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328666,53,I5H38_gp53,SEA_FIREHOUSE51_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328667,55,I5H38_gp55,SEA_FIREHOUSE51_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328668,56,I5H38_gp56,SEA_FIREHOUSE51_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328669,57,I5H38_gp57,SEA_FIREHOUSE51_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2776877,60328670,58,I5H38_gp58,SEA_FIREHOUSE51_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2776877,60328671,59,I5H38_gp59,SEA_FIREHOUSE51_59,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210406,-
2776877,60328672,60,I5H38_gp60,SEA_FIREHOUSE51_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2776877,60328673,61,I5H38_gp61,SEA_FIREHOUSE51_61,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210406,-
2776877,60328674,62,I5H38_gp62,SEA_FIREHOUSE51_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328675,63,I5H38_gp63,SEA_FIREHOUSE51_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328676,64,I5H38_gp64,SEA_FIREHOUSE51_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328677,65,I5H38_gp65,SEA_FIREHOUSE51_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328678,66,I5H38_gp66,SEA_FIREHOUSE51_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2776877,60328679,67,I5H38_gp67,SEA_FIREHOUSE51_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2776877,60328680,68,I5H38_gp68,SEA_FIREHOUSE51_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2776877,60328681,69,I5H38_gp69,SEA_FIREHOUSE51_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328682,71,I5H38_gp71,SEA_FIREHOUSE51_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328683,72,I5H38_gp72,SEA_FIREHOUSE51_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328684,73,I5H38_gp73,SEA_FIREHOUSE51_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328685,74,I5H38_gp74,SEA_FIREHOUSE51_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328686,75,I5H38_gp75,SEA_FIREHOUSE51_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328687,76,I5H38_gp76,SEA_FIREHOUSE51_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328688,77,I5H38_gp77,SEA_FIREHOUSE51_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328689,78,I5H38_gp78,SEA_FIREHOUSE51_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328690,79,I5H38_gp79,SEA_FIREHOUSE51_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328691,80,I5H38_gp80,SEA_FIREHOUSE51_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328692,81,I5H38_gp81,SEA_FIREHOUSE51_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328693,82,I5H38_gp82,SEA_FIREHOUSE51_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328694,83,I5H38_gp83,SEA_FIREHOUSE51_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328695,84,I5H38_gp84,SEA_FIREHOUSE51_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328696,85,I5H38_gp85,SEA_FIREHOUSE51_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328697,86,I5H38_gp86,SEA_FIREHOUSE51_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328698,87,I5H38_gp87,SEA_FIREHOUSE51_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328699,89,I5H38_gp89,SEA_FIREHOUSE51_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328700,90,I5H38_gp90,SEA_FIREHOUSE51_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328701,91,I5H38_gp91,SEA_FIREHOUSE51_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328702,92,I5H38_gp92,SEA_FIREHOUSE51_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328703,93,I5H38_gp93,SEA_FIREHOUSE51_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328704,94,I5H38_gp94,SEA_FIREHOUSE51_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328705,95,I5H38_gp95,SEA_FIREHOUSE51_95,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210406,-
2776877,60328706,96,I5H38_gp96,SEA_FIREHOUSE51_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328707,97,I5H38_gp97,SEA_FIREHOUSE51_97,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210406,-
2776877,60328708,98,I5H38_gp98,SEA_FIREHOUSE51_98,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210406,-
2776877,60328709,88,I5H38_gp88,SEA_FIREHOUSE51_88,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2776877,60328710,54,I5H38_gp54,SEA_FIREHOUSE51_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776877,60328711,70,I5H38_gp70,SEA_FIREHOUSE51_70,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210212,-
2776877,60328712,1,I5H38_gp01,SEA_FIREHOUSE51_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2776877,60338919,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
