#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701810,26647186,CPT_Margaery2,CPT_Margaery2,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200910,-
1701810,26647206,CPT_Margaery22,CPT_Margaery22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647207,CPT_Margaery23,CPT_Margaery23,-,-,-,-,peptidoglycan-binding protein,protein-coding,-,-,-,peptidoglycan-binding protein,20210424,-
1701810,26647208,CPT_Margaery24,CPT_Margaery24,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
1701810,26647209,CPT_Margaery25,CPT_Margaery25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647210,CPT_Margaery26,CPT_Margaery26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647211,CPT_Margaery27,CPT_Margaery27,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
1701810,26647212,CPT_Margaery28,CPT_Margaery28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647213,CPT_Margaery29,CPT_Margaery29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647214,CPT_Margaery30,CPT_Margaery30,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200910,-
1701810,26647215,CPT_Margaery31,CPT_Margaery31,-,-,-,-,primase,protein-coding,-,-,-,primase,20200910,-
1701810,26647216,CPT_Margaery32,CPT_Margaery32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647217,CPT_Margaery33,CPT_Margaery33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647218,CPT_Margaery34,CPT_Margaery34,-,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200910,-
1701810,26647219,CPT_Margaery35,CPT_Margaery35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647220,CPT_Margaery36,CPT_Margaery36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647221,CPT_Margaery37,CPT_Margaery37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647222,CPT_Margaery38,CPT_Margaery38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647223,CPT_Margaery39,CPT_Margaery39,-,-,-,-,replication and recombination DNA helicase,protein-coding,-,-,-,replication and recombination DNA helicase,20200910,-
1701810,26647224,CPT_Margaery40,CPT_Margaery40,-,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20210424,-
1701810,26647225,CPT_Margaery41,CPT_Margaery41,-,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20200910,-
1701810,26647226,CPT_Margaery42,CPT_Margaery42,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1701810,26647227,CPT_Margaery43,CPT_Margaery43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647228,CPT_Margaery44,CPT_Margaery44,-,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200910,-
1701810,26647229,CPT_Margaery45,CPT_Margaery45,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
1701810,26647230,CPT_Margaery46,CPT_Margaery46,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
1701810,26647231,CPT_Margaery47,CPT_Margaery47,-,-,-,-,sliding clamp protein,protein-coding,-,-,-,sliding clamp protein,20200910,-
1701810,26647232,CPT_Margaery48,CPT_Margaery48,-,-,-,-,RNA polymerase-binding protein,protein-coding,-,-,-,RNA polymerase-binding protein,20200910,-
1701810,26647233,CPT_Margaery49,CPT_Margaery49,-,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20200910,-
1701810,26647234,CPT_Margaery50,CPT_Margaery50,-,-,-,-,helicase assembly protein,protein-coding,-,-,-,helicase assembly protein,20200910,-
1701810,26647235,CPT_Margaery51,CPT_Margaery51,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210327,-
1701810,26647236,CPT_Margaery52,CPT_Margaery52,-,-,-,-,dsDNA-binding protein,protein-coding,-,-,-,dsDNA-binding protein,20200910,-
1701810,26647237,CPT_Margaery53,CPT_Margaery53,-,-,-,-,RNaseH,protein-coding,-,-,-,RNaseH,20200910,-
1701810,26647238,CPT_Margaery54,CPT_Margaery54,-,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20200910,-
1701810,26647239,CPT_Margaery55,CPT_Margaery55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647240,CPT_Margaery56,CPT_Margaery56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647241,CPT_Margaery57,CPT_Margaery57,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200910,-
1701810,26647242,CPT_Margaery58,CPT_Margaery58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647243,CPT_Margaery59,CPT_Margaery59,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200910,-
1701810,26647244,CPT_Margaery60,CPT_Margaery60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647245,CPT_Margaery61,CPT_Margaery61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647246,CPT_Margaery62,CPT_Margaery62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647247,CPT_Margaery63,CPT_Margaery63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647248,CPT_Margaery64,CPT_Margaery64,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200910,-
1701810,26647249,CPT_Margaery65,CPT_Margaery65,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
1701810,26647250,CPT_Margaery66,CPT_Margaery66,-,-,-,-,ribonucleotide reductase large subunit,protein-coding,-,-,-,ribonucleotide reductase large subunit,20200910,-
1701810,26647251,CPT_Margaery67,CPT_Margaery67,-,-,-,-,ribonucleotide reductase small subunit,protein-coding,-,-,-,ribonucleotide reductase small subunit,20200910,-
1701810,26647252,CPT_Margaery68,CPT_Margaery68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1701810,26647253,CPT_Margaery69,CPT_Margaery69,-,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20200910,-
1701810,26647254,CPT_Margaery70,CPT_Margaery70,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200910,-
1701810,26647255,CPT_Margaery71,CPT_Margaery71,-,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
1701810,26647256,CPT_Margaery72,CPT_Margaery72,-,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20200910,-
1701810,26647257,CPT_Margaery73,CPT_Margaery73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647258,CPT_Margaery74,CPT_Margaery74,-,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200910,-
1701810,26647259,CPT_Margaery75,CPT_Margaery75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647260,CPT_Margaery76,CPT_Margaery76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647261,CPT_Margaery77,CPT_Margaery77,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210424,-
1701810,26647262,CPT_Margaery78,CPT_Margaery78,-,-,-,-,head assembly cochaperone protein,protein-coding,-,-,-,head assembly cochaperone protein,20200910,-
1701810,26647263,CPT_Margaery79,CPT_Margaery79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647264,CPT_Margaerygt1,CPT_Margaerygt1,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701810,26647265,CPT_Margaery80,CPT_Margaery80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647266,CPT_Margaery81,CPT_Margaery81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647267,CPT_Margaery82,CPT_Margaery82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647268,CPT_Margaery83,CPT_Margaery83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647269,CPT_Margaery84,CPT_Margaery84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647270,CPT_Margaery85,CPT_Margaery85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647271,CPT_Margaery86,CPT_Margaery86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647272,CPT_Margaery87,CPT_Margaery87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647273,CPT_Margaery88,CPT_Margaery88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647274,CPT_Margaery89,CPT_Margaery89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647275,CPT_Margaery90,CPT_Margaery90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647276,CPT_Margaery91,CPT_Margaery91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647277,CPT_Margaery92,CPT_Margaery92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647278,CPT_Margaery93,CPT_Margaery93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647279,CPT_Margaery94,CPT_Margaery94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647280,CPT_Margaery95,CPT_Margaery95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647281,CPT_Margaery96,CPT_Margaery96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647282,CPT_Margaery97,CPT_Margaery97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647283,CPT_Margaery98,CPT_Margaery98,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
1701810,26647284,CPT_Margaery99,CPT_Margaery99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647285,CPT_Margaery100,CPT_Margaery100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647286,CPT_Margaery101,CPT_Margaery101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647287,CPT_Margaery102,CPT_Margaery102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647288,CPT_Margaery103,CPT_Margaery103,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210424,-
1701810,26647289,CPT_Margaery104,CPT_Margaery104,-,-,-,-,baseplate distal hub subunit,protein-coding,-,-,-,baseplate distal hub subunit,20200910,-
1701810,26647290,CPT_Margaery105,CPT_Margaery105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647291,CPT_Margaery106,CPT_Margaery106,-,-,-,-,tail-tube assembly protein,protein-coding,-,-,-,tail-tube assembly protein,20200910,-
1701810,26647292,CPT_Margaery107,CPT_Margaery107,-,-,-,-,baseplate tail-tube initiator protein,protein-coding,-,-,-,baseplate tail-tube initiator protein,20200910,-
1701810,26647293,CPT_Margaery108,CPT_Margaery108,-,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20200910,-
1701810,26647294,CPT_Margaery109,CPT_Margaery109,-,-,-,-,baseplate hub assembly chaperone,protein-coding,-,-,-,baseplate hub assembly chaperone,20200910,-
1701810,26647295,CPT_Margaery110,CPT_Margaery110,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1701810,26647296,CPT_Margaery111,CPT_Margaery111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647297,CPT_Margaery112,CPT_Margaery112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647298,CPT_Margaery113,CPT_Margaery113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647299,CPT_Margaery114,CPT_Margaery114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647300,CPT_Margaery115,CPT_Margaery115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647301,CPT_Margaery116,CPT_Margaery116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647302,CPT_Margaery117,CPT_Margaery117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647303,CPT_Margaery118,CPT_Margaery118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647304,CPT_Margaery119,CPT_Margaery119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647305,CPT_Margaery120,CPT_Margaery120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647306,CPT_Margaery121,CPT_Margaery121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647307,CPT_Margaery122,CPT_Margaery122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647308,CPT_Margaery123,CPT_Margaery123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647309,CPT_Margaery124,CPT_Margaery124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647310,CPT_Margaery125,CPT_Margaery125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647311,CPT_Margaery126,CPT_Margaery126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647312,CPT_Margaery127,CPT_Margaery127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647313,CPT_Margaery128,CPT_Margaery128,-,-,-,-,cytosine methyltransferase,protein-coding,-,-,-,cytosine methyltransferase,20200910,-
1701810,26647314,CPT_Margaery129,CPT_Margaery129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647315,CPT_Margaery130,CPT_Margaery130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647316,CPT_Margaery131,CPT_Margaery131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647317,CPT_Margaery132,CPT_Margaery132,-,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20200910,-
1701810,26647318,CPT_Margaery133,CPT_Margaery133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647319,CPT_Margaery134,CPT_Margaery134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647320,CPT_Margaery135,CPT_Margaery135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647321,CPT_Margaery136,CPT_Margaery136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647322,CPT_Margaery137,CPT_Margaery137,-,-,-,-,bifunctional NMN adenylyltransferase/NUDIX hydrolase,protein-coding,-,-,-,bifunctional NMN adenylyltransferase/NUDIX hydrolase,20200910,-
1701810,26647323,CPT_Margaery138,CPT_Margaery138,-,-,-,-,SPFH domain-containing protein,protein-coding,-,-,-,SPFH domain-containing protein,20200910,-
1701810,26647324,CPT_Margaery139,CPT_Margaery139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647325,CPT_Margaery140,CPT_Margaery140,-,-,-,-,rI antiholin,protein-coding,-,-,-,rI antiholin,20200910,-
1701810,26647326,CPT_Margaery141,CPT_Margaery141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647327,CPT_Margaery142,CPT_Margaery142,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200910,-
1701810,26647328,CPT_Margaery143,CPT_Margaery143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647329,CPT_Margaery144,CPT_Margaery144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1701810,26647330,CPT_Margaery145,CPT_Margaery145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647331,CPT_Margaery146,CPT_Margaery146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647332,CPT_Margaery147,CPT_Margaery147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647333,CPT_Margaery148,CPT_Margaery148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647334,CPT_Margaery149,CPT_Margaery149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647335,CPT_Margaery150,CPT_Margaery150,-,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20200910,-
1701810,26647336,CPT_Margaery151,CPT_Margaery151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647337,CPT_Margaery152,CPT_Margaery152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647338,CPT_Margaery153,CPT_Margaery153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647339,CPT_Margaery154,CPT_Margaery154,-,-,-,-,PhoH domain containing protein,protein-coding,-,-,-,PhoH domain containing protein,20200910,-
1701810,26647340,CPT_Margaery155,CPT_Margaery155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647341,CPT_Margaery156,CPT_Margaery156,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210123,-
1701810,26647342,CPT_Margaery157,CPT_Margaery157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647343,CPT_Margaery158,CPT_Margaery158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647344,CPT_Margaery159,CPT_Margaery159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647345,CPT_Margaery160,CPT_Margaery160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647346,CPT_Margaery161,CPT_Margaery161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647347,CPT_Margaery162,CPT_Margaery162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647348,CPT_Margaery163,CPT_Margaery163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647349,CPT_Margaery164,CPT_Margaery164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647350,CPT_Margaery165,CPT_Margaery165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647351,CPT_Margaery166,CPT_Margaery166,-,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20210424,-
1701810,26647352,CPT_Margaery167,CPT_Margaery167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647353,CPT_Margaery168,CPT_Margaery168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647354,CPT_Margaery169,CPT_Margaery169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647355,CPT_Margaery170,CPT_Margaery170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647356,CPT_Margaery171,CPT_Margaery171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647357,CPT_Margaery172,CPT_Margaery172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647358,CPT_Margaery173,CPT_Margaery173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647359,CPT_Margaery174,CPT_Margaery174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647360,CPT_Margaery175,CPT_Margaery175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647361,CPT_Margaery176,CPT_Margaery176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647362,CPT_Margaery177,CPT_Margaery177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647363,CPT_Margaery178,CPT_Margaery178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647364,CPT_Margaery179,CPT_Margaery179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647365,CPT_Margaery180,CPT_Margaery180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647366,CPT_Margaery181,CPT_Margaery181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647367,CPT_Margaery182,CPT_Margaery182,-,-,-,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20200910,-
1701810,26647368,CPT_Margaery183,CPT_Margaery183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647369,CPT_Margaery184,CPT_Margaery184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647370,CPT_Margaery185,CPT_Margaery185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647371,CPT_Margaery186,CPT_Margaery186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647372,CPT_Margaery187,CPT_Margaery187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647373,CPT_Margaery188,CPT_Margaery188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647374,CPT_Margaery189,CPT_Margaery189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647375,CPT_Margaery190,CPT_Margaery190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647376,CPT_Margaery191,CPT_Margaery191,-,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20200910,-
1701810,26647377,CPT_Margaery192,CPT_Margaery192,-,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20200910,-
