#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2585737,65053265,KMB87_gp02,KMB87_gp02,SLUR29_00002,-,1,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210608,-
2585737,65053299,KMB87_gp37,KMB87_gp37,SLUR29_00037,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053300,KMB87_gp38,KMB87_gp38,SLUR29_00038,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053301,KMB87_gp39,KMB87_gp39,SLUR29_00039,-,1,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210608,-
2585737,65053302,KMB87_gp40,KMB87_gp40,SLUR29_00040,-,1,-,putative holin,protein-coding,-,-,-,putative holin,20210608,-
2585737,65053303,KMB87_gp41,KMB87_gp41,SLUR29_00041,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053304,KMB87_gp42,KMB87_gp42,SLUR29_00042,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053305,KMB87_gp43,KMB87_gp43,SLUR29_00043,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053306,KMB87_gp44,KMB87_gp44,SLUR29_00044,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053307,dam,KMB87_gp45,SLUR29_00045,-,1,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210608,-
2585737,65053308,KMB87_gp47,KMB87_gp47,SLUR29_00047,-,1,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210608,-
2585737,65053309,KMB87_gp48,KMB87_gp48,SLUR29_00048,-,1,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210608,-
2585737,65053310,KMB87_gp49,KMB87_gp49,SLUR29_00049,-,1,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2585737,65053311,stf,KMB87_gp50,SLUR29_00050,-,1,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210608,-
2585737,65053312,KMB87_gp52,KMB87_gp52,SLUR29_00052,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053313,KMB87_gp53,KMB87_gp53,SLUR29_00053,-,1,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210608,-
2585737,65053314,KMB87_gp54,KMB87_gp54,SLUR29_00054,-,1,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210608,-
2585737,65053315,KMB87_gp55,KMB87_gp55,SLUR29_00055,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053316,KMB87_gp56,KMB87_gp56,SLUR29_00056,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053317,KMB87_gp57,KMB87_gp57,SLUR29_00057,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053318,KMB87_gp58,KMB87_gp58,SLUR29_00058,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053319,KMB87_gp59,KMB87_gp59,SLUR29_00059,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053320,tspJ,KMB87_gp60,SLUR29_00060,-,1,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210608,-
2585737,65053321,KMB87_gp62,KMB87_gp62,SLUR29_00062,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053322,thmL,KMB87_gp63,SLUR29_00063,-,1,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2585737,65053323,KMB87_gp65,KMB87_gp65,SLUR29_00065,-,1,-,tail tape-measure protein,protein-coding,-,-,-,tail tape-measure protein,20210608,-
2585737,65053324,tfmA,KMB87_gp66,SLUR29_00066,-,1,-,putative tape measure chaperone protein,protein-coding,-,-,-,putative tape measure chaperone protein,20210608,-
2585737,65053325,KMB87_gp68,KMB87_gp68,SLUR29_00068,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053326,KMB87_gp69,KMB87_gp69,SLUR29_00069,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053327,KMB87_gp70,KMB87_gp70,SLUR29_00070,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053328,KMB87_gp71,KMB87_gp71,SLUR29_00071,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053329,KMB87_gp72,KMB87_gp72,SLUR29_00072,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053330,hsbB,KMB87_gp73,SLUR29_00073,-,1,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2585737,65053331,KMB87_gp75,KMB87_gp75,SLUR29_00075,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053332,KMB87_gp76,KMB87_gp76,SLUR29_00076,-,1,-,putative head protein,protein-coding,-,-,-,putative head protein,20210608,-
2585737,65053333,KMB87_gp77,KMB87_gp77,SLUR29_00077,-,1,-,phage head morphogenesis protein,protein-coding,-,-,-,phage head morphogenesis protein,20210608,-
2585737,65053334,KMB87_gp78,KMB87_gp78,SLUR29_00078,-,1,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210608,-
2585737,65053335,KMB87_gp46,KMB87_gp46,SLUR29_00046,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053336,KMB87_gp33,KMB87_gp33,SLUR29_00033,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053337,KMB87_gp74,KMB87_gp74,SLUR29_00074,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053338,KMB87_gp51,KMB87_gp51,SLUR29_00051,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053339,KMB87_gp67,KMB87_gp67,SLUR29_00067,-,1,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2585737,65053340,KMB87_gp64,KMB87_gp64,SLUR29_00064,-,1,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2585737,65053341,KMB87_gp61,KMB87_gp61,SLUR29_00061,-,1,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210608,-
2585737,65053342,KMB87_gp01,KMB87_gp01,SLUR29_00001,-,1,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2585737,65243139,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
