#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527580,23680065,PBI_INVENTUM_2,PBI_INVENTUM_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1527580,23680076,PBI_INVENTUM_14,PBI_INVENTUM_14,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1527580,23680077,PBI_INVENTUM_12,PBI_INVENTUM_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1527580,23680078,PBI_INVENTUM_15,PBI_INVENTUM_15,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1527580,23680079,PBI_INVENTUM_16,PBI_INVENTUM_16,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1527580,23680080,PBI_INVENTUM_17,PBI_INVENTUM_17,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1527580,23680081,PBI_INVENTUM_18,PBI_INVENTUM_18,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1527580,23680082,PBI_INVENTUM_19,PBI_INVENTUM_19,-,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210424,-
1527580,23680083,PBI_INVENTUM_20,PBI_INVENTUM_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1527580,23680084,PBI_INVENTUM_21,PBI_INVENTUM_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680085,PBI_INVENTUM_22,PBI_INVENTUM_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680086,PBI_INVENTUM_23,PBI_INVENTUM_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680087,PBI_INVENTUM_24,PBI_INVENTUM_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680088,PBI_INVENTUM_25,PBI_INVENTUM_25,-,-,-,-,helix-turn-helix domain protein,protein-coding,-,-,-,helix-turn-helix domain protein,20201221,-
1527580,23680089,PBI_INVENTUM_26,PBI_INVENTUM_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680090,PBI_INVENTUM_27,PBI_INVENTUM_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680091,PBI_INVENTUM_28,PBI_INVENTUM_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680092,PBI_INVENTUM_29,PBI_INVENTUM_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680093,PBI_INVENTUM_30,PBI_INVENTUM_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1527580,23680094,PBI_INVENTUM_31,PBI_INVENTUM_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1527580,23680095,PBI_INVENTUM_32,PBI_INVENTUM_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1527580,23680096,PBI_INVENTUM_33,PBI_INVENTUM_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680097,PBI_INVENTUM_34,PBI_INVENTUM_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680098,PBI_INVENTUM_35,PBI_INVENTUM_35,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
1527580,23680099,PBI_INVENTUM_36,PBI_INVENTUM_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680100,PBI_INVENTUM_37,PBI_INVENTUM_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680101,PBI_INVENTUM_38,PBI_INVENTUM_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680102,PBI_INVENTUM_39,PBI_INVENTUM_39,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210123,-
1527580,23680103,PBI_INVENTUM_40,PBI_INVENTUM_40,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
1527580,23680104,PBI_INVENTUM_41,PBI_INVENTUM_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680105,PBI_INVENTUM_42,PBI_INVENTUM_42,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1527580,23680106,PBI_INVENTUM_43,PBI_INVENTUM_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680107,PBI_INVENTUM_44,PBI_INVENTUM_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680108,PBI_INVENTUM_45,PBI_INVENTUM_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1527580,23680109,PBI_INVENTUM_46,PBI_INVENTUM_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680110,PBI_INVENTUM_47,PBI_INVENTUM_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680111,PBI_INVENTUM_48,PBI_INVENTUM_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680112,PBI_INVENTUM_49,PBI_INVENTUM_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680113,PBI_INVENTUM_50,PBI_INVENTUM_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680114,PBI_INVENTUM_51,PBI_INVENTUM_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1527580,23680115,PBI_INVENTUM_52,PBI_INVENTUM_52,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201221,-
1527580,23680116,PBI_INVENTUM_53,PBI_INVENTUM_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680117,PBI_INVENTUM_54,PBI_INVENTUM_54,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210403,-
1527580,23680118,PBI_INVENTUM_55,PBI_INVENTUM_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680119,PBI_INVENTUM_56,PBI_INVENTUM_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680120,PBI_INVENTUM_57,PBI_INVENTUM_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680121,PBI_INVENTUM_58,PBI_INVENTUM_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680122,PBI_INVENTUM_59,PBI_INVENTUM_59,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20210123,-
1527580,23680123,PBI_INVENTUM_60,PBI_INVENTUM_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680124,PBI_INVENTUM_61,PBI_INVENTUM_61,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1527580,23680125,PBI_INVENTUM_62,PBI_INVENTUM_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1527580,23680126,PBI_INVENTUM_63,PBI_INVENTUM_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680127,PBI_INVENTUM_64,PBI_INVENTUM_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680128,PBI_INVENTUM_65,PBI_INVENTUM_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680129,PBI_INVENTUM_66,PBI_INVENTUM_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1527580,23680130,PBI_INVENTUM_67,PBI_INVENTUM_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680131,PBI_INVENTUM_68,PBI_INVENTUM_68,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1527580,23680132,PBI_INVENTUM_69,PBI_INVENTUM_69,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1527580,23680133,PBI_INVENTUM_70,PBI_INVENTUM_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680134,PBI_INVENTUM_71,PBI_INVENTUM_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680135,PBI_INVENTUM_72,PBI_INVENTUM_72,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
1527580,23680136,PBI_INVENTUM_73,PBI_INVENTUM_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680137,PBI_INVENTUM_74,PBI_INVENTUM_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680138,PBI_INVENTUM_75,PBI_INVENTUM_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680139,PBI_INVENTUM_76,PBI_INVENTUM_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680140,PBI_INVENTUM_77,PBI_INVENTUM_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680141,PBI_INVENTUM_78,PBI_INVENTUM_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680142,PBI_INVENTUM_79,PBI_INVENTUM_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680143,PBI_INVENTUM_80,PBI_INVENTUM_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680144,PBI_INVENTUM_81,PBI_INVENTUM_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680145,PBI_INVENTUM_82,PBI_INVENTUM_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680146,PBI_INVENTUM_83,PBI_INVENTUM_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680147,PBI_INVENTUM_84,PBI_INVENTUM_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680148,PBI_INVENTUM_85,PBI_INVENTUM_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680149,PBI_INVENTUM_86,PBI_INVENTUM_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680150,PBI_INVENTUM_87,PBI_INVENTUM_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680151,PBI_INVENTUM_88,PBI_INVENTUM_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680152,PBI_INVENTUM_89,PBI_INVENTUM_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680153,PBI_INVENTUM_90,PBI_INVENTUM_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680154,PBI_INVENTUM_91,PBI_INVENTUM_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680155,PBI_INVENTUM_92,PBI_INVENTUM_92,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210129,-
1527580,23680156,PBI_INVENTUM_93,PBI_INVENTUM_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1527580,23680157,PBI_INVENTUM_94,PBI_INVENTUM_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680158,PBI_INVENTUM_95,PBI_INVENTUM_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680159,PBI_INVENTUM_96,PBI_INVENTUM_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680160,PBI_INVENTUM_97,PBI_INVENTUM_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680161,PBI_INVENTUM_98,PBI_INVENTUM_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680162,PBI_INVENTUM_99,PBI_INVENTUM_99,-,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20201221,-
1527580,23680163,PBI_INVENTUM_100,PBI_INVENTUM_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527580,23680164,PBI_INVENTUM_101,PBI_INVENTUM_101,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1527580,23680165,PBI_INVENTUM_102,PBI_INVENTUM_102,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
1527580,23680166,PBI_INVENTUM_1,PBI_INVENTUM_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1527580,23711123,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Inventum).,other,-,-,-,-,20200513,-
