#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
224399,1485718,AhnVgp031,AhnVgp031,-,-,-,-,P26,protein-coding,-,-,-,P26,20180815,-
224399,1485737,AhnVgp121,AhnVgp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485738,AhnVgp013,AhnVgp013,-,-,-,-,39K protein,protein-coding,-,-,-,39K protein,20180815,-
224399,1485739,AhnVgp014,AhnVgp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485740,AhnVgp046,AhnVgp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485741,AhnVgp047,AhnVgp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485742,AhnVgp048,AhnVgp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485743,AhnVgp054,AhnVgp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485744,AhnVgp055,AhnVgp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485745,AhnVgp059,AhnVgp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485746,AhnVgp060,AhnVgp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485747,AhnVgp061,AhnVgp061,-,-,-,-,very late factor 1,protein-coding,-,-,-,very late factor 1,20180815,-
224399,1485748,AhnVgp006,AhnVgp006,-,-,-,-,HOAR,protein-coding,-,-,-,HOAR,20180815,-
224399,1485749,AhnVgp007,AhnVgp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485750,AhnVgp027,AhnVgp027,-,-,-,-,envelope protein P74,protein-coding,-,-,-,envelope protein P74,20180815,-
224399,1485751,AhnVgp028,AhnVgp028,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20180815,-
224399,1485752,AhnVgp114,AhnVgp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485753,AhnVgp115,AhnVgp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485754,AhnVgp116,AhnVgp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485755,AhnVgp117,AhnVgp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485756,AhnVgp023,AhnVgp023,-,-,-,-,occlusion-derived virus envelope protein E18,protein-coding,-,-,-,occlusion-derived virus envelope protein E18,20180815,-
224399,1485757,AhnVgp024,AhnVgp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485758,AhnVgp019,AhnVgp019,-,-,-,-,IE-1,protein-coding,-,-,-,IE-1,20180815,-
224399,1485759,AhnVgp020,AhnVgp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485760,AhnVgp122,AhnVgp122,-,-,-,-,ecdysteroid UDP-glucosyl transferase,protein-coding,-,-,-,ecdysteroid UDP-glucosyl transferase,20180815,-
224399,1485761,AhnVgp123,AhnVgp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485762,AhnVgp124,AhnVgp124,-,-,-,-,late expression factor 1,protein-coding,-,-,-,late expression factor 1,20180815,-
224399,1485763,AhnVgp125,AhnVgp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485764,AhnVgp029,AhnVgp029,-,-,-,-,late expression factor 6,protein-coding,-,-,-,late expression factor 6,20180815,-
224399,1485765,AhnVgp030,AhnVgp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485766,AhnVgp015,AhnVgp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485767,AhnVgp016,AhnVgp016,-,-,-,-,ubiquitin,protein-coding,-,-,-,ubiquitin,20180815,-
224399,1485768,AhnVgp102,AhnVgp102,-,-,-,-,capsid protein P24,protein-coding,-,-,-,capsid protein P24,20180815,-
224399,1485769,AhnVgp103,AhnVgp103,-,-,-,-,GP16,protein-coding,-,-,-,GP16,20180815,-
224399,1485770,AhnVgp104,AhnVgp104,-,-,-,-,calyx/polyhedral envelope protein,protein-coding,-,-,-,calyx/polyhedral envelope protein,20180815,-
224399,1485771,AhnVgp105,AhnVgp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485772,AhnVgp025,AhnVgp025,-,-,-,-,IE-0,protein-coding,-,-,-,IE-0,20180815,-
224399,1485773,AhnVgp026,AhnVgp026,-,-,-,-,ME53,protein-coding,-,-,-,ME53,20180815,-
224399,1485774,AhnVgp002,AhnVgp002,-,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20180815,-
224399,1485775,AhnVgp003,AhnVgp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485776,AhnVgp021,AhnVgp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485777,AhnVgp022,AhnVgp022,-,-,-,-,odv-ec27,protein-coding,-,-,-,odv-ec27,20180815,-
224399,1485778,AhnVgp009,AhnVgp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485779,AhnVgp010,AhnVgp010,-,-,-,-,P47,protein-coding,-,-,-,P47,20180815,-
224399,1485780,AhnVgp037,AhnVgp037,-,-,-,-,inhibitor of apoptosis protein 4,protein-coding,-,-,-,inhibitor of apoptosis protein 4,20180815,-
224399,1485781,AhnVgp038,AhnVgp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485782,AhnVgp095,AhnVgp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485783,AhnVgp096,AhnVgp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485784,AhnVgp097,AhnVgp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485785,AhnVgp098,AhnVgp098,-,-,-,-,protein kinase interacting protein,protein-coding,-,-,-,protein kinase interacting protein,20180815,-
224399,1485786,AhnVgp071,AhnVgp071,-,-,-,-,occlusion-derived virus envelope protein E25,protein-coding,-,-,-,occlusion-derived virus envelope protein E25,20180815,-
224399,1485787,AhnVgp072,AhnVgp072,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20180815,-
224399,1485788,AhnVgp073,AhnVgp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485789,AhnVgp074,AhnVgp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485790,AhnVgp044,AhnVgp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485791,AhnVgp045,AhnVgp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485792,AhnVgp087,AhnVgp087,-,-,-,-,P13-like protein,protein-coding,-,-,-,P13-like protein,20180815,-
224399,1485793,AhnVgp088,AhnVgp088,-,-,-,-,inhibitor of apoptosis protein 3,protein-coding,-,-,-,inhibitor of apoptosis protein 3,20180815,-
224399,1485794,AhnVgp089,AhnVgp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485795,AhnVgp090,AhnVgp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485796,AhnVgp001,AhnVgp001,-,-,-,-,polyhedrin,protein-coding,-,-,-,polyhedrin,20180815,-
224399,1485797,AhnVgp042,AhnVgp042,-,-,-,-,VP1054,protein-coding,-,-,-,VP1054,20180815,-
224399,1485798,AhnVgp043,AhnVgp043,-,-,-,-,late expression factor 10,protein-coding,-,-,-,late expression factor 10,20180815,-
224399,1485799,AhnVgp056,AhnVgp056,-,-,-,-,late expression factor 3,protein-coding,-,-,-,late expression factor 3,20180815,-
224399,1485800,AhnVgp057,AhnVgp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485801,AhnVgp058,AhnVgp058,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20180815,-
224399,1485802,AhnVgp099,AhnVgp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485803,AhnVgp100,AhnVgp100,-,-,-,-,late expression factor 2,protein-coding,-,-,-,late expression factor 2,20180815,-
224399,1485804,AhnVgp101,AhnVgp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485805,AhnVgp049,AhnVgp049,-,-,-,-,late expression factor 8,protein-coding,-,-,-,late expression factor 8,20180815,-
224399,1485806,AhnVgp050,AhnVgp050,-,-,-,-,occlusion-derived virus envelope protein E66,protein-coding,-,-,-,occlusion-derived virus envelope protein E66,20180815,-
224399,1485807,AhnVgp035,AhnVgp035,-,-,-,-,late expression factor 9,protein-coding,-,-,-,late expression factor 9,20180815,-
224399,1485808,AhnVgp036,AhnVgp036,-,-,-,-,few polyhedra plaque phenotype associated protein,protein-coding,-,-,-,few polyhedra plaque phenotype associated protein,20180815,-
224399,1485809,AhnVgp065,AhnVgp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485810,AhnVgp066,AhnVgp066,-,-,-,-,capsid associated protein VP91,protein-coding,-,-,-,capsid associated protein VP91,20180815,-
224399,1485811,AhnVgp083,AhnVgp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485812,AhnVgp084,AhnVgp084,-,-,-,-,baculovirus repeated ORF,protein-coding,-,-,-,baculovirus repeated ORF,20180815,-
224399,1485813,AhnVgp085,AhnVgp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485814,AhnVgp086,AhnVgp086,-,-,-,-,conotoxin like protein,protein-coding,-,-,-,conotoxin like protein,20180815,-
224399,1485815,AhnVgp039,AhnVgp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485816,AhnVgp040,AhnVgp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485817,AhnVgp041,AhnVgp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485818,AhnVgp051,AhnVgp051,-,-,-,-,late expression factor 12,protein-coding,-,-,-,late expression factor 12,20180815,-
224399,1485819,AhnVgp052,AhnVgp052,-,-,-,-,cathepsin,protein-coding,-,-,-,cathepsin,20180815,-
224399,1485820,AhnVgp053,AhnVgp053,-,-,-,-,inhibitor of apoptosis protein 2,protein-coding,-,-,-,inhibitor of apoptosis protein 2,20180815,-
224399,1485821,AhnVgp067,AhnVgp067,-,-,-,-,major capsid protein VP39,protein-coding,-,-,-,major capsid protein VP39,20180815,-
224399,1485822,AhnVgp068,AhnVgp068,-,-,-,-,late expression factor 4,protein-coding,-,-,-,late expression factor 4,20180815,-
224399,1485823,AhnVgp069,AhnVgp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485824,AhnVgp070,AhnVgp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485825,AhnVgp075,AhnVgp075,-,-,-,-,late expression factor 5,protein-coding,-,-,-,late expression factor 5,20180815,-
224399,1485826,AhnVgp076,AhnVgp076,-,-,-,-,basic DNA-binding protein P6.9,protein-coding,-,-,-,basic DNA-binding protein P6.9,20180815,-
224399,1485827,AhnVgp077,AhnVgp077,-,-,-,-,budded virus/occlusion-derived virus structural protein,protein-coding,-,-,-,budded virus/occlusion-derived virus structural protein,20180815,-
224399,1485828,AhnVgp078,AhnVgp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485829,AhnVgp079,AhnVgp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485830,AhnVgp080,AhnVgp080,-,-,-,-,capsid protein P80,protein-coding,-,-,-,capsid protein P80,20180815,-
224399,1485831,AhnVgp081,AhnVgp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485832,AhnVgp082,AhnVgp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485833,AhnVgp091,AhnVgp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485834,AhnVgp092,AhnVgp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485835,AhnVgp093,AhnVgp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485836,AhnVgp094,AhnVgp094,-,-,-,-,baculovirus repeated ORF,protein-coding,-,-,-,baculovirus repeated ORF,20180815,-
224399,1485837,AhnVgp008,AhnVgp008,-,-,-,-,occlusion-derived virus envelope protein E56,protein-coding,-,-,-,occlusion-derived virus envelope protein E56,20180815,-
224399,1485838,AhnVgp062,AhnVgp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485839,AhnVgp063,AhnVgp063,-,-,-,-,GP41,protein-coding,-,-,-,GP41,20180815,-
224399,1485840,AhnVgp064,AhnVgp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485841,AhnVgp011,AhnVgp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
224399,1485842,AhnVgp012,AhnVgp012,-,-,-,-,late expression factor 11,protein-coding,-,-,-,late expression factor 11,20180815,-
224399,2830967,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Adoxophyes honmai NPV).,other,-,-,-,-,20210531,-
