#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821727,29125959,2,SEA_SHIPWRECK_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821727,29125979,22,SEA_SHIPWRECK_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125980,23,SEA_SHIPWRECK_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125981,24,SEA_SHIPWRECK_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125982,25,SEA_SHIPWRECK_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125983,26,SEA_SHIPWRECK_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125984,27,SEA_SHIPWRECK_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125985,28,SEA_SHIPWRECK_28,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1821727,29125986,29,SEA_SHIPWRECK_29,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1821727,29125987,30,SEA_SHIPWRECK_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1821727,29125988,31,SEA_SHIPWRECK_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125989,32,SEA_SHIPWRECK_32,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1821727,29125990,33,SEA_SHIPWRECK_33,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1821727,29125991,34,SEA_SHIPWRECK_34,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1821727,29125992,35,SEA_SHIPWRECK_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125993,36,SEA_SHIPWRECK_36,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1821727,29125994,37,SEA_SHIPWRECK_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125995,38,SEA_SHIPWRECK_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125996,39,SEA_SHIPWRECK_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125997,40,SEA_SHIPWRECK_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821727,29125998,41,SEA_SHIPWRECK_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29125999,42,SEA_SHIPWRECK_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126000,43,SEA_SHIPWRECK_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126001,44,SEA_SHIPWRECK_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126002,45,SEA_SHIPWRECK_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126003,46,SEA_SHIPWRECK_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126004,47,SEA_SHIPWRECK_47,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1821727,29126005,48,SEA_SHIPWRECK_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126006,49,SEA_SHIPWRECK_49,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
1821727,29126007,50,SEA_SHIPWRECK_50,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210424,-
1821727,29126008,51,SEA_SHIPWRECK_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126009,52,SEA_SHIPWRECK_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126010,53,SEA_SHIPWRECK_53,-,-,-,-,translocase,protein-coding,-,-,-,translocase,20210424,-
1821727,29126011,54,SEA_SHIPWRECK_54,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210424,-
1821727,29126012,55,SEA_SHIPWRECK_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126013,56,SEA_SHIPWRECK_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126014,57,SEA_SHIPWRECK_57,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1821727,29126015,58,SEA_SHIPWRECK_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126016,59,SEA_SHIPWRECK_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126017,60,SEA_SHIPWRECK_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126018,61,SEA_SHIPWRECK_61,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210424,-
1821727,29126019,62,SEA_SHIPWRECK_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126020,63,SEA_SHIPWRECK_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126021,64,SEA_SHIPWRECK_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126022,65,SEA_SHIPWRECK_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126023,66,SEA_SHIPWRECK_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126024,67,SEA_SHIPWRECK_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126025,68,SEA_SHIPWRECK_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126026,69,SEA_SHIPWRECK_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126027,70,SEA_SHIPWRECK_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126028,71,SEA_SHIPWRECK_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126029,72,SEA_SHIPWRECK_72,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1821727,29126030,73,SEA_SHIPWRECK_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126031,74,SEA_SHIPWRECK_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126032,75,SEA_SHIPWRECK_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126033,76,SEA_SHIPWRECK_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821727,29126034,77,SEA_SHIPWRECK_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126035,78,SEA_SHIPWRECK_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126036,79,SEA_SHIPWRECK_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126037,80,SEA_SHIPWRECK_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126038,81,SEA_SHIPWRECK_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821727,29126039,1,SEA_SHIPWRECK_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1821727,29140861,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
