#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024282,40088720,FDI41_gp02,FDI41_gp02,SEA_PICCOLETTO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2024282,40088748,FDI41_gp30,FDI41_gp30,SEA_PICCOLETTO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088749,FDI41_gp31,FDI41_gp31,SEA_PICCOLETTO_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088750,FDI41_gp32,FDI41_gp32,SEA_PICCOLETTO_32,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2024282,40088751,FDI41_gp33,FDI41_gp33,SEA_PICCOLETTO_33,-,-,-,RecT-like recombinase,protein-coding,-,-,-,RecT-like recombinase,20201221,-
2024282,40088752,FDI41_gp34,FDI41_gp34,SEA_PICCOLETTO_34,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2024282,40088753,FDI41_gp35,FDI41_gp35,SEA_PICCOLETTO_35,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20201221,-
2024282,40088754,FDI41_gp36,FDI41_gp36,SEA_PICCOLETTO_36,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2024282,40088755,FDI41_gp37,FDI41_gp37,SEA_PICCOLETTO_37,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2024282,40088756,FDI41_gp38,FDI41_gp38,SEA_PICCOLETTO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088757,FDI41_gp39,FDI41_gp39,SEA_PICCOLETTO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088758,FDI41_gp40,FDI41_gp40,SEA_PICCOLETTO_40,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
2024282,40088759,FDI41_gp41,FDI41_gp41,SEA_PICCOLETTO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088760,FDI41_gp42,FDI41_gp42,SEA_PICCOLETTO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088761,FDI41_gp43,FDI41_gp43,SEA_PICCOLETTO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088762,FDI41_gp44,FDI41_gp44,SEA_PICCOLETTO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088763,FDI41_gp45,FDI41_gp45,SEA_PICCOLETTO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088764,FDI41_gp46,FDI41_gp46,SEA_PICCOLETTO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088765,FDI41_gp47,FDI41_gp47,SEA_PICCOLETTO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088766,FDI41_gp48,FDI41_gp48,SEA_PICCOLETTO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088767,FDI41_gp49,FDI41_gp49,SEA_PICCOLETTO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088768,FDI41_gp50,FDI41_gp50,SEA_PICCOLETTO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088769,FDI41_gp51,FDI41_gp51,SEA_PICCOLETTO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088770,FDI41_gp52,FDI41_gp52,SEA_PICCOLETTO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088771,FDI41_gp53,FDI41_gp53,SEA_PICCOLETTO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088772,FDI41_gp54,FDI41_gp54,SEA_PICCOLETTO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088773,FDI41_gp55,FDI41_gp55,SEA_PICCOLETTO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088774,FDI41_gp56,FDI41_gp56,SEA_PICCOLETTO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088775,FDI41_gp58,FDI41_gp58,SEA_PICCOLETTO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088776,FDI41_gp59,FDI41_gp59,SEA_PICCOLETTO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088777,FDI41_gp60,FDI41_gp60,SEA_PICCOLETTO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088778,FDI41_gp61,FDI41_gp61,SEA_PICCOLETTO_61,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2024282,40088779,FDI41_gp62,FDI41_gp62,SEA_PICCOLETTO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088780,FDI41_gp63,FDI41_gp63,SEA_PICCOLETTO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088781,FDI41_gp64,FDI41_gp64,SEA_PICCOLETTO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088782,FDI41_gp65,FDI41_gp65,SEA_PICCOLETTO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088783,FDI41_gp66,FDI41_gp66,SEA_PICCOLETTO_66,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
2024282,40088784,FDI41_gp67,FDI41_gp67,SEA_PICCOLETTO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088785,FDI41_gp68,FDI41_gp68,SEA_PICCOLETTO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088786,FDI41_gp69,FDI41_gp69,SEA_PICCOLETTO_69,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2024282,40088787,FDI41_gp70,FDI41_gp70,SEA_PICCOLETTO_70,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20201221,-
2024282,40088788,FDI41_gp71,FDI41_gp71,SEA_PICCOLETTO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088789,FDI41_gp72,FDI41_gp72,SEA_PICCOLETTO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088790,FDI41_gp73,FDI41_gp73,SEA_PICCOLETTO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088791,FDI41_gp74,FDI41_gp74,SEA_PICCOLETTO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088792,FDI41_gp57,FDI41_gp57,SEA_PICCOLETTO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088793,FDI41_gp01,FDI41_gp01,SEA_PICCOLETTO_1,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
2024282,40120456,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
