#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301538,63911528,2,KDJ57_gp02,SEA_CATFISH_2,-,-,-,esterase,protein-coding,-,-,-,esterase,20210421,-
2301538,63911556,30,KDJ57_gt01,SEA_CATFISH_30,-,-,-,tRNA,tRNA,-,-,-,-,20210421,-
2301538,63911557,31,KDJ57_gp78,SEA_CATFISH_31,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210421,-
2301538,63911558,32,KDJ57_gp77,SEA_CATFISH_32,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210421,-
2301538,63911559,33,KDJ57_gp76,SEA_CATFISH_33,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210421,-
2301538,63911560,34,KDJ57_gp75,SEA_CATFISH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911561,35,KDJ57_gp74,SEA_CATFISH_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911562,36,KDJ57_gp73,SEA_CATFISH_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911563,37,KDJ57_gp72,SEA_CATFISH_37,-,-,-,integrase,protein-coding,-,-,-,integrase,20210421,-
2301538,63911564,38,KDJ57_gp71,SEA_CATFISH_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210421,-
2301538,63911565,39,KDJ57_gp70,SEA_CATFISH_39,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210421,-
2301538,63911566,40,KDJ57_gp69,SEA_CATFISH_40,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210421,-
2301538,63911567,41,KDJ57_gp68,SEA_CATFISH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911568,42,KDJ57_gp67,SEA_CATFISH_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911569,43,KDJ57_gp66,SEA_CATFISH_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911570,44,KDJ57_gp65,SEA_CATFISH_44,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210421,-
2301538,63911571,45,KDJ57_gp64,SEA_CATFISH_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911572,46,KDJ57_gp63,SEA_CATFISH_46,-,-,-,ERF family ssDNA binding protein,protein-coding,-,-,-,ERF family ssDNA binding protein,20210421,-
2301538,63911573,47,KDJ57_gp62,SEA_CATFISH_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911574,48,KDJ57_gp61,SEA_CATFISH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911575,49,KDJ57_gp60,SEA_CATFISH_49,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210421,-
2301538,63911576,50,KDJ57_gp59,SEA_CATFISH_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911577,51,KDJ57_gp58,SEA_CATFISH_51,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210421,-
2301538,63911578,52,KDJ57_gp57,SEA_CATFISH_52,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210421,-
2301538,63911579,53,KDJ57_gp56,SEA_CATFISH_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911580,54,KDJ57_gp55,SEA_CATFISH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911581,55,KDJ57_gp54,SEA_CATFISH_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911582,56,KDJ57_gp53,SEA_CATFISH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911583,57,KDJ57_gp52,SEA_CATFISH_57,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210421,-
2301538,63911584,58,KDJ57_gp51,SEA_CATFISH_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911585,59,KDJ57_gp50,SEA_CATFISH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911586,60,KDJ57_gp49,SEA_CATFISH_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911587,61,KDJ57_gp48,SEA_CATFISH_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210421,-
2301538,63911588,62,KDJ57_gp47,SEA_CATFISH_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911589,63,KDJ57_gp46,SEA_CATFISH_63,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210421,-
2301538,63911590,64,KDJ57_gp45,SEA_CATFISH_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210421,-
2301538,63911591,65,KDJ57_gp44,SEA_CATFISH_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911592,66,KDJ57_gp43,SEA_CATFISH_66,-,-,-,MRE11 double-strand break endo/exonuclease,protein-coding,-,-,-,MRE11 double-strand break endo/exonuclease,20210421,-
2301538,63911593,67,KDJ57_gp42,SEA_CATFISH_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911594,68,KDJ57_gp41,SEA_CATFISH_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911595,69,KDJ57_gp40,SEA_CATFISH_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911596,70,KDJ57_gp39,SEA_CATFISH_70,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210421,-
2301538,63911597,71,KDJ57_gp38,SEA_CATFISH_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911598,72,KDJ57_gp37,SEA_CATFISH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911599,73,KDJ57_gp36,SEA_CATFISH_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911600,74,KDJ57_gp35,SEA_CATFISH_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911601,75,KDJ57_gp34,SEA_CATFISH_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911602,76,KDJ57_gp33,SEA_CATFISH_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911603,77,KDJ57_gp32,SEA_CATFISH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911604,78,KDJ57_gp31,SEA_CATFISH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911605,79,KDJ57_gp30,SEA_CATFISH_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,63911606,1,KDJ57_gp01,SEA_CATFISH_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210421,-
2301538,64409725,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
