#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2491321,65070548,KMD08_gp02,KMD08_gp02,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210609,-
2491321,65070584,KMD08_gp38,KMD08_gp38,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2491321,65070585,KMD08_gp39,KMD08_gp39,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2491321,65070586,KMD08_gp40,KMD08_gp40,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2491321,65070587,KMD08_gp41,KMD08_gp41,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2491321,65070588,KMD08_gp42,KMD08_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070589,KMD08_gp43,KMD08_gp43,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2491321,65070590,KMD08_gp44,KMD08_gp44,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2491321,65070591,KMD08_gp45,KMD08_gp45,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2491321,65070592,KMD08_gp46,KMD08_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070593,KMD08_gp47,KMD08_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070594,KMD08_gp48,KMD08_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070595,KMD08_gp49,KMD08_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070596,KMD08_gp50,KMD08_gp50,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2491321,65070597,KMD08_gp51,KMD08_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070598,KMD08_gp52,KMD08_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070599,KMD08_gp53,KMD08_gp53,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210607,-
2491321,65070600,KMD08_gp54,KMD08_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070601,KMD08_gp55,KMD08_gp55,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210607,-
2491321,65070602,KMD08_gp56,KMD08_gp56,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210607,-
2491321,65070603,KMD08_gp57,KMD08_gp57,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210607,-
2491321,65070604,KMD08_gp58,KMD08_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070605,KMD08_gp59,KMD08_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070606,KMD08_gp60,KMD08_gp60,-,-,-,-,bifunctional autolysin Atl / N-acetylmuramoyl-L-alanine amidase / endo-beta-N-acetylglucosaminidase,protein-coding,-,-,-,bifunctional autolysin Atl / N-acetylmuramoyl-L-alanine amidase / endo-beta-N-acetylglucosaminidase,20210607,-
2491321,65070607,KMD08_gp61,KMD08_gp61,-,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2491321,65070608,KMD08_gp62,KMD08_gp62,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210607,-
2491321,65070609,KMD08_gp63,KMD08_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070610,KMD08_gp64,KMD08_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2491321,65070611,KMD08_gp65,KMD08_gp65,-,-,-,-,ThiJ/PfpI family protein,protein-coding,-,-,-,ThiJ/PfpI family protein,20210609,-
2491321,65070612,KMD08_gp66,KMD08_gp66,-,-,-,-,magnesium and cobalt efflux protein,protein-coding,-,-,-,magnesium and cobalt efflux protein,20210607,-
2491321,65070613,KMD08_gp01,KMD08_gp01,-,-,-,-,iron-sulfur cluster assembly protein,protein-coding,-,-,-,iron-sulfur cluster assembly protein,20210607,-
2491321,65242971,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
