#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
359919,5184119,lef-6,SlGVgp069,-,-,-,-,lef-6,protein-coding,-,-,-,lef-6,20180816,-
359919,5184134,orf89,SlGVgp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184135,orf98,SlGVgp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184136,orf78,SlGVgp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184137,bro-4,SlGVgp111,-,-,-,-,bro-4,protein-coding,-,-,-,bro-4,20180816,-
359919,5184138,orf21,SlGVgp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184139,lef-8,SlGVgp121,-,-,-,-,lef-8,protein-coding,-,-,-,lef-8,20180816,-
359919,5184140,orf20,SlGVgp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184141,p10-2,SlGVgp019,-,-,-,-,p10-2,protein-coding,-,-,-,p10-2,20180816,-
359919,5184142,pep,SlGVgp018,-,-,-,-,pep,protein-coding,-,-,-,pep,20180816,-
359919,5184143,orf126,SlGVgp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184144,iap-5,SlGVgp106,-,-,-,-,iap-5,protein-coding,-,-,-,iap-5,20180816,-
359919,5184145,bro-1,SlGVgp017,-,-,-,-,bro-1,protein-coding,-,-,-,bro-1,20180816,-
359919,5184146,iap-3,SlGVgp016,-,-,-,-,iap-3,protein-coding,-,-,-,iap-3,20180816,-
359919,5184147,orf15,SlGVgp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184148,lef-5,SlGVgp076,-,-,-,-,lef-5,protein-coding,-,-,-,lef-5,20180816,-
359919,5184149,odv-e25,SlGVgp081,-,-,-,-,odv-e25,protein-coding,-,-,-,odv-e25,20180816,-
359919,5184150,dbp,SlGVgp070,-,-,-,-,dbp,protein-coding,-,-,-,dbp,20180816,-
359919,5184151,orf14,SlGVgp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184152,odv-e56,SlGVgp013,-,-,-,-,odv-e56,protein-coding,-,-,-,odv-e56,20180816,-
359919,5184153,orf72,SlGVgp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184154,orf82,SlGVgp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184155,orf105,SlGVgp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184156,orf136,SlGVgp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184157,lef-4,SlGVgp086,-,-,-,-,lef-4,protein-coding,-,-,-,lef-4,20180816,-
359919,5184158,orf73,SlGVgp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184159,orf12,SlGVgp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184160,p49,SlGVgp011,-,-,-,-,p49,protein-coding,-,-,-,p49,20180816,-
359919,5184161,orf131,SlGVgp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184162,orf71,SlGVgp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184163,orf84,SlGVgp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184164,bro-5,SlGVgp114,-,-,-,-,bro-5,protein-coding,-,-,-,bro-5,20180816,-
359919,5184165,ubi,SlGVgp045,-,-,-,-,ubi,protein-coding,-,-,-,ubi,20180816,-
359919,5184166,orf68,SlGVgp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184167,orf135,SlGVgp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184168,odv-e18,SlGVgp010,-,-,-,-,odv-e18,protein-coding,-,-,-,odv-e18,20180816,-
359919,5184169,SlGVgp001,SlGVgp001,-,-,-,-,granulin,protein-coding,-,-,-,granulin,20180816,-
359919,5184170,gp41,SlGVgp095,-,-,-,-,gp41,protein-coding,-,-,-,gp41,20180816,-
359919,5184171,orf123,SlGVgp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184172,orf9,SlGVgp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184173,orf8,SlGVgp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184174,ie,SlGVgp007,-,-,-,-,ie,protein-coding,-,-,-,ie,20180816,-
359919,5184175,orf6,SlGVgp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184176,odv-e66,SlGVgp125,-,-,-,-,odv-e66,protein-coding,-,-,-,odv-e66,20180816,-
359919,5184177,orf5,SlGVgp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184178,p10-1,SlGVgp004,-,-,-,-,p10-1,protein-coding,-,-,-,p10-1,20180816,-
359919,5184179,pk,SlGVgp003,-,-,-,-,pk,protein-coding,-,-,-,pk,20180816,-
359919,5184180,orf2,SlGVgp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184181,bro-6,SlGVgp115,-,-,-,-,bro-6,protein-coding,-,-,-,bro-6,20180816,-
359919,5184182,orf128,SlGVgp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184183,fgf-1,SlGVgp066,-,-,-,-,fgf-1,protein-coding,-,-,-,fgf-1,20180816,-
359919,5184184,orf102,SlGVgp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184185,pif-1,SlGVgp064,-,-,-,-,pif-1,protein-coding,-,-,-,pif-1,20180816,-
359919,5184186,odv-ec27,SlGVgp088,-,-,-,-,odv-ec27,protein-coding,-,-,-,odv-ec27,20180816,-
359919,5184187,orf104,SlGVgp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184188,orf122,SlGVgp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184189,SlGVgp101,SlGVgp101,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20180816,-
359919,5184190,orf42,SlGVgp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184191,SlGVgp092,SlGVgp092,-,-,-,-,vp91 capsid,protein-coding,-,-,-,vp91 capsid,20180816,-
359919,5184192,fp,SlGVgp109,-,-,-,-,fp,protein-coding,-,-,-,fp,20180816,-
359919,5184193,lef-9,SlGVgp107,-,-,-,-,lef-9,protein-coding,-,-,-,lef-9,20180816,-
359919,5184194,orf99,SlGVgp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184195,orf40,SlGVgp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184196,orf113,SlGVgp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184197,SlGVgp060,SlGVgp060,-,-,-,-,vp24 capsid,protein-coding,-,-,-,vp24 capsid,20180816,-
359919,5184198,orf75,SlGVgp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184199,bro-2,SlGVgp053,-,-,-,-,bro-2,protein-coding,-,-,-,bro-2,20180816,-
359919,5184200,hel-1,SlGVgp080,-,-,-,-,hel-1,protein-coding,-,-,-,hel-1,20180816,-
359919,5184201,SlGVgp087,SlGVgp087,-,-,-,-,vp39 capsid,protein-coding,-,-,-,vp39 capsid,20180816,-
359919,5184202,orf119,SlGVgp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184203,orf46,SlGVgp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184204,me53,SlGVgp134,-,-,-,-,me53,protein-coding,-,-,-,me53,20180816,-
359919,5184205,fgf-3,SlGVgp133,-,-,-,-,fgf-3,protein-coding,-,-,-,fgf-3,20180816,-
359919,5184206,cg30-1,SlGVgp052,-,-,-,-,cg30-1,protein-coding,-,-,-,cg30-1,20180816,-
359919,5184207,hel-2,SlGVgp118,-,-,-,-,hel-2,protein-coding,-,-,-,hel-2,20180816,-
359919,5184208,lef-2,SlGVgp032,-,-,-,-,lef-2,protein-coding,-,-,-,lef-2,20180816,-
359919,5184209,orf112,SlGVgp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184210,orf74,SlGVgp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184211,orf57,SlGVgp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184212,orf127,SlGVgp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184213,orf47,SlGVgp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184214,orf77,SlGVgp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184215,vlf,SlGVgp097,-,-,-,-,vlf,protein-coding,-,-,-,vlf,20180816,-
359919,5184216,orf44,SlGVgp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184217,orf33,SlGVgp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184218,orf65,SlGVgp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184219,p74,SlGVgp056,-,-,-,-,p74,protein-coding,-,-,-,p74,20180816,-
359919,5184220,orf43,SlGVgp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184221,lef-1,SlGVgp062,-,-,-,-,lef-1,protein-coding,-,-,-,lef-1,20180816,-
359919,5184222,p47,SlGVgp058,-,-,-,-,p47,protein-coding,-,-,-,p47,20180816,-
359919,5184223,lef-11,SlGVgp049,-,-,-,-,lef-11,protein-coding,-,-,-,lef-11,20180816,-
359919,5184224,pif-2,SlGVgp039,-,-,-,-,pif-2,protein-coding,-,-,-,pif-2,20180816,-
359919,5184225,orf35,SlGVgp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184226,orf96,SlGVgp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184227,SlGVgp048,SlGVgp048,-,-,-,-,39k protein,protein-coding,-,-,-,39k protein,20180816,-
359919,5184228,SlGVgp117,SlGVgp117,-,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20180816,-
359919,5184229,orf132,SlGVgp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184230,fgf-2,SlGVgp116,-,-,-,-,fgf-2,protein-coding,-,-,-,fgf-2,20180816,-
359919,5184231,SlGVgp050,SlGVgp050,-,-,-,-,DNA photolyase,protein-coding,-,-,-,DNA photolyase,20180816,-
359919,5184232,orf79,SlGVgp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184233,cg30-2,SlGVgp124,-,-,-,-,cg30-2,protein-coding,-,-,-,cg30-2,20180816,-
359919,5184234,orf55,SlGVgp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184235,p13,SlGVgp038,-,-,-,-,p13,protein-coding,-,-,-,p13,20180816,-
359919,5184236,orf61,SlGVgp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184237,orf91,SlGVgp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184238,orf41,SlGVgp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184239,orf59,SlGVgp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184240,SlGVgp037,SlGVgp037,-,-,-,-,mp-nase,protein-coding,-,-,-,mp-nase,20180816,-
359919,5184241,orf94,SlGVgp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184242,vp1054,SlGVgp130,-,-,-,-,vp1054,protein-coding,-,-,-,vp1054,20180816,-
359919,5184243,orf34,SlGVgp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184244,orf85,SlGVgp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184245,bro-3,SlGVgp054,-,-,-,-,bro-3,protein-coding,-,-,-,bro-3,20180816,-
359919,5184246,SlGVgp108,SlGVgp108,-,-,-,-,polynucleotide kinase/ligase,protein-coding,-,-,-,polynucleotide kinase/ligase,20180816,-
359919,5184247,tlp20,SlGVgp093,-,-,-,-,tlp20,protein-coding,-,-,-,tlp20,20180816,-
359919,5184248,orf83,SlGVgp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184249,orf36,SlGVgp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184250,orf90,SlGVgp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184251,orf67,SlGVgp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184252,lef-3,SlGVgp103,-,-,-,-,lef-3,protein-coding,-,-,-,lef-3,20180816,-
359919,5184253,orf31,SlGVgp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184254,SlGVgp051,SlGVgp051,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20180816,-
359919,5220355,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210531,-
