#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701798,40077332,FDH47_gp02,FDH47_gp02,SEA_BRENT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1701798,40077363,FDH47_gp33,FDH47_gp33,SEA_BRENT_33,-,-,-,RecT-like recombinase,protein-coding,-,-,-,RecT-like recombinase,20201221,-
1701798,40077364,FDH47_gp34,FDH47_gp34,SEA_BRENT_34,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1701798,40077365,FDH47_gp35,FDH47_gp35,SEA_BRENT_35,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1701798,40077366,FDH47_gp36,FDH47_gp36,SEA_BRENT_36,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1701798,40077367,FDH47_gp37,FDH47_gp37,SEA_BRENT_37,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1701798,40077368,FDH47_gp38,FDH47_gp38,SEA_BRENT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077369,FDH47_gp39,FDH47_gp39,SEA_BRENT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077370,FDH47_gp40,FDH47_gp40,SEA_BRENT_40,-,-,-,endodeoxyribonuclease,protein-coding,-,-,-,endodeoxyribonuclease,20201221,-
1701798,40077371,FDH47_gp41,FDH47_gp41,SEA_BRENT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077372,FDH47_gp42,FDH47_gp42,SEA_BRENT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077373,FDH47_gp43,FDH47_gp43,SEA_BRENT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077374,FDH47_gp44,FDH47_gp44,SEA_BRENT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077375,FDH47_gp45,FDH47_gp45,SEA_BRENT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077376,FDH47_gp46,FDH47_gp46,SEA_BRENT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077377,FDH47_gp47,FDH47_gp47,SEA_BRENT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077378,FDH47_gp48,FDH47_gp48,SEA_BRENT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077379,FDH47_gp49,FDH47_gp49,SEA_BRENT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077380,FDH47_gp50,FDH47_gp50,SEA_BRENT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077381,FDH47_gp51,FDH47_gp51,SEA_BRENT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077382,FDH47_gp52,FDH47_gp52,SEA_BRENT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077383,FDH47_gp53,FDH47_gp53,SEA_BRENT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077384,FDH47_gp54,FDH47_gp54,SEA_BRENT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077385,FDH47_gp55,FDH47_gp55,SEA_BRENT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077386,FDH47_gp56,FDH47_gp56,SEA_BRENT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077387,FDH47_gp57,FDH47_gp57,SEA_BRENT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077388,FDH47_gp58,FDH47_gp58,SEA_BRENT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077389,FDH47_gp59,FDH47_gp59,SEA_BRENT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077390,FDH47_gp60,FDH47_gp60,SEA_BRENT_60,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1701798,40077391,FDH47_gp61,FDH47_gp61,SEA_BRENT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077392,FDH47_gp62,FDH47_gp62,SEA_BRENT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077393,FDH47_gp63,FDH47_gp63,SEA_BRENT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077394,FDH47_gp64,FDH47_gp64,SEA_BRENT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077395,FDH47_gp65,FDH47_gp65,SEA_BRENT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077396,FDH47_gp66,FDH47_gp66,SEA_BRENT_66,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210424,-
1701798,40077397,FDH47_gp67,FDH47_gp67,SEA_BRENT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077398,FDH47_gp68,FDH47_gp68,SEA_BRENT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077399,FDH47_gp69,FDH47_gp69,SEA_BRENT_69,-,-,-,AlpA-like DNA binding protein,protein-coding,-,-,-,AlpA-like DNA binding protein,20201221,-
1701798,40077400,FDH47_gp70,FDH47_gp70,SEA_BRENT_70,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20201221,-
1701798,40077401,FDH47_gp71,FDH47_gp71,SEA_BRENT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077402,FDH47_gp72,FDH47_gp72,SEA_BRENT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077403,FDH47_gp73,FDH47_gp73,SEA_BRENT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1701798,40077404,FDH47_gp74,FDH47_gp74,SEA_BRENT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701798,40077405,FDH47_gp01,FDH47_gp01,SEA_BRENT_1,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1701798,40120224,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
