#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1211279,40084580,AG11_02,FDI18_gp02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1211279,40084630,AG11_52,FDI18_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084631,AG11_53,FDI18_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084632,AG11_54,FDI18_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084633,AG11_55,FDI18_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084634,AG11_56,FDI18_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084635,AG11_57,FDI18_gp57,-,-,-,-,putative holin-like class I,protein-coding,-,-,-,putative holin-like class I,20200629,-
1211279,40084636,AG11_58,FDI18_gp58,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
1211279,40084637,AG11_59,FDI18_gp59,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200629,-
1211279,40084638,AG11_59A,FDI18_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084639,AG11_60,FDI18_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084640,AG11_61,FDI18_gp62,-,-,-,-,DUF2737 family protein,protein-coding,-,-,-,DUF2737 family protein,20210123,-
1211279,40084641,AG11_62,FDI18_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084642,AG11_63,FDI18_gp64,-,-,-,-,NinH protein,protein-coding,-,-,-,NinH protein,20200629,-
1211279,40084643,AG11_64,FDI18_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084644,AG11_65,FDI18_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084645,AG11_01,FDI18_gp01,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200629,-
1211279,40120123,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
