#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1463812,18505866,Jolie1_02,Jolie1_02,-,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20201221,-
1463812,18505954,Jolie1_090,Jolie1_090,-,-,-,-,PE/PPE-like protein,protein-coding,-,-,-,PE/PPE-like protein,20201221,-
1463812,18505955,Jolie1_091,Jolie1_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505956,Jolie1_092,Jolie1_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505957,Jolie1_093,Jolie1_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505958,Jolie1_094,Jolie1_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505959,Jolie1_095,Jolie1_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505960,Jolie1_096,Jolie1_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505961,Jolie1_097,Jolie1_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505962,Jolie1_098,Jolie1_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505963,Jolie1_01,Jolie1_01,-,-,-,-,ParB-like protein,protein-coding,-,-,-,ParB-like protein,20201221,-
1463812,18558833,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
