#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838081,28801905,2,BH796_gp02,PBI_UTZ_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1838081,28801951,48,BH796_gp48,PBI_UTZ_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801952,49,BH796_gp49,PBI_UTZ_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801953,50,BH796_gp50,PBI_UTZ_50,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200927,-
1838081,28801954,51,BH796_gp51,PBI_UTZ_51,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200927,-
1838081,28801955,52,BH796_gp52,PBI_UTZ_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801956,53,BH796_gp53,PBI_UTZ_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801957,54,BH796_gp54,PBI_UTZ_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801958,55,BH796_gp55,PBI_UTZ_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801959,56,BH796_gp56,PBI_UTZ_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801960,57,BH796_gp57,PBI_UTZ_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801961,58,BH796_gp58,PBI_UTZ_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801962,59,BH796_gp59,PBI_UTZ_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801963,60,BH796_gp60,PBI_UTZ_60,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1838081,28801964,61,BH796_gp61,PBI_UTZ_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801965,62,BH796_gp62,PBI_UTZ_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801966,63,BH796_gp63,PBI_UTZ_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801967,64,BH796_gp64,PBI_UTZ_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801968,65,BH796_gp65,PBI_UTZ_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801969,66,BH796_gp66,PBI_UTZ_66,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200927,-
1838081,28801970,67,BH796_gp67,PBI_UTZ_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801971,68,BH796_gp68,PBI_UTZ_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801972,69,BH796_gp69,PBI_UTZ_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801973,70,BH796_gp70,PBI_UTZ_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801974,71,BH796_gp71,PBI_UTZ_71,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1838081,28801975,1,BH796_gp01,PBI_UTZ_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1838081,29122388,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
