#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2282904,65067662,KMC52_gp02,KMC52_gp02,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2282904,65067708,KMC52_gp48,KMC52_gp48,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2282904,65067709,KMC52_gp49,KMC52_gp49,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2282904,65067710,KMC52_gp50,KMC52_gp50,-,-,-,-,Fis family transcriptional regulator,protein-coding,-,-,-,Fis family transcriptional regulator,20210607,-
2282904,65067711,KMC52_gp51,KMC52_gp51,-,-,-,-,RecB-like endonuclease,protein-coding,-,-,-,RecB-like endonuclease,20210607,-
2282904,65067712,KMC52_gp52,KMC52_gp52,-,-,-,-,RecT-like protein,protein-coding,-,-,-,RecT-like protein,20210607,-
2282904,65067713,KMC52_gp53,KMC52_gp53,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210607,-
2282904,65067714,KMC52_gp54,KMC52_gp54,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2282904,65067715,KMC52_gp55,KMC52_gp55,-,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20210607,-
2282904,65067716,KMC52_gp56,KMC52_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067717,KMC52_gp57,KMC52_gp57,-,-,-,-,pyocin activator protein,protein-coding,-,-,-,pyocin activator protein,20210607,-
2282904,65067718,KMC52_gp58,KMC52_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067719,KMC52_gp59,KMC52_gp59,-,-,-,-,tyrosine recombinase,protein-coding,-,-,-,tyrosine recombinase,20210607,-
2282904,65067720,KMC52_gp60,KMC52_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067721,KMC52_gp61,KMC52_gp61,-,-,-,-,Rz-like lysis protein,protein-coding,-,-,-,Rz-like lysis protein,20210607,-
2282904,65067722,KMC52_gp62,KMC52_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067723,KMC52_gp63,KMC52_gp63,-,-,-,-,chemotaxis protein,protein-coding,-,-,-,chemotaxis protein,20210607,-
2282904,65067724,KMC52_gp64,KMC52_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067725,KMC52_gp65,KMC52_gp65,-,-,-,-,DUF3380 domain-containing protein,protein-coding,-,-,-,DUF3380 domain-containing protein,20210607,-
2282904,65067726,KMC52_gp66,KMC52_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067727,KMC52_gp67,KMC52_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067728,KMC52_gp68,KMC52_gp68,-,-,-,-,DarB-like antirestriction protein,protein-coding,-,-,-,DarB-like antirestriction protein,20210607,-
2282904,65067729,KMC52_gp69,KMC52_gp69,-,-,-,-,virion-associated phage protein,protein-coding,-,-,-,virion-associated phage protein,20210607,-
2282904,65067730,KMC52_gp70,KMC52_gp70,-,-,-,-,PAPS reductase-like protein,protein-coding,-,-,-,PAPS reductase-like protein,20210607,-
2282904,65067731,KMC52_gp71,KMC52_gp71,-,-,-,-,virion-associated phage protein,protein-coding,-,-,-,virion-associated phage protein,20210607,-
2282904,65067732,KMC52_gp72,KMC52_gp72,-,-,-,-,acyl-CoA N-acyltransferase,protein-coding,-,-,-,acyl-CoA N-acyltransferase,20210607,-
2282904,65067733,KMC52_gp73,KMC52_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067734,KMC52_gp74,KMC52_gp74,-,-,-,-,virion-associated phage protein,protein-coding,-,-,-,virion-associated phage protein,20210607,-
2282904,65067735,KMC52_gp75,KMC52_gp75,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
2282904,65067736,KMC52_gp76,KMC52_gp76,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210607,-
2282904,65067737,KMC52_gp77,KMC52_gp77,-,-,-,-,virion-associated phage protein,protein-coding,-,-,-,virion-associated phage protein,20210607,-
2282904,65067738,KMC52_gp78,KMC52_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067739,KMC52_gp79,KMC52_gp79,-,-,-,-,virion-associated phage protein,protein-coding,-,-,-,virion-associated phage protein,20210607,-
2282904,65067740,KMC52_gp80,KMC52_gp80,-,-,-,-,virion-associated phage protein,protein-coding,-,-,-,virion-associated phage protein,20210607,-
2282904,65067741,KMC52_gp81,KMC52_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067742,KMC52_gp82,KMC52_gp82,-,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20210607,-
2282904,65067743,KMC52_gp83,KMC52_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067744,KMC52_gp01,KMC52_gp01,-,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20210607,-
2282904,65242868,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
