#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2530128,60328398,2,I5H36_gp002,SEA_FANCYPANTS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2530128,60328461,66,I5H36_gp066,SEA_FANCYPANTS_66,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2530128,60328462,67,I5H36_gp067,SEA_FANCYPANTS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328463,68,I5H36_gp068,SEA_FANCYPANTS_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2530128,60328464,70,I5H36_gp070,SEA_FANCYPANTS_70,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2530128,60328465,71,I5H36_gp071,SEA_FANCYPANTS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328466,72,I5H36_gp072,SEA_FANCYPANTS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328467,73,I5H36_gp073,SEA_FANCYPANTS_73,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2530128,60328468,74,I5H36_gp074,SEA_FANCYPANTS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328469,75,I5H36_gp075,SEA_FANCYPANTS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328470,76,I5H36_gp076,SEA_FANCYPANTS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328471,77,I5H36_gp077,SEA_FANCYPANTS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328472,78,I5H36_gp078,SEA_FANCYPANTS_78,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2530128,60328473,79,I5H36_gp079,SEA_FANCYPANTS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328474,80,I5H36_gp080,SEA_FANCYPANTS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328475,81,I5H36_gp081,SEA_FANCYPANTS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328476,82,I5H36_gp082,SEA_FANCYPANTS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328477,83,I5H36_gp083,SEA_FANCYPANTS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328478,84,I5H36_gp084,SEA_FANCYPANTS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328479,85,I5H36_gp085,SEA_FANCYPANTS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328480,86,I5H36_gp086,SEA_FANCYPANTS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328481,87,I5H36_gp087,SEA_FANCYPANTS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2530128,60328482,88,I5H36_gp088,SEA_FANCYPANTS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328483,89,I5H36_gp089,SEA_FANCYPANTS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328484,90,I5H36_gp090,SEA_FANCYPANTS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328485,91,I5H36_gp091,SEA_FANCYPANTS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328486,92,I5H36_gp092,SEA_FANCYPANTS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328487,93,I5H36_gp093,SEA_FANCYPANTS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328488,94,I5H36_gp094,SEA_FANCYPANTS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328489,95,I5H36_gp095,SEA_FANCYPANTS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328490,96,I5H36_gp096,SEA_FANCYPANTS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328491,97,I5H36_gp097,SEA_FANCYPANTS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328492,98,I5H36_gp098,SEA_FANCYPANTS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328493,99,I5H36_gp099,SEA_FANCYPANTS_99,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2530128,60328494,100,I5H36_gp100,SEA_FANCYPANTS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2530128,60328495,101,I5H36_gp101,SEA_FANCYPANTS_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328496,102,I5H36_gp102,SEA_FANCYPANTS_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328497,103,I5H36_gp103,SEA_FANCYPANTS_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328498,104,I5H36_gp104,SEA_FANCYPANTS_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328499,105,I5H36_gp105,SEA_FANCYPANTS_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328500,106,I5H36_gp106,SEA_FANCYPANTS_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328501,107,I5H36_gp107,SEA_FANCYPANTS_107,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20201129,-
2530128,60328502,108,I5H36_gp108,SEA_FANCYPANTS_108,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2530128,60328503,109,I5H36_gp109,SEA_FANCYPANTS_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328504,110,I5H36_gp110,SEA_FANCYPANTS_110,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2530128,60328505,69,I5H36_gp069,SEA_FANCYPANTS_69,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2530128,60328506,55,I5H36_gp055,SEA_FANCYPANTS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328507,1,I5H36_gp001,SEA_FANCYPANTS_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2530128,60338763,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
