#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
325777,58113918,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200803,-
325777,61838465,XavaCFBP5823_RS00295,XavaCFBP5823_RS00295,XavaCFBP5823_00305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
325777,61838466,XavaCFBP5823_RS00305,XavaCFBP5823_RS00305,XavaCFBP5823_00310,-,-,-,DUF378 domain-containing protein,protein-coding,-,-,-,DUF378 domain-containing protein,20201229,-
325777,61838467,XavaCFBP5823_RS00310,XavaCFBP5823_RS00310,XavaCFBP5823_00315,-,-,-,peptidylprolyl isomerase,protein-coding,-,-,-,peptidylprolyl isomerase,20201229,-
325777,61838468,XavaCFBP5823_RS00315,XavaCFBP5823_RS00315,XavaCFBP5823_00320,-,-,-,EamA family transporter,protein-coding,-,-,-,EamA family transporter,20201229,-
325777,61838469,XavaCFBP5823_RS00320,XavaCFBP5823_RS00320,XavaCFBP5823_00325,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838470,XavaCFBP5823_RS00330,XavaCFBP5823_RS00330,XavaCFBP5823_00335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
325777,61838471,XavaCFBP5823_RS00335,XavaCFBP5823_RS00335,XavaCFBP5823_00340,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838472,XavaCFBP5823_RS00340,XavaCFBP5823_RS00340,XavaCFBP5823_00345,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838473,XavaCFBP5823_RS00345,XavaCFBP5823_RS00345,XavaCFBP5823_00350,-,-,-,ncRNA,ncRNA,-,-,-,-,20201227,-
325777,61838474,XavaCFBP5823_RS00350,XavaCFBP5823_RS00350,XavaCFBP5823_00355,-,-,-,DUF885 domain-containing protein,protein-coding,-,-,-,DUF885 domain-containing protein,20201229,-
325777,61838475,XavaCFBP5823_RS00355,XavaCFBP5823_RS00355,XavaCFBP5823_00360,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201229,-
325777,61838476,XavaCFBP5823_RS00360,XavaCFBP5823_RS00360,XavaCFBP5823_00365,-,-,-,plasmid pRiA4b ORF-3 family protein,protein-coding,-,-,-,plasmid pRiA4b ORF-3 family protein,20201229,-
325777,61838477,XavaCFBP5823_RS00365,XavaCFBP5823_RS00365,XavaCFBP5823_00375,-,-,-,efflux RND transporter permease subunit,protein-coding,-,-,-,efflux RND transporter permease subunit,20201229,-
325777,61838478,XavaCFBP5823_RS00370,XavaCFBP5823_RS00370,XavaCFBP5823_00380,-,-,-,efflux RND transporter periplasmic adaptor subunit,protein-coding,-,-,-,efflux RND transporter periplasmic adaptor subunit,20201229,-
325777,61838479,XavaCFBP5823_RS00375,XavaCFBP5823_RS00375,XavaCFBP5823_00385,-,-,-,MipA/OmpV family protein,protein-coding,-,-,-,MipA/OmpV family protein,20201229,-
325777,61838480,XavaCFBP5823_RS00380,XavaCFBP5823_RS00380,XavaCFBP5823_00390,-,-,-,efflux transporter outer membrane subunit,protein-coding,-,-,-,efflux transporter outer membrane subunit,20201229,-
325777,61838481,XavaCFBP5823_RS00385,XavaCFBP5823_RS00385,XavaCFBP5823_00395,-,-,-,response regulator transcription factor,protein-coding,-,-,-,response regulator transcription factor,20201229,-
325777,61838482,XavaCFBP5823_RS00390,XavaCFBP5823_RS00390,XavaCFBP5823_00400,-,-,-,HAMP domain-containing protein,protein-coding,-,-,-,HAMP domain-containing protein,20201229,-
325777,61838483,XavaCFBP5823_RS00395,XavaCFBP5823_RS00395,XavaCFBP5823_00405,-,-,-,cation:proton antiporter,protein-coding,-,-,-,cation:proton antiporter,20201229,-
325777,61838484,XavaCFBP5823_RS00400,XavaCFBP5823_RS00400,XavaCFBP5823_00410,-,-,-,serine hydrolase,protein-coding,-,-,-,serine hydrolase,20201229,-
325777,61838485,rraA,XavaCFBP5823_RS00405,XavaCFBP5823_00415,-,-,-,ribonuclease E activity regulator RraA,protein-coding,-,-,-,ribonuclease E activity regulator RraA,20201229,-
325777,61838486,XavaCFBP5823_RS00415,XavaCFBP5823_RS00415,XavaCFBP5823_00425,-,-,-,DUF72 domain-containing protein,protein-coding,-,-,-,DUF72 domain-containing protein,20201229,-
325777,61838487,XavaCFBP5823_RS00420,XavaCFBP5823_RS00420,XavaCFBP5823_00430,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838488,XavaCFBP5823_RS00425,XavaCFBP5823_RS00425,XavaCFBP5823_00435,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838489,XavaCFBP5823_RS00435,XavaCFBP5823_RS00435,XavaCFBP5823_00445,-,-,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20201229,-
325777,61838490,XavaCFBP5823_RS00440,XavaCFBP5823_RS00440,XavaCFBP5823_00450,-,-,-,sensor domain-containing diguanylate cyclase,protein-coding,-,-,-,sensor domain-containing diguanylate cyclase,20201229,-
325777,61838491,XavaCFBP5823_RS00445,XavaCFBP5823_RS00445,XavaCFBP5823_00455,-,-,-,pseudouridine synthase,protein-coding,-,-,-,pseudouridine synthase,20201229,-
325777,61838492,XavaCFBP5823_RS00450,XavaCFBP5823_RS00450,XavaCFBP5823_00460,-,-,-,EAL domain-containing protein,protein-coding,-,-,-,EAL domain-containing protein,20201229,-
325777,61838493,XavaCFBP5823_RS00455,XavaCFBP5823_RS00455,XavaCFBP5823_00465,-,-,-,DEAD/DEAH box helicase,protein-coding,-,-,-,DEAD/DEAH box helicase,20201229,-
325777,61838494,XavaCFBP5823_RS00460,XavaCFBP5823_RS00460,XavaCFBP5823_00470,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838495,XavaCFBP5823_RS00465,XavaCFBP5823_RS00465,XavaCFBP5823_00475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
325777,61838496,XavaCFBP5823_RS00470,XavaCFBP5823_RS00470,XavaCFBP5823_00480,-,-,-,RNA-binding S4 domain-containing protein,protein-coding,-,-,-,RNA-binding S4 domain-containing protein,20201230,-
325777,61838497,XavaCFBP5823_RS00475,XavaCFBP5823_RS00475,XavaCFBP5823_00485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
325777,61838498,XavaCFBP5823_RS00480,XavaCFBP5823_RS00480,XavaCFBP5823_00490,-,-,-,MAPEG family protein,protein-coding,-,-,-,MAPEG family protein,20201229,-
325777,61838499,XavaCFBP5823_RS00485,XavaCFBP5823_RS00485,XavaCFBP5823_00495,-,-,-,DUF4019 domain-containing protein,protein-coding,-,-,-,DUF4019 domain-containing protein,20201229,-
325777,61838500,XavaCFBP5823_RS00490,XavaCFBP5823_RS00490,XavaCFBP5823_00500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
325777,61838501,XavaCFBP5823_RS00495,XavaCFBP5823_RS00495,XavaCFBP5823_00505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201229,-
325777,61838502,XavaCFBP5823_RS00500,XavaCFBP5823_RS00500,XavaCFBP5823_00510,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838503,XavaCFBP5823_RS00505,XavaCFBP5823_RS00505,XavaCFBP5823_00515,-,-,-,methylated-DNA--[protein]-cysteine S-methyltransferase,protein-coding,-,-,-,methylated-DNA--[protein]-cysteine S-methyltransferase,20201229,-
325777,61838504,XavaCFBP5823_RS00510,XavaCFBP5823_RS00510,XavaCFBP5823_00520,-,-,-,chloride channel protein,protein-coding,-,-,-,chloride channel protein,20201229,-
325777,61838505,XavaCFBP5823_RS00515,XavaCFBP5823_RS00515,XavaCFBP5823_00525,-,-,-,zinc-dependent alcohol dehydrogenase family protein,protein-coding,-,-,-,zinc-dependent alcohol dehydrogenase family protein,20201229,-
325777,61838506,XavaCFBP5823_RS00520,XavaCFBP5823_RS00520,XavaCFBP5823_00530,-,-,-,30S ribosomal protein THX,protein-coding,-,-,-,30S ribosomal protein THX,20201230,-
325777,61838507,XavaCFBP5823_RS00525,XavaCFBP5823_RS00525,XavaCFBP5823_00535,-,-,-,MerC domain-containing protein,protein-coding,-,-,-,MerC domain-containing protein,20201229,-
325777,61838508,XavaCFBP5823_RS00530,XavaCFBP5823_RS00530,XavaCFBP5823_00540,-,-,-,TonB-dependent receptor,protein-coding,-,-,-,TonB-dependent receptor,20201229,-
325777,61838509,XavaCFBP5823_RS00535,XavaCFBP5823_RS00535,XavaCFBP5823_00545,-,-,-,TonB-dependent receptor,protein-coding,-,-,-,TonB-dependent receptor,20201229,-
325777,61838510,XavaCFBP5823_RS00540,XavaCFBP5823_RS00540,XavaCFBP5823_00550,-,-,-,S8 family serine peptidase,protein-coding,-,-,-,S8 family serine peptidase,20201229,-
325777,61838511,XavaCFBP5823_RS00545,XavaCFBP5823_RS00545,XavaCFBP5823_00555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
325777,61838512,XavaCFBP5823_RS00550,XavaCFBP5823_RS00550,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201229,-
325777,61838513,XavaCFBP5823_RS00555,XavaCFBP5823_RS00555,XavaCFBP5823_00560,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838514,XavaCFBP5823_RS00560,XavaCFBP5823_RS00560,XavaCFBP5823_00565,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838515,XavaCFBP5823_RS00565,XavaCFBP5823_RS00565,XavaCFBP5823_00570,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838516,XavaCFBP5823_RS00570,XavaCFBP5823_RS00570,XavaCFBP5823_00575,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838517,XavaCFBP5823_RS00575,XavaCFBP5823_RS00575,XavaCFBP5823_00580,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20201229,-
325777,61838518,XavaCFBP5823_RS00580,XavaCFBP5823_RS00580,XavaCFBP5823_00585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
325777,61838519,XavaCFBP5823_RS00585,XavaCFBP5823_RS00585,XavaCFBP5823_00590,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838520,XavaCFBP5823_RS00590,XavaCFBP5823_RS00590,XavaCFBP5823_00595,-,-,-,cupin domain-containing protein,protein-coding,-,-,-,cupin domain-containing protein,20201229,-
325777,61838521,XavaCFBP5823_RS00595,XavaCFBP5823_RS00595,XavaCFBP5823_00600,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201229,-
325777,61838522,XavaCFBP5823_RS00600,XavaCFBP5823_RS00600,XavaCFBP5823_00605,-,-,-,efflux transporter outer membrane subunit,protein-coding,-,-,-,efflux transporter outer membrane subunit,20201229,-
325777,61838523,XavaCFBP5823_RS00605,XavaCFBP5823_RS00605,XavaCFBP5823_00610,-,-,-,efflux RND transporter permease subunit,protein-coding,-,-,-,efflux RND transporter permease subunit,20201229,-
325777,61838524,XavaCFBP5823_RS00610,XavaCFBP5823_RS00610,XavaCFBP5823_00615,-,-,-,efflux RND transporter periplasmic adaptor subunit,protein-coding,-,-,-,efflux RND transporter periplasmic adaptor subunit,20201229,-
325777,61838525,XavaCFBP5823_RS00615,XavaCFBP5823_RS00615,XavaCFBP5823_00620,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20201229,-
325777,61838526,XavaCFBP5823_RS00620,XavaCFBP5823_RS00620,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
325777,61838527,XavaCFBP5823_RS00625,XavaCFBP5823_RS00625,XavaCFBP5823_00630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
325777,61838528,XavaCFBP5823_RS00635,XavaCFBP5823_RS00635,XavaCFBP5823_00640,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20201229,-
325777,61838529,gltX,XavaCFBP5823_RS00640,XavaCFBP5823_00645,-,-,-,glutamate--tRNA ligase,protein-coding,-,-,-,glutamate--tRNA ligase,20201229,-
325777,61838530,XavaCFBP5823_RS00645,XavaCFBP5823_RS00645,XavaCFBP5823_00650,-,-,-,DUF3616 domain-containing protein,protein-coding,-,-,-,DUF3616 domain-containing protein,20201229,-
325777,61838531,XavaCFBP5823_RS00650,XavaCFBP5823_RS00650,XavaCFBP5823_00655,-,-,-,carbon-nitrogen hydrolase family protein,protein-coding,-,-,-,carbon-nitrogen hydrolase family protein,20201229,-
325777,61838532,XavaCFBP5823_RS00655,XavaCFBP5823_RS00655,XavaCFBP5823_00660,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20201229,-
325777,61838533,XavaCFBP5823_RS00660,XavaCFBP5823_RS00660,XavaCFBP5823_00665,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838534,XavaCFBP5823_RS00665,XavaCFBP5823_RS00665,XavaCFBP5823_00670,-,-,-,inner membrane CreD family protein,protein-coding,-,-,-,inner membrane CreD family protein,20201229,-
325777,61838535,XavaCFBP5823_RS00670,XavaCFBP5823_RS00670,XavaCFBP5823_00675,-,-,-,C1 family peptidase,protein-coding,-,-,-,C1 family peptidase,20201229,-
325777,61838536,creC,XavaCFBP5823_RS00675,XavaCFBP5823_00680,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838537,creB,XavaCFBP5823_RS00680,XavaCFBP5823_00685,-,-,-,two-component system response regulator CreB,protein-coding,-,-,-,two-component system response regulator CreB,20201227,-
325777,61838538,XavaCFBP5823_RS00685,XavaCFBP5823_RS00685,XavaCFBP5823_00690,-,-,-,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,protein-coding,-,-,-,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,20201227,-
325777,61838539,XavaCFBP5823_RS00690,XavaCFBP5823_RS00690,XavaCFBP5823_00695,-,-,-,N-acetyltransferase,protein-coding,-,-,-,N-acetyltransferase,20201229,-
325777,61838540,mfd,XavaCFBP5823_RS00695,XavaCFBP5823_00700,-,-,-,transcription-repair coupling factor,protein-coding,-,-,-,transcription-repair coupling factor,20201229,-
325777,61838541,XavaCFBP5823_RS00700,XavaCFBP5823_RS00700,XavaCFBP5823_00705,-,-,-,STAS domain-containing protein,protein-coding,-,-,-,STAS domain-containing protein,20201229,-
325777,61838542,XavaCFBP5823_RS00705,XavaCFBP5823_RS00705,XavaCFBP5823_00710,-,-,-,chemotaxis protein CheA,protein-coding,-,-,-,chemotaxis protein CheA,20201229,-
325777,61838543,XavaCFBP5823_RS00715,XavaCFBP5823_RS00715,XavaCFBP5823_00715,-,-,-,methyl-accepting chemotaxis protein,protein-coding,-,-,-,methyl-accepting chemotaxis protein,20201229,-
325777,61838544,XavaCFBP5823_RS00720,XavaCFBP5823_RS00720,XavaCFBP5823_00720,-,-,-,purine-binding chemotaxis protein CheW,protein-coding,-,-,-,purine-binding chemotaxis protein CheW,20201229,-
325777,61838545,XavaCFBP5823_RS00725,XavaCFBP5823_RS00725,XavaCFBP5823_00725,-,-,-,EAL domain-containing response regulator,protein-coding,-,-,-,EAL domain-containing response regulator,20201229,-
325777,61838546,XavaCFBP5823_RS00730,XavaCFBP5823_RS00730,XavaCFBP5823_00730,-,-,-,SAM-dependent methyltransferase,protein-coding,-,-,-,SAM-dependent methyltransferase,20210123,-
325777,61838547,XavaCFBP5823_RS00735,XavaCFBP5823_RS00735,XavaCFBP5823_00735,-,-,-,chemotaxis response regulator protein-glutamate methylesterase,protein-coding,-,-,-,chemotaxis response regulator protein-glutamate methylesterase,20201229,-
325777,61838548,XavaCFBP5823_RS00740,XavaCFBP5823_RS00740,XavaCFBP5823_00740,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838549,XavaCFBP5823_RS00745,XavaCFBP5823_RS00745,XavaCFBP5823_00745,-,-,-,M13 family metallopeptidase,protein-coding,-,-,-,M13 family metallopeptidase,20201229,-
325777,61838550,XavaCFBP5823_RS00750,XavaCFBP5823_RS00750,XavaCFBP5823_00750,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838551,gpmA,XavaCFBP5823_RS00755,XavaCFBP5823_00755,-,-,-,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase",protein-coding,-,-,-,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase",20201229,-
325777,61838552,nfi,XavaCFBP5823_RS00760,XavaCFBP5823_00760,-,-,-,deoxyribonuclease V,protein-coding,-,-,-,deoxyribonuclease V,20201229,-
325777,61838553,XavaCFBP5823_RS00765,XavaCFBP5823_RS00765,XavaCFBP5823_00765,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838554,XavaCFBP5823_RS00770,XavaCFBP5823_RS00770,XavaCFBP5823_00770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
325777,61838555,XavaCFBP5823_RS00775,XavaCFBP5823_RS00775,XavaCFBP5823_00775,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
