#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1223261,14515487,H387_gp02,H387_gp02,JBD5_002,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210406,-
1223261,14515506,H387_gp21,H387_gp21,JBD5_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515507,H387_gp22,H387_gp22,JBD5_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515508,H387_gp23,H387_gp23,JBD5_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515509,H387_gp24,H387_gp24,JBD5_024,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1223261,14515510,H387_gp25,H387_gp25,JBD5_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515511,H387_gp26,H387_gp26,JBD5_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515512,H387_gp27,H387_gp27,JBD5_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515513,H387_gp28,H387_gp28,JBD5_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515514,H387_gp29,H387_gp29,JBD5_029,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20210424,-
1223261,14515515,H387_gp30,H387_gp30,JBD5_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515516,H387_gp31,H387_gp31,JBD5_031,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20201221,-
1223261,14515517,H387_gp32,H387_gp32,JBD5_032,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1223261,14515518,H387_gp33,H387_gp33,JBD5_033,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20201221,-
1223261,14515519,H387_gp34,H387_gp34,JBD5_034,-,-,-,anti-CRISPR protein AcrE1,protein-coding,-,-,-,anti-CRISPR protein AcrE1,20201221,-
1223261,14515520,H387_gp35,H387_gp35,JBD5_035,-,-,-,anti-CRISPR protein AcrF3,protein-coding,-,-,-,anti-CRISPR protein AcrF3,20201221,-
1223261,14515521,H387_gp36,H387_gp36,JBD5_036,-,-,-,anti-CRISPR protein,protein-coding,-,-,-,anti-CRISPR protein,20201221,-
1223261,14515522,H387_gp37,H387_gp37,JBD5_037,-,-,-,winged helix-turn-helix domain-containing protein,protein-coding,-,-,-,winged helix-turn-helix domain-containing protein,20210417,-
1223261,14515523,H387_gp38,H387_gp38,JBD5_038,-,-,-,protease,protein-coding,-,-,-,protease,20210417,-
1223261,14515524,H387_gp39,H387_gp39,JBD5_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515525,H387_gp40,H387_gp40,JBD5_040,-,-,-,Mu-like promajor head subunit gpT family protein,protein-coding,-,-,-,Mu-like promajor head subunit gpT family protein,20210417,-
1223261,14515526,H387_gp41,H387_gp41,JBD5_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1223261,14515527,H387_gp42,H387_gp42,JBD5_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515528,H387_gp43,H387_gp43,JBD5_043,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210417,-
1223261,14515529,H387_gp44,H387_gp44,JBD5_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515530,H387_gp45,H387_gp45,JBD5_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515531,H387_gp46,H387_gp46,JBD5_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515532,H387_gp47,H387_gp47,JBD5_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515533,H387_gp48,H387_gp48,JBD5_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515534,H387_gp49,H387_gp49,JBD5_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515535,H387_gp50,H387_gp50,JBD5_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1223261,14515536,H387_gp51,H387_gp51,JBD5_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515537,H387_gp52,H387_gp52,JBD5_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515538,H387_gp53,H387_gp53,JBD5_053,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1223261,14515539,H387_gp54,H387_gp54,JBD5_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515540,H387_gp55,H387_gp55,JBD5_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515541,H387_gp56,H387_gp56,JBD5_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1223261,14515542,H387_gp57,H387_gp57,JBD5_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515543,H387_gp58,H387_gp58,JBD5_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515544,H387_gp59,H387_gp59,JBD5_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515545,H387_gp01,H387_gp01,JBD5_001,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1223261,14564100,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210123,-
