#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1537091,23681424,VC56_gp02,VC56_gp02,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200629,-
1537091,23681489,VC56_gp67,VC56_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681490,VC56_gp68,VC56_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681491,VC56_gp69,VC56_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681492,VC56_gp70,VC56_gp70,-,-,-,-,putative DNA-binding protein Roi,protein-coding,-,-,-,putative DNA-binding protein Roi,20200629,-
1537091,23681493,VC56_gp71,VC56_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681494,VC56_gp72,VC56_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681495,VC56_gp73,VC56_gp73,-,-,-,-,putative recombination endonuclease,protein-coding,-,-,-,putative recombination endonuclease,20200629,-
1537091,23681496,VC56_gp74,VC56_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681497,VC56_gp75,VC56_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681498,VC56_gp76,VC56_gp76,-,-,-,-,putative antitermination protein Q,protein-coding,-,-,-,putative antitermination protein Q,20200629,-
1537091,23681499,VC56_gp77,VC56_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681500,VC56_gp78,VC56_gp78,-,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20200629,-
1537091,23681501,VC56_gp79,VC56_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681502,VC56_gp80,VC56_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681503,VC56_gp81,VC56_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681504,VC56_gp82,VC56_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681505,VC56_gp01,VC56_gp01,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200629,-
1537091,23711129,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Edwardsiella phage FW-3).,other,-,-,-,-,20200513,-
