#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1498168,24628048,ACQ25_gp001,ACQ25_gp001,-,-,-,-,putative cytidine deaminase,protein-coding,-,-,-,putative cytidine deaminase,20200910,-
1498168,24628081,ACQ25_gp029,ACQ25_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628082,ACQ25_gp030,ACQ25_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1498168,24628083,ACQ25_gp031,ACQ25_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628084,ACQ25_gp032,ACQ25_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628085,ACQ25_gp033,ACQ25_gp033,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1498168,24628086,ACQ25_gp034,ACQ25_gp034,-,-,-,-,putative Ig-like protein,protein-coding,-,-,-,putative Ig-like protein,20200910,-
1498168,24628087,ACQ25_gp035,ACQ25_gp035,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210417,-
1498168,24628088,ACQ25_gp036,ACQ25_gp036,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20200910,-
1498168,24628089,ACQ25_gp037,ACQ25_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628090,ACQ25_gp038,ACQ25_gp038,-,-,-,-,putative recombinase A,protein-coding,-,-,-,putative recombinase A,20210123,-
1498168,24628091,ACQ25_gp039,ACQ25_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628092,ACQ25_gp040,ACQ25_gp040,-,-,-,-,putative recombinase A,protein-coding,-,-,-,putative recombinase A,20210123,-
1498168,24628093,ACQ25_gp041,ACQ25_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628094,ACQ25_gp042,ACQ25_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628095,ACQ25_gp043,ACQ25_gp043,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
1498168,24628096,ACQ25_gp044,ACQ25_gp044,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1498168,24628097,ACQ25_gp045,ACQ25_gp045,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1498168,24628098,ACQ25_gp046,ACQ25_gp046,-,-,-,-,putative integration host factor,protein-coding,-,-,-,putative integration host factor,20200910,-
1498168,24628099,ACQ25_gp047,ACQ25_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628100,ACQ25_gp048,ACQ25_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628101,ACQ25_gp049,ACQ25_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1498168,24628102,ACQ25_gp050,ACQ25_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628103,ACQ25_gp051,ACQ25_gp051,-,-,-,-,putative resolvase,protein-coding,-,-,-,putative resolvase,20210424,-
1498168,24628104,ACQ25_gp052,ACQ25_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628105,ACQ25_gp053,ACQ25_gp053,-,-,-,-,putative phosphotransferase/anion transport protein,protein-coding,-,-,-,putative phosphotransferase/anion transport protein,20200910,-
1498168,24628106,ACQ25_gp054,ACQ25_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628107,ACQ25_gp055,ACQ25_gp055,-,-,-,-,putative dUTPase,protein-coding,-,-,-,putative dUTPase,20200910,-
1498168,24628108,ACQ25_gp056,ACQ25_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628109,ACQ25_gp057,ACQ25_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628110,ACQ25_gp058,ACQ25_gp058,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1498168,24628111,ACQ25_gp059,ACQ25_gp059,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20200910,-
1498168,24628112,ACQ25_gp060,ACQ25_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628113,ACQ25_gp061,ACQ25_gp061,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200910,-
1498168,24628114,ACQ25_gp062,ACQ25_gp062,-,-,-,-,recombination exonuclease,protein-coding,-,-,-,recombination exonuclease,20200910,-
1498168,24628115,ACQ25_gp063,ACQ25_gp063,-,-,-,-,helicase DnaB-like,protein-coding,-,-,-,helicase DnaB-like,20200910,-
1498168,24628116,ACQ25_gp064,ACQ25_gp064,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210123,-
1498168,24628117,ACQ25_gp065,ACQ25_gp065,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200910,-
1498168,24628118,ACQ25_gp066,ACQ25_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628119,ACQ25_gp067,ACQ25_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628120,ACQ25_gp068,ACQ25_gp068,-,-,-,-,putative adsorption associated tail protein,protein-coding,-,-,-,putative adsorption associated tail protein,20200910,-
1498168,24628121,ACQ25_gp069,ACQ25_gp069,-,-,-,-,putative adsorption associated tail protein,protein-coding,-,-,-,putative adsorption associated tail protein,20200910,-
1498168,24628122,ACQ25_gp070,ACQ25_gp070,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1498168,24628123,ACQ25_gp071,ACQ25_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628124,ACQ25_gp072,ACQ25_gp072,-,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20210123,-
1498168,24628125,ACQ25_gp073,ACQ25_gp073,-,-,-,-,putative baseplate,protein-coding,-,-,-,putative baseplate,20210123,-
1498168,24628126,ACQ25_gp074,ACQ25_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628127,ACQ25_gp075,ACQ25_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628128,ACQ25_gp076,ACQ25_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628129,ACQ25_gp077,ACQ25_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628130,ACQ25_gp078,ACQ25_gp078,-,-,-,-,putative minor structural protein,protein-coding,-,-,-,putative minor structural protein,20200910,-
1498168,24628131,ACQ25_gp079,ACQ25_gp079,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20200910,-
1498168,24628132,ACQ25_gp080,ACQ25_gp080,-,-,-,-,putative tail lysin,protein-coding,-,-,-,putative tail lysin,20200910,-
1498168,24628133,ACQ25_gp081,ACQ25_gp081,-,-,-,-,putative tail lysin,protein-coding,-,-,-,putative tail lysin,20200910,-
1498168,24628134,ACQ25_gp082,ACQ25_gp082,-,-,-,-,putative tail lysin,protein-coding,-,-,-,putative tail lysin,20200910,-
1498168,24628135,ACQ25_gp083,ACQ25_gp083,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20200910,-
1498168,24628136,ACQ25_gp084,ACQ25_gp084,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200910,-
1498168,24628137,ACQ25_gp085,ACQ25_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628138,ACQ25_gp086,ACQ25_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628139,ACQ25_gp087,ACQ25_gp087,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200910,-
1498168,24628140,ACQ25_gp088,ACQ25_gp088,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
1498168,24628141,ACQ25_gp089,ACQ25_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628142,ACQ25_gp090,ACQ25_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628143,ACQ25_gp091,ACQ25_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628144,ACQ25_gp092,ACQ25_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628145,ACQ25_gp093,ACQ25_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628146,ACQ25_gp094,ACQ25_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628147,ACQ25_gp095,ACQ25_gp095,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200910,-
1498168,24628148,ACQ25_gp096,ACQ25_gp096,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1498168,24628149,ACQ25_gp097,ACQ25_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628150,ACQ25_gp098,ACQ25_gp098,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200910,-
1498168,24628151,ACQ25_gp099,ACQ25_gp099,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1498168,24628152,ACQ25_gp100,ACQ25_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628153,ACQ25_gp101,ACQ25_gp101,-,-,-,-,peptidoglycan-binding LysM,protein-coding,-,-,-,peptidoglycan-binding LysM,20200919,-
1498168,24628154,ACQ25_gp102,ACQ25_gp102,-,-,-,-,putative N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,putative N-acetylmuramoyl-L-alanine amidase,20200910,-
1498168,24628155,ACQ25_gp103,ACQ25_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628156,ACQ25_gp104,ACQ25_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628157,ACQ25_gp105,ACQ25_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628158,ACQ25_gp106,ACQ25_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628159,ACQ25_gp107,ACQ25_gp107,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1498168,24628160,ACQ25_gp108,ACQ25_gp108,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1498168,24628161,ACQ25_gp109,ACQ25_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628162,ACQ25_gp110,ACQ25_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628163,ACQ25_gp111,ACQ25_gp111,-,-,-,-,putative large terminase,protein-coding,-,-,-,putative large terminase,20200910,-
1498168,24628164,ACQ25_gp112,ACQ25_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628165,ACQ25_gp113,ACQ25_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628166,ACQ25_gp114,ACQ25_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628167,ACQ25_gp115,ACQ25_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628168,ACQ25_gp116,ACQ25_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628169,ACQ25_gp117,ACQ25_gp117,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1498168,24628170,ACQ25_gp118,ACQ25_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628171,ACQ25_gt001,ACQ25_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1498168,24628172,ACQ25_gt005,ACQ25_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1498168,24628173,ACQ25_gp218,ACQ25_gp218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628174,ACQ25_gp217,ACQ25_gp217,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200910,-
1498168,24628175,ACQ25_gp216,ACQ25_gp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628176,ACQ25_gp215,ACQ25_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628177,ACQ25_gp214,ACQ25_gp214,-,-,-,-,putative ribonucleotide reductase,protein-coding,-,-,-,putative ribonucleotide reductase,20200910,-
1498168,24628178,ACQ25_gp213,ACQ25_gp213,-,-,-,-,putative ribonucleotide reductase,protein-coding,-,-,-,putative ribonucleotide reductase,20210123,-
1498168,24628179,ACQ25_gp212,ACQ25_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1498168,24628180,ACQ25_gp211,ACQ25_gp211,-,-,-,-,putative ribonucleotide reductase,protein-coding,-,-,-,putative ribonucleotide reductase,20200910,-
1498168,24628181,ACQ25_gp210,ACQ25_gp210,-,-,-,-,putative ribonucleotide reductase,protein-coding,-,-,-,putative ribonucleotide reductase,20200910,-
1498168,24628182,ACQ25_gp209,ACQ25_gp209,-,-,-,-,putative anti-proliferative protein,protein-coding,-,-,-,putative anti-proliferative protein,20200910,-
1498168,24628183,ACQ25_gp208,ACQ25_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628184,ACQ25_gp207,ACQ25_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628185,ACQ25_gp206,ACQ25_gp206,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210424,-
1498168,24628186,ACQ25_gp205,ACQ25_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628187,ACQ25_gp204,ACQ25_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628188,ACQ25_gp203,ACQ25_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628189,ACQ25_gp202,ACQ25_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628190,ACQ25_gp201,ACQ25_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628191,ACQ25_gp200,ACQ25_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628192,ACQ25_gp199,ACQ25_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628193,ACQ25_gp198,ACQ25_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628194,ACQ25_gp197,ACQ25_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628195,ACQ25_gp196,ACQ25_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628196,ACQ25_gp195,ACQ25_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628197,ACQ25_gp194,ACQ25_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628198,ACQ25_gp193,ACQ25_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628199,ACQ25_gp192,ACQ25_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628200,ACQ25_gp191,ACQ25_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628201,ACQ25_gp190,ACQ25_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628202,ACQ25_gp189,ACQ25_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628203,ACQ25_gp188,ACQ25_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628204,ACQ25_gp187,ACQ25_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628205,ACQ25_gp186,ACQ25_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628206,ACQ25_gp185,ACQ25_gp185,-,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200910,-
1498168,24628207,ACQ25_gp184,ACQ25_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628208,ACQ25_gp183,ACQ25_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628209,ACQ25_gp182,ACQ25_gp182,-,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20200910,-
1498168,24628210,ACQ25_gp181,ACQ25_gp181,-,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20200910,-
1498168,24628211,ACQ25_gp180,ACQ25_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628212,ACQ25_gp179,ACQ25_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628213,ACQ25_gp178,ACQ25_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628214,ACQ25_gp177,ACQ25_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628215,ACQ25_gp176,ACQ25_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1498168,24628216,ACQ25_gp175,ACQ25_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628217,ACQ25_gp174,ACQ25_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628218,ACQ25_gp173,ACQ25_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628219,ACQ25_gp172,ACQ25_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628220,ACQ25_gp171,ACQ25_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628221,ACQ25_gp170,ACQ25_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628222,ACQ25_gp169,ACQ25_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628223,ACQ25_gp168,ACQ25_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628224,ACQ25_gp167,ACQ25_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628225,ACQ25_gp166,ACQ25_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628226,ACQ25_gp165,ACQ25_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628227,ACQ25_gp164,ACQ25_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628228,ACQ25_gp163,ACQ25_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628229,ACQ25_gp162,ACQ25_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628230,ACQ25_gp161,ACQ25_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628231,ACQ25_gp160,ACQ25_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628232,ACQ25_gp159,ACQ25_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628233,ACQ25_gp158,ACQ25_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628234,ACQ25_gp157,ACQ25_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628235,ACQ25_gp156,ACQ25_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628236,ACQ25_gp155,ACQ25_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628237,ACQ25_gp154,ACQ25_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628238,ACQ25_gp153,ACQ25_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628239,ACQ25_gp152,ACQ25_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628240,ACQ25_gp151,ACQ25_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628241,ACQ25_gp150,ACQ25_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
