#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182394,60326811,2,I5H21_gp002,SEA_BYOUGENKIN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2182394,60326844,35,I5H21_gp035,SEA_BYOUGENKIN_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210424,-
2182394,60326845,36,I5H21_gp036,SEA_BYOUGENKIN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326846,37,I5H21_gp037,SEA_BYOUGENKIN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326847,38,I5H21_gp038,SEA_BYOUGENKIN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326848,39,I5H21_gp039,SEA_BYOUGENKIN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326849,40,I5H21_gp040,SEA_BYOUGENKIN_40,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2182394,60326850,41,I5H21_gp041,SEA_BYOUGENKIN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326851,42,I5H21_gp042,SEA_BYOUGENKIN_42,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2182394,60326852,43,I5H21_gp043,SEA_BYOUGENKIN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326853,44,I5H21_gp044,SEA_BYOUGENKIN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326854,45,I5H21_gp045,SEA_BYOUGENKIN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326855,46,I5H21_gp046,SEA_BYOUGENKIN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326856,47,I5H21_gp047,SEA_BYOUGENKIN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326857,48,I5H21_gp048,SEA_BYOUGENKIN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326858,49,I5H21_gp049,SEA_BYOUGENKIN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326859,50,I5H21_gp050,SEA_BYOUGENKIN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326860,51,I5H21_gp051,SEA_BYOUGENKIN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326861,52,I5H21_gp052,SEA_BYOUGENKIN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326862,53,I5H21_gp053,SEA_BYOUGENKIN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326863,54,I5H21_gp054,SEA_BYOUGENKIN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326864,55,I5H21_gp055,SEA_BYOUGENKIN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326865,56,I5H21_gp056,SEA_BYOUGENKIN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326866,57,I5H21_gp057,SEA_BYOUGENKIN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326867,58,I5H21_gp058,SEA_BYOUGENKIN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326868,59,I5H21_gp059,SEA_BYOUGENKIN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326869,60,I5H21_gp060,SEA_BYOUGENKIN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326870,61,I5H21_gp061,SEA_BYOUGENKIN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326871,62,I5H21_gp062,SEA_BYOUGENKIN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326872,63,I5H21_gp063,SEA_BYOUGENKIN_63,-,-,-,HNH endonuclease protein,protein-coding,-,-,-,HNH endonuclease protein,20210424,-
2182394,60326873,64,I5H21_gp064,SEA_BYOUGENKIN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326874,65,I5H21_gp065,SEA_BYOUGENKIN_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2182394,60326875,67,I5H21_gp067,SEA_BYOUGENKIN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326876,68,I5H21_gp068,SEA_BYOUGENKIN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326877,69,I5H21_gp069,SEA_BYOUGENKIN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326878,70,I5H21_gp070,SEA_BYOUGENKIN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326879,71,I5H21_gp071,SEA_BYOUGENKIN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326880,72,I5H21_gp072,SEA_BYOUGENKIN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326881,73,I5H21_gp073,SEA_BYOUGENKIN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326882,74,I5H21_gp074,SEA_BYOUGENKIN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326883,75,I5H21_gp075,SEA_BYOUGENKIN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326884,76,I5H21_gp076,SEA_BYOUGENKIN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326885,77,I5H21_gp077,SEA_BYOUGENKIN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326886,78,I5H21_gp078,SEA_BYOUGENKIN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326887,79,I5H21_gp079,SEA_BYOUGENKIN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326888,80,I5H21_gp080,SEA_BYOUGENKIN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326889,81,I5H21_gp081,SEA_BYOUGENKIN_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326890,82,I5H21_gp082,SEA_BYOUGENKIN_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326891,83,I5H21_gp083,SEA_BYOUGENKIN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326892,84,I5H21_gp084,SEA_BYOUGENKIN_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326893,85,I5H21_gp085,SEA_BYOUGENKIN_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326894,86,I5H21_gp086,SEA_BYOUGENKIN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326895,87,I5H21_gp087,SEA_BYOUGENKIN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326896,88,I5H21_gp088,SEA_BYOUGENKIN_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326897,89,I5H21_gp089,SEA_BYOUGENKIN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326898,90,I5H21_gp090,SEA_BYOUGENKIN_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326899,91,I5H21_gp091,SEA_BYOUGENKIN_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326900,92,I5H21_gp092,SEA_BYOUGENKIN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2182394,60326901,93,I5H21_gp093,SEA_BYOUGENKIN_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326902,94,I5H21_gp094,SEA_BYOUGENKIN_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326903,95,I5H21_gp095,SEA_BYOUGENKIN_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326904,96,I5H21_gp096,SEA_BYOUGENKIN_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326905,97,I5H21_gp097,SEA_BYOUGENKIN_97,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210424,-
2182394,60326906,98,I5H21_gp098,SEA_BYOUGENKIN_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326907,99,I5H21_gp099,SEA_BYOUGENKIN_99,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2182394,60326908,100,I5H21_gp100,SEA_BYOUGENKIN_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2182394,60326909,101,I5H21_gp101,SEA_BYOUGENKIN_101,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2182394,60326910,66,I5H21_gp066,SEA_BYOUGENKIN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326911,1,I5H21_gp001,SEA_BYOUGENKIN_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2182394,60338667,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
