#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500761,65118137,KNU35_gp002,KNU35_gp002,vBEcoM005_002,-,-,-,fiber attachment catalyst,protein-coding,-,-,-,fiber attachment catalyst,20210607,-
2500761,65118163,KNU35_gp028,KNU35_gp028,vBEcoM005_028,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2500761,65118164,KNU35_gp029,KNU35_gp029,vBEcoM005_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118165,KNU35_gp030,KNU35_gp030,vBEcoM005_030,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2500761,65118166,KNU35_gp031,KNU35_gp031,vBEcoM005_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118167,KNU35_gp032,KNU35_gp032,vBEcoM005_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118168,KNU35_gp033,KNU35_gp033,vBEcoM005_033,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210607,-
2500761,65118169,KNU35_gp034,KNU35_gp034,vBEcoM005_034,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210607,-
2500761,65118170,KNU35_gp035,KNU35_gp035,vBEcoM005_035,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2500761,65118171,KNU35_gp036,KNU35_gp036,vBEcoM005_036,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210607,-
2500761,65118172,KNU35_gp037,KNU35_gp037,vBEcoM005_037,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2500761,65118173,KNU35_gp038,KNU35_gp038,vBEcoM005_038,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210607,-
2500761,65118174,KNU35_gp039,KNU35_gp039,vBEcoM005_039,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2500761,65118175,KNU35_gp040,KNU35_gp040,vBEcoM005_040,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2500761,65118176,KNU35_gp041,KNU35_gp041,vBEcoM005_041,-,-,-,recombination repair and ssDNA binding protein,protein-coding,-,-,-,recombination repair and ssDNA binding protein,20210607,-
2500761,65118177,KNU35_gp042,KNU35_gp042,vBEcoM005_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118178,KNU35_gp043,KNU35_gp043,vBEcoM005_043,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210607,-
2500761,65118179,KNU35_gp044,KNU35_gp044,vBEcoM005_044,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,20210607,-
2500761,65118180,KNU35_gp045,KNU35_gp045,vBEcoM005_045,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210607,-
2500761,65118181,KNU35_gp046,KNU35_gp046,vBEcoM005_046,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20210607,-
2500761,65118182,KNU35_gp047,KNU35_gp047,vBEcoM005_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118183,KNU35_gp048,KNU35_gp048,vBEcoM005_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118184,KNU35_gp049,KNU35_gp049,vBEcoM005_049,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210607,-
2500761,65118185,KNU35_gp050,KNU35_gp050,vBEcoM005_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118186,KNU35_gp051,KNU35_gp051,vBEcoM005_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118187,KNU35_gp052,KNU35_gp052,vBEcoM005_052,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210607,-
2500761,65118188,KNU35_gp053,KNU35_gp053,vBEcoM005_053,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210607,-
2500761,65118189,KNU35_gp054,KNU35_gp054,vBEcoM005_054,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210607,-
2500761,65118190,KNU35_gp055,KNU35_gp055,vBEcoM005_055,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2500761,65118191,KNU35_gp056,KNU35_gp056,vBEcoM005_056,-,-,-,prohead core protein precursor,protein-coding,-,-,-,prohead core protein precursor,20210607,-
2500761,65118192,KNU35_gp057,KNU35_gp057,vBEcoM005_057,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20210607,-
2500761,65118193,KNU35_gp058,KNU35_gp058,vBEcoM005_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118194,KNU35_gp059,KNU35_gp059,vBEcoM005_059,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2500761,65118195,KNU35_gp060,KNU35_gp060,vBEcoM005_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118196,KNU35_gp061,KNU35_gp061,vBEcoM005_061,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2500761,65118197,KNU35_gp062,KNU35_gp062,vBEcoM005_062,-,-,-,"terminase DNA packaging enzyme, large subunit",protein-coding,-,-,-,"terminase DNA packaging enzyme, large subunit",20210607,-
2500761,65118198,KNU35_gp063,KNU35_gp063,vBEcoM005_063,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210607,-
2500761,65118199,KNU35_gp064,KNU35_gp064,vBEcoM005_064,-,-,-,tail sheath stabilizer,protein-coding,-,-,-,tail sheath stabilizer,20210607,-
2500761,65118200,KNU35_gp065,KNU35_gp065,vBEcoM005_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118201,KNU35_gp066,KNU35_gp066,vBEcoM005_066,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2500761,65118202,KNU35_gp067,KNU35_gp067,vBEcoM005_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118203,KNU35_gp068,KNU35_gp068,vBEcoM005_068,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2500761,65118204,KNU35_gp069,KNU35_gp069,vBEcoM005_069,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2500761,65118205,KNU35_gp070,KNU35_gp070,vBEcoM005_070,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210607,-
2500761,65118206,KNU35_gp071,KNU35_gp071,vBEcoM005_071,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20210607,-
2500761,65118207,KNU35_gp072,KNU35_gp072,vBEcoM005_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118208,KNU35_gp073,KNU35_gp073,vBEcoM005_073,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2500761,65118209,KNU35_gp074,KNU35_gp074,vBEcoM005_074,-,-,-,baseplate wedge tail fiber,protein-coding,-,-,-,baseplate wedge tail fiber,20210607,-
2500761,65118210,KNU35_gp075,KNU35_gp075,vBEcoM005_075,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2500761,65118211,KNU35_gp076,KNU35_gp076,vBEcoM005_076,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
2500761,65118212,KNU35_gp077,KNU35_gp077,vBEcoM005_077,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2500761,65118213,KNU35_gp078,KNU35_gp078,vBEcoM005_078,-,-,-,RegA,protein-coding,-,-,-,RegA,20210609,-
2500761,65118214,KNU35_gp079,KNU35_gp079,vBEcoM005_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118215,KNU35_gp080,KNU35_gp080,vBEcoM005_080,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210607,-
2500761,65118216,KNU35_gp081,KNU35_gp081,vBEcoM005_081,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2500761,65118217,KNU35_gp082,KNU35_gp082,vBEcoM005_082,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2500761,65118218,KNU35_gp083,KNU35_gp083,vBEcoM005_083,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210607,-
2500761,65118219,KNU35_gp084,KNU35_gp084,vBEcoM005_084,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210607,-
2500761,65118220,KNU35_gp085,KNU35_gp085,vBEcoM005_085,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210607,-
2500761,65118221,KNU35_gp086,KNU35_gp086,vBEcoM005_086,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20210607,-
2500761,65118222,KNU35_gp087,KNU35_gp087,vBEcoM005_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118223,KNU35_gp088,KNU35_gp088,vBEcoM005_088,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210607,-
2500761,65118224,KNU35_gp089,KNU35_gp089,vBEcoM005_089,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210607,-
2500761,65118225,KNU35_gp090,KNU35_gp090,vBEcoM005_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118226,KNU35_gp091,KNU35_gp091,vBEcoM005_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118227,KNU35_gp092,KNU35_gp092,vBEcoM005_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118228,KNU35_gp093,KNU35_gp093,vBEcoM005_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118229,KNU35_gt001,KNU35_gt001,vBEcoM005_t001,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500761,65118230,KNU35_gt002,KNU35_gt002,vBEcoM005_t002,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500761,65118231,KNU35_gp250,KNU35_gp250,vBEcoM005_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118232,KNU35_gp001,KNU35_gp001,vBEcoM005_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118233,KNU35_gp249,KNU35_gp249,vBEcoM005_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118234,KNU35_gp248,KNU35_gp248,vBEcoM005_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118235,KNU35_gp247,KNU35_gp247,vBEcoM005_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118236,KNU35_gp246,KNU35_gp246,vBEcoM005_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118237,KNU35_gp245,KNU35_gp245,vBEcoM005_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118238,KNU35_gp244,KNU35_gp244,vBEcoM005_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118239,KNU35_gp243,KNU35_gp243,vBEcoM005_101,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20210607,-
2500761,65118240,KNU35_gp242,KNU35_gp242,vBEcoM005_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118241,KNU35_gp241,KNU35_gp241,vBEcoM005_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118242,KNU35_gp240,KNU35_gp240,vBEcoM005_104,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2500761,65118243,KNU35_gp239,KNU35_gp239,vBEcoM005_105,-,-,-,prohead assembly scaffold protein,protein-coding,-,-,-,prohead assembly scaffold protein,20210607,-
2500761,65118244,KNU35_gp238,KNU35_gp238,vBEcoM005_106,-,-,-,prohead assembly scaffold protein,protein-coding,-,-,-,prohead assembly scaffold protein,20210607,-
2500761,65118245,KNU35_gp237,KNU35_gp237,vBEcoM005_107,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2500761,65118246,KNU35_gp236,KNU35_gp236,vBEcoM005_108,-,-,-,prohead assembly scaffold protein,protein-coding,-,-,-,prohead assembly scaffold protein,20210607,-
2500761,65118247,KNU35_gp235,KNU35_gp235,vBEcoM005_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118248,KNU35_gp234,KNU35_gp234,vBEcoM005_110,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2500761,65118249,KNU35_gp233,KNU35_gp233,vBEcoM005_111,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210607,-
2500761,65118250,KNU35_gp232,KNU35_gp232,vBEcoM005_112,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20210607,-
2500761,65118251,KNU35_gp231,KNU35_gp231,vBEcoM005_113,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2500761,65118252,KNU35_gp230,KNU35_gp230,vBEcoM005_114,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210607,-
2500761,65118253,KNU35_gp229,KNU35_gp229,vBEcoM005_115,-,-,-,lysozyme murein hydrolase,protein-coding,-,-,-,lysozyme murein hydrolase,20210607,-
2500761,65118254,KNU35_gp228,KNU35_gp228,vBEcoM005_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118255,KNU35_gp227,KNU35_gp227,vBEcoM005_117,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210607,-
2500761,65118256,KNU35_gp226,KNU35_gp226,vBEcoM005_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118257,KNU35_gp225,KNU35_gp225,vBEcoM005_119,-,-,-,endonuclease V N-glycosylase UV repair enzyme,protein-coding,-,-,-,endonuclease V N-glycosylase UV repair enzyme,20210607,-
2500761,65118258,KNU35_gp224,KNU35_gp224,vBEcoM005_120,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210607,-
2500761,65118259,KNU35_gp223,KNU35_gp223,vBEcoM005_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118260,KNU35_gp222,KNU35_gp222,vBEcoM005_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118261,KNU35_gp221,KNU35_gp221,vBEcoM005_123,-,-,-,pyrimidine dimer DNA glycosylase,protein-coding,-,-,-,pyrimidine dimer DNA glycosylase,20210607,-
2500761,65118262,KNU35_gp220,KNU35_gp220,vBEcoM005_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118263,KNU35_gp219,KNU35_gp219,vBEcoM005_125,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210607,-
2500761,65118264,KNU35_gp218,KNU35_gp218,vBEcoM005_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118265,KNU35_gp217,KNU35_gp217,vBEcoM005_127,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2500761,65118266,KNU35_gp216,KNU35_gp216,vBEcoM005_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118267,KNU35_gp215,KNU35_gp215,vBEcoM005_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118268,KNU35_gp214,KNU35_gp214,vBEcoM005_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118269,KNU35_gp213,KNU35_gp213,vBEcoM005_131,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2500761,65118270,KNU35_gp212,KNU35_gp212,vBEcoM005_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118271,KNU35_gp211,KNU35_gp211,vBEcoM005_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118272,KNU35_gp210,KNU35_gp210,vBEcoM005_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118273,KNU35_gp209,KNU35_gp209,vBEcoM005_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118274,KNU35_gp208,KNU35_gp208,vBEcoM005_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118275,KNU35_gp207,KNU35_gp207,vBEcoM005_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118276,KNU35_gp206,KNU35_gp206,vBEcoM005_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118277,KNU35_gp205,KNU35_gp205,vBEcoM005_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118278,KNU35_gp204,KNU35_gp204,vBEcoM005_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118279,KNU35_gp203,KNU35_gp203,vBEcoM005_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118280,KNU35_gp202,KNU35_gp202,vBEcoM005_142,-,-,-,ribonucleotide reductase alpha subunit,protein-coding,-,-,-,ribonucleotide reductase alpha subunit,20210607,-
2500761,65118281,KNU35_gp201,KNU35_gp201,vBEcoM005_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118282,KNU35_gp200,KNU35_gp200,vBEcoM005_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118283,KNU35_gp199,KNU35_gp199,vBEcoM005_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118284,KNU35_gp198,KNU35_gp198,vBEcoM005_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118285,KNU35_gp197,KNU35_gp197,vBEcoM005_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118286,KNU35_gp196,KNU35_gp196,vBEcoM005_148,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20210607,-
2500761,65118287,KNU35_gp195,KNU35_gp195,vBEcoM005_149,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2500761,65118288,KNU35_gp194,KNU35_gp194,vBEcoM005_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118289,KNU35_gp193,KNU35_gp193,vBEcoM005_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118290,KNU35_gp192,KNU35_gp192,vBEcoM005_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118291,KNU35_gp191,KNU35_gp191,vBEcoM005_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118292,KNU35_gp190,KNU35_gp190,vBEcoM005_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118293,KNU35_gp189,KNU35_gp189,vBEcoM005_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118294,KNU35_gp188,KNU35_gp188,vBEcoM005_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118295,KNU35_gp187,KNU35_gp187,vBEcoM005_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118296,KNU35_gp186,KNU35_gp186,vBEcoM005_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118297,KNU35_gp185,KNU35_gp185,vBEcoM005_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118298,KNU35_gp184,KNU35_gp184,vBEcoM005_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118299,KNU35_gp183,KNU35_gp183,vBEcoM005_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118300,KNU35_gp182,KNU35_gp182,vBEcoM005_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118301,KNU35_gp181,KNU35_gp181,vBEcoM005_163,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20210607,-
2500761,65118302,KNU35_gp180,KNU35_gp180,vBEcoM005_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118303,KNU35_gp179,KNU35_gp179,vBEcoM005_165,-,-,-,hemolysin,protein-coding,-,-,-,hemolysin,20210609,-
2500761,65118304,KNU35_gp178,KNU35_gp178,vBEcoM005_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118305,KNU35_gp177,KNU35_gp177,vBEcoM005_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118306,KNU35_gp176,KNU35_gp176,vBEcoM005_168,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2500761,65118307,KNU35_gp175,KNU35_gp175,vBEcoM005_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118308,KNU35_gp174,KNU35_gp174,vBEcoM005_170,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2500761,65118309,KNU35_gp173,KNU35_gp173,vBEcoM005_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118310,KNU35_gp172,KNU35_gp172,vBEcoM005_172,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210609,-
