#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1874015,63181612,J3996_gp02,J3996_gp02,SEA_LAURIE_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20210314,-
1874015,63181627,J3996_gp17,J3996_gp17,SEA_LAURIE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181628,J3996_gp18,J3996_gp18,SEA_LAURIE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181629,J3996_gp19,J3996_gp19,SEA_LAURIE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181630,J3996_gp20,J3996_gp20,SEA_LAURIE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181631,J3996_gp21,J3996_gp21,SEA_LAURIE_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210314,-
1874015,63181632,J3996_gp22,J3996_gp22,SEA_LAURIE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1874015,63181633,J3996_gp23,J3996_gp23,SEA_LAURIE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181634,J3996_gp24,J3996_gp24,SEA_LAURIE_24,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210314,-
1874015,63181635,J3996_gp25,J3996_gp25,SEA_LAURIE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181636,J3996_gp26,J3996_gp26,SEA_LAURIE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181637,J3996_gp27,J3996_gp27,SEA_LAURIE_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210314,-
1874015,63181638,J3996_gp28,J3996_gp28,SEA_LAURIE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181639,J3996_gp29,J3996_gp29,SEA_LAURIE_29,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210314,-
1874015,63181640,J3996_gp30,J3996_gp30,SEA_LAURIE_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210314,-
1874015,63181641,J3996_gp31,J3996_gp31,SEA_LAURIE_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210314,-
1874015,63181642,J3996_gp32,J3996_gp32,SEA_LAURIE_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210314,-
1874015,63181643,J3996_gp33,J3996_gp33,SEA_LAURIE_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210314,-
1874015,63181644,J3996_gp34,J3996_gp34,SEA_LAURIE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181645,J3996_gp35,J3996_gp35,SEA_LAURIE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181646,J3996_gp36,J3996_gp36,SEA_LAURIE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181647,J3996_gp37,J3996_gp37,SEA_LAURIE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181648,J3996_gp38,J3996_gp38,SEA_LAURIE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181649,J3996_gp39,J3996_gp39,SEA_LAURIE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181650,J3996_gp40,J3996_gp40,SEA_LAURIE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181651,J3996_gp41,J3996_gp41,SEA_LAURIE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181652,J3996_gp42,J3996_gp42,SEA_LAURIE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181653,J3996_gp43,J3996_gp43,SEA_LAURIE_43,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210314,-
1874015,63181654,J3996_gp44,J3996_gp44,SEA_LAURIE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181655,J3996_gp45,J3996_gp45,SEA_LAURIE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181656,J3996_gp46,J3996_gp46,SEA_LAURIE_46,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210314,-
1874015,63181657,J3996_gp47,J3996_gp47,SEA_LAURIE_47,-,-,-,holin,protein-coding,-,-,-,holin,20210314,-
1874015,63181658,J3996_gp48,J3996_gp48,SEA_LAURIE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181659,J3996_gp49,J3996_gp49,SEA_LAURIE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181660,J3996_gp50,J3996_gp50,SEA_LAURIE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181661,J3996_gp51,J3996_gp51,SEA_LAURIE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181662,J3996_gp52,J3996_gp52,SEA_LAURIE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181663,J3996_gp53,J3996_gp53,SEA_LAURIE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181664,J3996_gp54,J3996_gp54,SEA_LAURIE_54,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210314,-
1874015,63181665,J3996_gp55,J3996_gp55,SEA_LAURIE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181666,J3996_gp56,J3996_gp56,SEA_LAURIE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181667,J3996_gp57,J3996_gp57,SEA_LAURIE_57,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210314,-
1874015,63181668,J3996_gp58,J3996_gp58,SEA_LAURIE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181669,J3996_gp59,J3996_gp59,SEA_LAURIE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181670,J3996_gp60,J3996_gp60,SEA_LAURIE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181671,J3996_gp61,J3996_gp61,SEA_LAURIE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181672,J3996_gp62,J3996_gp62,SEA_LAURIE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181673,J3996_gp63,J3996_gp63,SEA_LAURIE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181674,J3996_gp64,J3996_gp64,SEA_LAURIE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181675,J3996_gp65,J3996_gp65,SEA_LAURIE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181676,J3996_gp66,J3996_gp66,SEA_LAURIE_66,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210314,-
1874015,63181677,J3996_gp67,J3996_gp67,SEA_LAURIE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181678,J3996_gp68,J3996_gp68,SEA_LAURIE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181679,J3996_gp69,J3996_gp69,SEA_LAURIE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181680,J3996_gp70,J3996_gp70,SEA_LAURIE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181681,J3996_gp71,J3996_gp71,SEA_LAURIE_71,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210314,-
1874015,63181682,J3996_gp72,J3996_gp72,SEA_LAURIE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181683,J3996_gp73,J3996_gp73,SEA_LAURIE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181684,J3996_gp74,J3996_gp74,SEA_LAURIE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181685,J3996_gp75,J3996_gp75,SEA_LAURIE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181686,J3996_gp76,J3996_gp76,SEA_LAURIE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181687,J3996_gp77,J3996_gp77,SEA_LAURIE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181688,J3996_gp78,J3996_gp78,SEA_LAURIE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181689,J3996_gp79,J3996_gp79,SEA_LAURIE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181690,J3996_gp80,J3996_gp80,SEA_LAURIE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181691,J3996_gp81,J3996_gp81,SEA_LAURIE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181692,J3996_gp82,J3996_gp82,SEA_LAURIE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181693,J3996_gp83,J3996_gp83,SEA_LAURIE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181694,J3996_gp84,J3996_gp84,SEA_LAURIE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181695,J3996_gp85,J3996_gp85,SEA_LAURIE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181696,J3996_gp86,J3996_gp86,SEA_LAURIE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181697,J3996_gp87,J3996_gp87,SEA_LAURIE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181698,J3996_gp88,J3996_gp88,SEA_LAURIE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181699,J3996_gp89,J3996_gp89,SEA_LAURIE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181700,J3996_gp90,J3996_gp90,SEA_LAURIE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181701,J3996_gp01,J3996_gp01,SEA_LAURIE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63190173,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210315,-
