#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2502448,60333079,3,I5H81_gp003,SEA_POLLYWOG_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2502448,60333107,32,I5H81_gp032,SEA_POLLYWOG_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2502448,60333108,33,I5H81_gp033,SEA_POLLYWOG_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2502448,60333109,34,I5H81_gp034,SEA_POLLYWOG_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333110,35,I5H81_gp035,SEA_POLLYWOG_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
2502448,60333111,36,I5H81_gp036,SEA_POLLYWOG_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333112,37,I5H81_gp037,SEA_POLLYWOG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333113,38,I5H81_gp038,SEA_POLLYWOG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333114,39,I5H81_gp039,SEA_POLLYWOG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333115,42,I5H81_gp042,SEA_POLLYWOG_42,-,-,-,integrase,protein-coding,-,-,-,integrase,20210129,-
2502448,60333116,43,I5H81_gp043,SEA_POLLYWOG_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333117,44,I5H81_gp044,SEA_POLLYWOG_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2502448,60333118,45,I5H81_gp045,SEA_POLLYWOG_45,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2502448,60333119,46,I5H81_gp046,SEA_POLLYWOG_46,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210129,-
2502448,60333120,47,I5H81_gp047,SEA_POLLYWOG_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333121,48,I5H81_gp048,SEA_POLLYWOG_48,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2502448,60333122,49,I5H81_gp049,SEA_POLLYWOG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333123,50,I5H81_gp050,SEA_POLLYWOG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333124,51,I5H81_gp051,SEA_POLLYWOG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333125,52,I5H81_gp052,SEA_POLLYWOG_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333126,53,I5H81_gp053,SEA_POLLYWOG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333127,54,I5H81_gp054,SEA_POLLYWOG_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333128,55,I5H81_gp055,SEA_POLLYWOG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333129,56,I5H81_gp056,SEA_POLLYWOG_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333130,57,I5H81_gp057,SEA_POLLYWOG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
2502448,60333131,58,I5H81_gp058,SEA_POLLYWOG_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210427,-
2502448,60333132,59,I5H81_gp059,SEA_POLLYWOG_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2502448,60333133,60,I5H81_gp060,SEA_POLLYWOG_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2502448,60333134,61,I5H81_gp061,SEA_POLLYWOG_61,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2502448,60333135,62,I5H81_gp062,SEA_POLLYWOG_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333136,63,I5H81_gp063,SEA_POLLYWOG_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333137,64,I5H81_gp064,SEA_POLLYWOG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333138,65,I5H81_gp065,SEA_POLLYWOG_65,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2502448,60333139,66,I5H81_gp066,SEA_POLLYWOG_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210425,-
2502448,60333140,67,I5H81_gp067,SEA_POLLYWOG_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210428,-
2502448,60333141,68,I5H81_gp068,SEA_POLLYWOG_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2502448,60333142,69,I5H81_gp069,SEA_POLLYWOG_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333143,70,I5H81_gp070,SEA_POLLYWOG_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333144,71,I5H81_gp071,SEA_POLLYWOG_71,-,-,-,PAPS reductase-like domain protein,protein-coding,-,-,-,PAPS reductase-like domain protein,20201129,-
2502448,60333145,72,I5H81_gp072,SEA_POLLYWOG_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333146,73,I5H81_gp073,SEA_POLLYWOG_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333147,74,I5H81_gp074,SEA_POLLYWOG_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333148,75,I5H81_gp075,SEA_POLLYWOG_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333149,76,I5H81_gp076,SEA_POLLYWOG_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333150,77,I5H81_gp077,SEA_POLLYWOG_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333151,78,I5H81_gp078,SEA_POLLYWOG_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333152,79,I5H81_gp079,SEA_POLLYWOG_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333153,80,I5H81_gp080,SEA_POLLYWOG_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333154,81,I5H81_gp081,SEA_POLLYWOG_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333155,82,I5H81_gp082,SEA_POLLYWOG_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333156,83,I5H81_gp083,SEA_POLLYWOG_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333157,84,I5H81_gp084,SEA_POLLYWOG_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333158,85,I5H81_gp085,SEA_POLLYWOG_85,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
2502448,60333159,86,I5H81_gp086,SEA_POLLYWOG_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333160,87,I5H81_gp087,SEA_POLLYWOG_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333161,88,I5H81_gp088,SEA_POLLYWOG_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333162,89,I5H81_gp089,SEA_POLLYWOG_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333163,90,I5H81_gp090,SEA_POLLYWOG_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333164,91,I5H81_gp091,SEA_POLLYWOG_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333165,92,I5H81_gp092,SEA_POLLYWOG_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333166,93,I5H81_gp093,SEA_POLLYWOG_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333167,94,I5H81_gp094,SEA_POLLYWOG_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333168,95,I5H81_gp095,SEA_POLLYWOG_95,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210425,-
2502448,60333169,96,I5H81_gp096,SEA_POLLYWOG_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333170,97,I5H81_gp097,SEA_POLLYWOG_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333171,98,I5H81_gp098,SEA_POLLYWOG_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333172,99,I5H81_gp099,SEA_POLLYWOG_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333173,101,I5H81_gp101,SEA_POLLYWOG_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333174,102,I5H81_gp102,SEA_POLLYWOG_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333175,103,I5H81_gp103,SEA_POLLYWOG_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2502448,60333176,104,I5H81_gp104,SEA_POLLYWOG_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333177,105,I5H81_gp105,SEA_POLLYWOG_105,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2502448,60333178,2,I5H81_gp002,SEA_POLLYWOG_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2502448,60333179,100,I5H81_gp100,SEA_POLLYWOG_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333180,41,I5H81_gp041,SEA_POLLYWOG_41,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210313,-
2502448,60333181,26,I5H81_gp026,SEA_POLLYWOG_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333182,40,I5H81_gp040,SEA_POLLYWOG_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2502448,60333183,1,I5H81_gp001,SEA_POLLYWOG_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2502448,60338749,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
