#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654601,26795789,AXI77_gp02,AXI77_gp02,-,-,-,-,cytochrome c biogenesis protein,protein-coding,-,-,-,cytochrome c biogenesis protein,20201221,-
1654601,26795806,AXI77_gp19,AXI77_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795807,AXI77_gp20,AXI77_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795808,AXI77_gp21,AXI77_gp21,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1654601,26795809,AXI77_gp22,AXI77_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795810,AXI77_gp23,AXI77_gp23,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1654601,26795811,AXI77_gp24,AXI77_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795812,AXI77_gp25,AXI77_gp25,-,-,-,-,recombination endonuclease VII provisional,protein-coding,-,-,-,recombination endonuclease VII provisional,20201221,-
1654601,26795813,AXI77_gp26,AXI77_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795814,AXI77_gp27,AXI77_gp27,-,-,-,-,calcineurin-like phosphoesterase,protein-coding,-,-,-,calcineurin-like phosphoesterase,20201221,-
1654601,26795815,AXI77_gp28,AXI77_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795816,AXI77_gp29,AXI77_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795817,AXI77_gp30,AXI77_gp30,-,-,-,-,DNA-dependent RNA polymerase,protein-coding,-,-,-,DNA-dependent RNA polymerase,20210327,-
1654601,26795818,AXI77_gp31,AXI77_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795819,AXI77_gp32,AXI77_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795820,AXI77_gp33,AXI77_gp33,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1654601,26795821,AXI77_gp34,AXI77_gp34,-,-,-,-,head to tail connecting protein,protein-coding,-,-,-,head to tail connecting protein,20201221,-
1654601,26795822,AXI77_gp35,AXI77_gp35,-,-,-,-,head to tail connecting protein,protein-coding,-,-,-,head to tail connecting protein,20201221,-
1654601,26795823,AXI77_gp36,AXI77_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795824,AXI77_gp37,AXI77_gp37,-,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201221,-
1654601,26795825,AXI77_gp38,AXI77_gp38,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1654601,26795826,AXI77_gp39,AXI77_gp39,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1654601,26795827,AXI77_gp40,AXI77_gp40,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1654601,26795828,AXI77_gp41,AXI77_gp41,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20201221,-
1654601,26795829,AXI77_gp42,AXI77_gp42,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20201221,-
1654601,26795830,AXI77_gp43,AXI77_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795831,AXI77_gp44,AXI77_gp44,-,-,-,-,putative internal virion protein A,protein-coding,-,-,-,putative internal virion protein A,20201221,-
1654601,26795832,AXI77_gp45,AXI77_gp45,-,-,-,-,ImpA domain protein,protein-coding,-,-,-,ImpA domain protein,20201221,-
1654601,26795833,AXI77_gp46,AXI77_gp46,-,-,-,-,putative internal core protein,protein-coding,-,-,-,putative internal core protein,20201221,-
1654601,26795834,AXI77_gp47,AXI77_gp47,-,-,-,-,putative internal core protein,protein-coding,-,-,-,putative internal core protein,20201221,-
1654601,26795835,AXI77_gp48,AXI77_gp48,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1654601,26795836,AXI77_gp49,AXI77_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795837,AXI77_gp50,AXI77_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795838,AXI77_gp51,AXI77_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1654601,26795839,AXI77_gp52,AXI77_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795840,AXI77_gp53,AXI77_gp53,-,-,-,-,type VII integral membrane protein,protein-coding,-,-,-,type VII integral membrane protein,20201221,-
1654601,26795841,AXI77_gp54,AXI77_gp54,-,-,-,-,serine protease,protein-coding,-,-,-,serine protease,20201221,-
1654601,26795842,AXI77_gp55,AXI77_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795843,AXI77_gp56,AXI77_gp56,-,-,-,-,lysozyme-like domain,protein-coding,-,-,-,lysozyme-like domain,20201221,-
1654601,26795844,AXI77_gp57,AXI77_gp57,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1654601,26795845,AXI77_gp58,AXI77_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795846,AXI77_gp59,AXI77_gp59,-,-,-,-,GIY-YIG nuclease domain,protein-coding,-,-,-,GIY-YIG nuclease domain,20201221,-
1654601,26795847,AXI77_gp60,AXI77_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795848,AXI77_gp61,AXI77_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795849,AXI77_gp01,AXI77_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26823882,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pectobacterium atrosepticum phage Peat1).,other,-,-,-,-,20200513,-
