#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315597,55005699,HOU41_gp002,HOU41_gp002,CPT_Stubb_002,-,-,-,A1 protein,protein-coding,-,-,-,A1 protein,20200910,-
2315597,55005738,HOU41_gp041,HOU41_gp041,CPT_Stubb_041,-,-,-,serine threonine protein phosphatase,protein-coding,-,-,-,serine threonine protein phosphatase,20210403,-
2315597,55005739,HOU41_gp042,HOU41_gp042,CPT_Stubb_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005740,HOU41_gp043,HOU41_gp043,CPT_Stubb_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005741,HOU41_gp044,HOU41_gp044,CPT_Stubb_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005742,HOU41_gp045,HOU41_gp045,CPT_Stubb_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005743,HOU41_gp046,HOU41_gp046,CPT_Stubb_046,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210403,-
2315597,55005744,HOU41_gp047,HOU41_gp047,CPT_Stubb_047,-,-,-,class III holin,protein-coding,-,-,-,class III holin,20210403,-
2315597,55005745,HOU41_gp048,HOU41_gp048,CPT_Stubb_048,-,-,-,ATP-dependent Clp protease,protein-coding,-,-,-,ATP-dependent Clp protease,20210403,-
2315597,55005746,HOU41_gp049,HOU41_gp049,CPT_Stubb_049,-,-,-,deoxynucleoside-5'-monophosphatase kinase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphatase kinase,20210403,-
2315597,55005747,HOU41_gp050,HOU41_gp050,CPT_Stubb_050,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20200910,-
2315597,55005748,HOU41_gp051,HOU41_gp051,CPT_Stubb_051,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
2315597,55005749,HOU41_gp052,HOU41_gp052,CPT_Stubb_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005750,HOU41_gp053,HOU41_gp053,CPT_Stubb_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005751,HOU41_gp054,HOU41_gp054,CPT_Stubb_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005752,HOU41_gp055,HOU41_gp055,CPT_Stubb_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005753,HOU41_gt001,HOU41_gt001,CPT_Stubb_056,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005754,HOU41_gp148,HOU41_gp148,CPT_Stubb_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005755,HOU41_gp147,HOU41_gp147,CPT_Stubb_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005756,HOU41_gt002,HOU41_gt002,CPT_Stubb_059,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005757,HOU41_gt003,HOU41_gt003,CPT_Stubb_060,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005758,HOU41_gp146,HOU41_gp146,CPT_Stubb_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005759,HOU41_gt004,HOU41_gt004,CPT_Stubb_062,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005760,HOU41_gt005,HOU41_gt005,CPT_Stubb_064,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005761,HOU41_gt006,HOU41_gt006,CPT_Stubb_065,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005762,HOU41_gp145,HOU41_gp145,CPT_Stubb_066,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2315597,55005763,HOU41_gp144,HOU41_gp144,CPT_Stubb_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005764,HOU41_gt007,HOU41_gt007,CPT_Stubb_068,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005765,HOU41_gp143,HOU41_gp143,CPT_Stubb_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005766,HOU41_gt008,HOU41_gt008,CPT_Stubb_070,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005767,HOU41_gt009,HOU41_gt009,CPT_Stubb_071,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005768,HOU41_gp142,HOU41_gp142,CPT_Stubb_072,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2315597,55005769,HOU41_gp141,HOU41_gp141,CPT_Stubb_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005770,HOU41_gp140,HOU41_gp140,CPT_Stubb_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005771,HOU41_gp139,HOU41_gp139,CPT_Stubb_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005772,HOU41_gt010,HOU41_gt010,CPT_Stubb_076,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005773,HOU41_gp138,HOU41_gp138,CPT_Stubb_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005774,HOU41_gt011,HOU41_gt011,CPT_Stubb_078,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005775,HOU41_gp137,HOU41_gp137,CPT_Stubb_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005776,HOU41_gt012,HOU41_gt012,CPT_Stubb_080,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005777,HOU41_gt013,HOU41_gt013,CPT_Stubb_081,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005778,HOU41_gt014,HOU41_gt014,CPT_Stubb_082,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005779,HOU41_gp136,HOU41_gp136,CPT_Stubb_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005780,HOU41_gp135,HOU41_gp135,CPT_Stubb_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005781,HOU41_gp134,HOU41_gp134,CPT_Stubb_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005782,HOU41_gp133,HOU41_gp133,CPT_Stubb_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005783,HOU41_gt015,HOU41_gt015,CPT_Stubb_087,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005784,HOU41_gt016,HOU41_gt016,CPT_Stubb_088,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005785,HOU41_gp132,HOU41_gp132,CPT_Stubb_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005786,HOU41_gp131,HOU41_gp131,CPT_Stubb_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005787,HOU41_gt017,HOU41_gt017,CPT_Stubb_091,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005788,HOU41_gp130,HOU41_gp130,CPT_Stubb_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005789,HOU41_gp129,HOU41_gp129,CPT_Stubb_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005790,HOU41_gt018,HOU41_gt018,CPT_Stubb_094,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005791,HOU41_gt019,HOU41_gt019,CPT_Stubb_095,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005792,HOU41_gp128,HOU41_gp128,CPT_Stubb_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005793,HOU41_gt020,HOU41_gt020,CPT_Stubb_097,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005794,HOU41_gt021,HOU41_gt021,CPT_Stubb_098,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005795,HOU41_gt022,HOU41_gt022,CPT_Stubb_099,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005796,HOU41_gp127,HOU41_gp127,CPT_Stubb_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005797,HOU41_gt023,HOU41_gt023,CPT_Stubb_101,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2315597,55005798,HOU41_gp126,HOU41_gp126,CPT_Stubb_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005799,HOU41_gp125,HOU41_gp125,CPT_Stubb_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005800,HOU41_gp124,HOU41_gp124,CPT_Stubb_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005801,HOU41_gp123,HOU41_gp123,CPT_Stubb_105,-,-,-,ATP-dependent Clp protease,protein-coding,-,-,-,ATP-dependent Clp protease,20210403,-
2315597,55005802,HOU41_gp122,HOU41_gp122,CPT_Stubb_106,-,-,-,cell wall hydrolase,protein-coding,-,-,-,cell wall hydrolase,20210403,-
2315597,55005803,HOU41_gp121,HOU41_gp121,CPT_Stubb_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315597,55005804,HOU41_gp120,HOU41_gp120,CPT_Stubb_108,-,-,-,metallopeptidase,protein-coding,-,-,-,metallopeptidase,20210403,-
2315597,55005805,HOU41_gp119,HOU41_gp119,CPT_Stubb_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005806,HOU41_gp118,HOU41_gp118,CPT_Stubb_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005807,HOU41_gp117,HOU41_gp117,CPT_Stubb_111,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20210403,-
2315597,55005808,HOU41_gp116,HOU41_gp116,CPT_Stubb_112,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210403,-
2315597,55005809,HOU41_gp115,HOU41_gp115,CPT_Stubb_113,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210403,-
2315597,55005810,HOU41_gp114,HOU41_gp114,CPT_Stubb_114,-,-,-,ribonucleoside diphosphate reductase small subunit,protein-coding,-,-,-,ribonucleoside diphosphate reductase small subunit,20210403,-
2315597,55005811,HOU41_gp113,HOU41_gp113,CPT_Stubb_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005812,HOU41_gp112,HOU41_gp112,CPT_Stubb_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315597,55005813,HOU41_gp111,HOU41_gp111,CPT_Stubb_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005814,HOU41_gp110,HOU41_gp110,CPT_Stubb_118,-,-,-,ribonucleoside diphosphate reductase large subunit,protein-coding,-,-,-,ribonucleoside diphosphate reductase large subunit,20210403,-
2315597,55005815,HOU41_gp109,HOU41_gp109,CPT_Stubb_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005816,HOU41_gp108,HOU41_gp108,CPT_Stubb_120,-,-,-,phosphate starvation protein,protein-coding,-,-,-,phosphate starvation protein,20210403,-
2315597,55005817,HOU41_gp107,HOU41_gp107,CPT_Stubb_121,-,-,-,anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase,20210403,-
2315597,55005818,HOU41_gp106,HOU41_gp106,CPT_Stubb_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005819,HOU41_gp105,HOU41_gp105,CPT_Stubb_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005820,HOU41_gp104,HOU41_gp104,CPT_Stubb_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005821,HOU41_gp103,HOU41_gp103,CPT_Stubb_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005822,HOU41_gp102,HOU41_gp102,CPT_Stubb_126,-,-,-,replication origin binding protein,protein-coding,-,-,-,replication origin binding protein,20210403,-
2315597,55005823,HOU41_gp101,HOU41_gp101,CPT_Stubb_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005824,HOU41_gp100,HOU41_gp100,CPT_Stubb_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315597,55005825,HOU41_gp099,HOU41_gp099,CPT_Stubb_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005826,HOU41_gp098,HOU41_gp098,CPT_Stubb_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005827,HOU41_gp097,HOU41_gp097,CPT_Stubb_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005828,HOU41_gp096,HOU41_gp096,CPT_Stubb_132,-,-,-,D3 protein,protein-coding,-,-,-,D3 protein,20200910,-
2315597,55005829,HOU41_gp095,HOU41_gp095,CPT_Stubb_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005830,HOU41_gp094,HOU41_gp094,CPT_Stubb_134,-,-,-,ssDNA-binding transcriptional regulator,protein-coding,-,-,-,ssDNA-binding transcriptional regulator,20210403,-
2315597,55005831,HOU41_gp093,HOU41_gp093,CPT_Stubb_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005832,HOU41_gp092,HOU41_gp092,CPT_Stubb_136,-,-,-,NAD dependent DNA ligase subunit A,protein-coding,-,-,-,NAD dependent DNA ligase subunit A,20210403,-
2315597,55005833,HOU41_gp091,HOU41_gp091,CPT_Stubb_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315597,55005834,HOU41_gp090,HOU41_gp090,CPT_Stubb_138,-,-,-,NAD dependent DNA ligase subunit B,protein-coding,-,-,-,NAD dependent DNA ligase subunit B,20210403,-
2315597,55005835,HOU41_gp089,HOU41_gp089,CPT_Stubb_139,-,-,-,D5 protein,protein-coding,-,-,-,D5 protein,20200910,-
2315597,55005836,HOU41_gp088,HOU41_gp088,CPT_Stubb_140,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210403,-
2315597,55005837,HOU41_gp087,HOU41_gp087,CPT_Stubb_141,-,-,-,DNA replication primase,protein-coding,-,-,-,DNA replication primase,20210403,-
2315597,55005838,HOU41_gp086,HOU41_gp086,CPT_Stubb_142,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210403,-
2315597,55005839,HOU41_gp085,HOU41_gp085,CPT_Stubb_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005840,HOU41_gp084,HOU41_gp084,CPT_Stubb_144,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210403,-
2315597,55005841,HOU41_gp083,HOU41_gp083,CPT_Stubb_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005842,HOU41_gp082,HOU41_gp082,CPT_Stubb_146,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200910,-
2315597,55005843,HOU41_gp081,HOU41_gp081,CPT_Stubb_147,-,-,-,recombination endonuclease subunit D12,protein-coding,-,-,-,recombination endonuclease subunit D12,20210403,-
2315597,55005844,HOU41_gp080,HOU41_gp080,CPT_Stubb_148,-,-,-,recombinational endonuclease subunit D13,protein-coding,-,-,-,recombinational endonuclease subunit D13,20210403,-
2315597,55005845,HOU41_gp079,HOU41_gp079,CPT_Stubb_149,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200910,-
2315597,55005846,HOU41_gp078,HOU41_gp078,CPT_Stubb_150,-,-,-,flap endonuclease,protein-coding,-,-,-,flap endonuclease,20210403,-
2315597,55005847,HOU41_gp077,HOU41_gp077,CPT_Stubb_151,-,-,-,deoxi-UTP pyrophosphatase,protein-coding,-,-,-,deoxi-UTP pyrophosphatase,20210403,-
2315597,55005848,HOU41_gp076,HOU41_gp076,CPT_Stubb_152,-,-,-,side tail fiber,protein-coding,-,-,-,side tail fiber,20210403,-
2315597,55005849,HOU41_gp075,HOU41_gp075,CPT_Stubb_153,-,-,-,L shaped tail fiber protein,protein-coding,-,-,-,L shaped tail fiber protein,20200910,-
2315597,55005850,HOU41_gp074,HOU41_gp074,CPT_Stubb_154,-,-,-,central straight tail fiber,protein-coding,-,-,-,central straight tail fiber,20210403,-
2315597,55005851,HOU41_gp073,HOU41_gp073,CPT_Stubb_155,-,-,-,baseplate hub protein,protein-coding,-,-,-,baseplate hub protein,20210403,-
2315597,55005852,HOU41_gp072,HOU41_gp072,CPT_Stubb_156,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20200910,-
2315597,55005853,HOU41_gp071,HOU41_gp071,CPT_Stubb_157,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200910,-
2315597,55005854,HOU41_gp070,HOU41_gp070,CPT_Stubb_158,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200910,-
2315597,55005855,HOU41_gp069,HOU41_gp069,CPT_Stubb_159,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200910,-
2315597,55005856,HOU41_gp068,HOU41_gp068,CPT_Stubb_160,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2315597,55005857,HOU41_gp067,HOU41_gp067,CPT_Stubb_161,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2315597,55005858,HOU41_gp066,HOU41_gp066,CPT_Stubb_162,-,-,-,tail tube terminase,protein-coding,-,-,-,tail tube terminase,20200910,-
2315597,55005859,HOU41_gp065,HOU41_gp065,CPT_Stubb_163,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20200910,-
2315597,55005860,HOU41_gp064,HOU41_gp064,CPT_Stubb_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005861,HOU41_gp063,HOU41_gp063,CPT_Stubb_165,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2315597,55005862,HOU41_gp062,HOU41_gp062,CPT_Stubb_166,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210403,-
2315597,55005863,HOU41_gp061,HOU41_gp061,CPT_Stubb_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005864,HOU41_gp060,HOU41_gp060,CPT_Stubb_168,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2315597,55005865,HOU41_gp059,HOU41_gp059,CPT_Stubb_169,-,-,-,nicking endonuclease,protein-coding,-,-,-,nicking endonuclease,20200910,-
2315597,55005866,HOU41_gp058,HOU41_gp058,CPT_Stubb_170,-,-,-,receptor binding tail protein,protein-coding,-,-,-,receptor binding tail protein,20200910,-
2315597,55005867,HOU41_gp057,HOU41_gp057,CPT_Stubb_171,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2315597,55005868,HOU41_gp056,HOU41_gp056,CPT_Stubb_172,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
2315597,55005869,HOU41_gp001,HOU41_gp001,CPT_Stubb_001,-,-,-,deoxynucleoside-5'-monophosphatase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphatase,20200910,-
2315597,55154152,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
