#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
641487,7871801,P087_gp78,P087_gp78,-,-,-,-,putative receptor-binding protein,protein-coding,-,-,-,putative receptor-binding protein,20200909,-
641487,7871834,P087_gp18,P087_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871835,P087_gp19,P087_gp19,-,-,-,-,putative thioredoxin/glutaredoxin-like protein,protein-coding,-,-,-,putative thioredoxin/glutaredoxin-like protein,20200909,-
641487,7871836,P087_gp20,P087_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871837,P087_gp21,P087_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871838,P087_gp22,P087_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871839,P087_gp23,P087_gp23,-,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20200909,-
641487,7871840,P087_gp24,P087_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871841,P087_gp25,P087_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871842,P087_gp26,P087_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871843,P087_gp27,P087_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871844,P087_gp28,P087_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871845,P087_gp29,P087_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871846,P087_gp30,P087_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871847,P087_gp31,P087_gp31,-,-,-,-,putative cysteine synthase,protein-coding,-,-,-,putative cysteine synthase,20200909,-
641487,7871848,P087_gp32,P087_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871849,P087_gp33,P087_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871850,P087_gp34,P087_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871851,P087_gp35,P087_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871852,P087_gp36,P087_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871853,P087_gp37,P087_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871854,P087_gp38,P087_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871855,P087_gp39,P087_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871856,P087_gp40,P087_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871857,P087_gp41,P087_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871858,P087_gp42,P087_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871859,P087_gp43,P087_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871860,P087_gp44,P087_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871861,P087_gp45,P087_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871862,P087_gp46,P087_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871863,P087_gp47,P087_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871864,P087_gp48,P087_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871865,P087_gp49,P087_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871866,P087_gp50,P087_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871867,P087_gp51,P087_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871868,P087_gp52,P087_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871869,P087_gp53,P087_gp53,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200909,-
641487,7871870,P087_gp54,P087_gp54,-,-,-,-,ParB-like nuclease domain containing protein,protein-coding,-,-,-,ParB-like nuclease domain containing protein,20200909,-
641487,7871871,P087_gp55,P087_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871872,P087_gp56,P087_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871873,P087_gp57,P087_gp57,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
641487,7871874,P087_gp58,P087_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871875,P087_gp59,P087_gp59,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
641487,7871876,P087_gp60,P087_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871877,P087_gp61,P087_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871878,P087_gp62,P087_gp62,-,-,-,-,putative scaffolding protein/Clp protease,protein-coding,-,-,-,putative scaffolding protein/Clp protease,20200909,-
641487,7871879,P087_gp63,P087_gp63,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
641487,7871880,P087_gp64,P087_gp64,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
641487,7871881,P087_gp65,P087_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871882,P087_gp66,P087_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871883,P087_gp67,P087_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871884,P087_gp68,P087_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871885,P087_gp69,P087_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871886,P087_gp70,P087_gp70,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
641487,7871887,P087_gp71,P087_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871888,P087_gp72,P087_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871889,P087_gp73,P087_gp73,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200909,-
641487,7871890,P087_gp74,P087_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871891,P087_gp75,P087_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871892,P087_gp76,P087_gp76,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
641487,7871893,P087_gp77,P087_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7872251,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
