#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1056830,18564969,2,CL81_gp02,CHARLIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1056830,18565015,48,CL81_gp48,CHARLIE_48,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
1056830,18565016,49,CL81_gp49,CHARLIE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565017,50,CL81_gp50,CHARLIE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565018,51,CL81_gp51,CHARLIE_51,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20200927,-
1056830,18565019,52,CL81_gp52,CHARLIE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565020,53,CL81_gp53,CHARLIE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565021,54,CL81_gp54,CHARLIE_54,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1056830,18565022,55,CL81_gp55,CHARLIE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565023,56,CL81_gp56,CHARLIE_56,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1056830,18565024,57,CL81_gp57,CHARLIE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565025,58,CL81_gp58,CHARLIE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565026,59,CL81_gp59,CHARLIE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565027,60,CL81_gp60,CHARLIE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565028,61,CL81_gp61,CHARLIE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565029,62,CL81_gp62,CHARLIE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565030,63,CL81_gp63,CHARLIE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565031,64,CL81_gp64,CHARLIE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565032,65,CL81_gp65,CHARLIE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565033,66,CL81_gp66,CHARLIE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565034,67,CL81_gp67,CHARLIE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565035,69,CL81_gp68,CHARLIE_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1056830,18565036,1,CL81_gp01,CHARLIE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18669533,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Charlie).,other,-,-,-,-,20200513,-
