#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772315,40077559,2,FDH50_gp02,SONNY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772315,40077621,64,FDH50_gp64,SONNY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077622,65,FDH50_gp65,SONNY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077623,66,FDH50_gp66,SONNY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077624,67,FDH50_gp67,SONNY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077625,68,FDH50_gp68,SONNY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077626,69,FDH50_gp69,SONNY_69,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1772315,40077627,70,FDH50_gp70,SONNY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077628,71,FDH50_gp71,SONNY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077629,72,FDH50_gp72,SONNY_72,-,-,-,AlpA-like DNA binding protein,protein-coding,-,-,-,AlpA-like DNA binding protein,20201221,-
1772315,40077630,73,FDH50_gp73,SONNY_73,-,-,-,DNA polymerase III beta subunit,protein-coding,-,-,-,DNA polymerase III beta subunit,20201221,-
1772315,40077631,74,FDH50_gp74,SONNY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077632,75,FDH50_gp75,SONNY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077633,76,FDH50_gp76,SONNY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1772315,40077634,77,FDH50_gp77,SONNY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077635,1,FDH50_gp01,SONNY_1,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1772315,40120272,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
