#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1980139,40076539,ybeZ,FDH44_gp001,LAV_00001,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20200910,-
1980139,40076561,FDH44_gp023,FDH44_gp023,LAV_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076562,FDH44_gp024,FDH44_gp024,LAV_00024,-,-,-,F5/8 type C domain protein,protein-coding,-,-,-,F5/8 type C domain protein,20200910,-
1980139,40076563,FDH44_gp025,FDH44_gp025,LAV_00025,-,-,-,F5/8 type C domain protein,protein-coding,-,-,-,F5/8 type C domain protein,20200910,-
1980139,40076564,ampD,FDH44_gp026,LAV_00026,-,-,-,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase",protein-coding,-,-,-,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase",20200910,-
1980139,40076565,FDH44_gp027,FDH44_gp027,LAV_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076566,FDH44_gp028,FDH44_gp028,LAV_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076567,ligA,FDH44_gp029,LAV_00029,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
1980139,40076568,FDH44_gp030,FDH44_gp030,LAV_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076569,FDH44_gp031,FDH44_gp031,LAV_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076570,immR,FDH44_gp032,LAV_00032,-,-,-,HTH-type transcriptional regulator,protein-coding,-,-,-,HTH-type transcriptional regulator,20200910,-
1980139,40076571,nrdB,FDH44_gp033,LAV_00033,-,-,-,ribonucleoside-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleoside-diphosphate reductase subunit beta,20200910,-
1980139,40076572,FDH44_gp034,FDH44_gp034,LAV_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076573,nrdZ,FDH44_gp035,LAV_00035,-,-,-,ribonucleoside-diphosphate reductase,protein-coding,-,-,-,ribonucleoside-diphosphate reductase,20200910,-
1980139,40076574,FDH44_gp036,FDH44_gp036,LAV_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076575,FDH44_gp037,FDH44_gp037,LAV_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076576,FDH44_gp038,FDH44_gp038,LAV_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076577,FDH44_gp039,FDH44_gp039,LAV_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076578,FDH44_gp040,FDH44_gp040,LAV_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076579,FDH44_gp041,FDH44_gp041,LAV_00041,-,-,-,nucleotide pyrophosphohydrolase domain protein,protein-coding,-,-,-,nucleotide pyrophosphohydrolase domain protein,20200910,-
1980139,40076580,FDH44_gp042,FDH44_gp042,LAV_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076581,FDH44_gp043,FDH44_gp043,LAV_00043,-,-,-,FAD-dependent thymidylate synthase,protein-coding,-,-,-,FAD-dependent thymidylate synthase,20200910,-
1980139,40076582,FDH44_gp044,FDH44_gp044,LAV_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076583,recD2,FDH44_gp045,LAV_00045,-,-,-,ATP-dependent RecD-like DNA helicase,protein-coding,-,-,-,ATP-dependent RecD-like DNA helicase,20200910,-
1980139,40076584,FDH44_gp046,FDH44_gp046,LAV_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076585,FDH44_gp047,FDH44_gp047,LAV_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076586,FDH44_gp048,FDH44_gp048,LAV_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076587,FDH44_gp049,FDH44_gp049,LAV_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076588,FDH44_gp050,FDH44_gp050,LAV_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076589,FDH44_gp051,FDH44_gp051,LAV_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076590,FDH44_gp052,FDH44_gp052,LAV_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076591,FDH44_gp053,FDH44_gp053,LAV_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076592,FDH44_gp054,FDH44_gp054,LAV_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076593,FDH44_gp055,FDH44_gp055,LAV_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076594,FDH44_gp056,FDH44_gp056,LAV_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076595,polC,FDH44_gp057,LAV_00057,-,-,-,PolC-type DNA polymerase III,protein-coding,-,-,-,PolC-type DNA polymerase III,20200910,-
1980139,40076596,FDH44_gp058,FDH44_gp058,LAV_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076597,polA,FDH44_gp059,LAV_00059,-,-,-,thermostable DNA polymerase I,protein-coding,-,-,-,thermostable DNA polymerase I,20200910,-
1980139,40076598,FDH44_gp060,FDH44_gp060,LAV_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076599,FDH44_gp061,FDH44_gp061,LAV_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076600,FDH44_gp062,FDH44_gp062,LAV_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076601,FDH44_gp063,FDH44_gp063,LAV_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076602,FDH44_gp064,FDH44_gp064,LAV_00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076603,FDH44_gp065,FDH44_gp065,LAV_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076604,FDH44_gp066,FDH44_gp066,LAV_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076605,FDH44_gp067,FDH44_gp067,LAV_00067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076606,FDH44_gp068,FDH44_gp068,LAV_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076607,FDH44_gp069,FDH44_gp069,LAV_00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076608,FDH44_gp070,FDH44_gp070,LAV_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076609,rapA,FDH44_gp071,LAV_00071,-,-,-,RNA polymerase-associated protein,protein-coding,-,-,-,RNA polymerase-associated protein,20200910,-
1980139,40076610,FDH44_gp072,FDH44_gp072,LAV_00072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076611,FDH44_gp073,FDH44_gp073,LAV_00073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076612,FDH44_gp074,FDH44_gp074,LAV_00074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076613,FDH44_gp075,FDH44_gp075,LAV_00075,-,-,-,transposase,protein-coding,-,-,-,transposase,20200910,-
1980139,40076614,FDH44_gp076,FDH44_gp076,LAV_00076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076615,FDH44_gp077,FDH44_gp077,LAV_00077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076616,FDH44_gp078,FDH44_gp078,LAV_00078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076617,FDH44_gp079,FDH44_gp079,LAV_00079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076618,xerC,FDH44_gp080,LAV_00080,-,-,-,tyrosine recombinase,protein-coding,-,-,-,tyrosine recombinase,20200910,-
1980139,40076619,FDH44_gp081,FDH44_gp081,LAV_00081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076620,FDH44_gt001,FDH44_gt001,LAV_00082,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076621,FDH44_gt002,FDH44_gt002,LAV_00083,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076622,FDH44_gt003,FDH44_gt003,LAV_00084,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076623,FDH44_gt004,FDH44_gt004,LAV_00085,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076624,FDH44_gt005,FDH44_gt005,LAV_00086,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076625,FDH44_gt006,FDH44_gt006,LAV_00087,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076626,FDH44_gp196,FDH44_gp196,LAV_00088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076627,FDH44_gt007,FDH44_gt007,LAV_00089,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076628,FDH44_gt008,FDH44_gt008,LAV_00090,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076629,FDH44_gt009,FDH44_gt009,LAV_00091,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076630,FDH44_gt010,FDH44_gt010,LAV_00092,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076631,FDH44_gt011,FDH44_gt011,LAV_00093,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076632,FDH44_gt012,FDH44_gt012,LAV_00094,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076633,FDH44_gt013,FDH44_gt013,LAV_00095,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076634,FDH44_gt014,FDH44_gt014,LAV_00096,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076635,FDH44_gt015,FDH44_gt015,LAV_00097,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076636,FDH44_gt016,FDH44_gt016,LAV_00098,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076637,FDH44_gt017,FDH44_gt017,LAV_00099,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076638,FDH44_gt018,FDH44_gt018,LAV_00100,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076639,FDH44_gt019,FDH44_gt019,LAV_00101,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076640,FDH44_gt020,FDH44_gt020,LAV_00102,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076641,FDH44_gt021,FDH44_gt021,LAV_00103,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076642,FDH44_gt022,FDH44_gt022,LAV_00104,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076643,FDH44_gt023,FDH44_gt023,LAV_00105,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076644,FDH44_gt024,FDH44_gt024,LAV_00106,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1980139,40076645,FDH44_gp195,FDH44_gp195,LAV_00107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076646,FDH44_gp194,FDH44_gp194,LAV_00108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076647,FDH44_gp193,FDH44_gp193,LAV_00109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076648,FDH44_gp192,FDH44_gp192,LAV_00110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076649,ssrA,FDH44_gs001,LAV_00111,-,-,-,miscRNA,miscRNA,-,-,-,-,20200910,-
1980139,40076650,FDH44_gp191,FDH44_gp191,LAV_00112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076651,tadA,FDH44_gp190,LAV_00113,-,-,-,tRNA-specific adenosine deaminase,protein-coding,-,-,-,tRNA-specific adenosine deaminase,20200910,-
1980139,40076652,rtcB,FDH44_gp189,LAV_00114,-,-,-,RNA-splicing ligase,protein-coding,-,-,-,RNA-splicing ligase,20200910,-
1980139,40076653,FDH44_gp188,FDH44_gp188,LAV_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076654,FDH44_gp187,FDH44_gp187,LAV_00116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076655,FDH44_gp186,FDH44_gp186,LAV_00117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076656,FDH44_gp185,FDH44_gp185,LAV_00118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076657,FDH44_gp184,FDH44_gp184,LAV_00119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076658,FDH44_gp183,FDH44_gp183,LAV_00120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076659,sigA,FDH44_gp182,LAV_00121,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20200910,-
1980139,40076660,FDH44_gp181,FDH44_gp181,LAV_00122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076661,FDH44_gp180,FDH44_gp180,LAV_00123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076662,FDH44_gp179,FDH44_gp179,LAV_00124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076663,FDH44_gp178,FDH44_gp178,LAV_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076664,FDH44_gp177,FDH44_gp177,LAV_00126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076665,FDH44_gp176,FDH44_gp176,LAV_00127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076666,FDH44_gp175,FDH44_gp175,LAV_00128,-,-,-,site-specific tyrosine recombinase,protein-coding,-,-,-,site-specific tyrosine recombinase,20200910,-
1980139,40076667,FDH44_gp174,FDH44_gp174,LAV_00129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076668,FDH44_gp173,FDH44_gp173,LAV_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076669,FDH44_gp172,FDH44_gp172,LAV_00131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076670,FDH44_gp171,FDH44_gp171,LAV_00132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076671,FDH44_gp170,FDH44_gp170,LAV_00133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076672,FDH44_gp169,FDH44_gp169,LAV_00134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076673,FDH44_gp168,FDH44_gp168,LAV_00135,-,-,-,putative nicotinate phosphoribosyltransferase,protein-coding,-,-,-,putative nicotinate phosphoribosyltransferase,20200910,-
1980139,40076674,FDH44_gp167,FDH44_gp167,LAV_00136,-,-,-,bifunctional NMN adenylyltransferase/nudix hydrolase,protein-coding,-,-,-,bifunctional NMN adenylyltransferase/nudix hydrolase,20200910,-
1980139,40076675,FDH44_gp166,FDH44_gp166,LAV_00137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076676,FDH44_gp165,FDH44_gp165,LAV_00138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076677,FDH44_gp164,FDH44_gp164,LAV_00139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076678,FDH44_gp163,FDH44_gp163,LAV_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076679,FDH44_gp162,FDH44_gp162,LAV_00141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076680,FDH44_gp161,FDH44_gp161,LAV_00142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076681,FDH44_gp160,FDH44_gp160,LAV_00143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076682,FDH44_gp159,FDH44_gp159,LAV_00144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076683,FDH44_gp158,FDH44_gp158,LAV_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076684,FDH44_gp157,FDH44_gp157,LAV_00146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076685,FDH44_gp156,FDH44_gp156,LAV_00147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076686,FDH44_gp155,FDH44_gp155,LAV_00148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076687,FDH44_gp154,FDH44_gp154,LAV_00149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076688,FDH44_gp153,FDH44_gp153,LAV_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076689,FDH44_gp152,FDH44_gp152,LAV_00151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076690,FDH44_gp151,FDH44_gp151,LAV_00152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076691,FDH44_gp150,FDH44_gp150,LAV_00153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076692,FDH44_gp149,FDH44_gp149,LAV_00154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076693,FDH44_gp148,FDH44_gp148,LAV_00155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076694,FDH44_gp147,FDH44_gp147,LAV_00156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076695,FDH44_gp146,FDH44_gp146,LAV_00157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076696,trxB,FDH44_gp145,LAV_00158,-,-,-,thioredoxin-2,protein-coding,-,-,-,thioredoxin-2,20200910,-
1980139,40076697,FDH44_gp144,FDH44_gp144,LAV_00159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076698,FDH44_gp143,FDH44_gp143,LAV_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076699,FDH44_gp142,FDH44_gp142,LAV_00161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076700,FDH44_gp141,FDH44_gp141,LAV_00162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076701,FDH44_gp140,FDH44_gp140,LAV_00163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076702,FDH44_gp139,FDH44_gp139,LAV_00164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076703,FDH44_gp138,FDH44_gp138,LAV_00165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076704,FDH44_gp137,FDH44_gp137,LAV_00166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076705,FDH44_gp136,FDH44_gp136,LAV_00167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076706,FDH44_gp135,FDH44_gp135,LAV_00168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076707,FDH44_gp134,FDH44_gp134,LAV_00169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076708,FDH44_gp133,FDH44_gp133,LAV_00170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076709,FDH44_gp132,FDH44_gp132,LAV_00171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076710,FDH44_gp131,FDH44_gp131,LAV_00172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076711,FDH44_gp130,FDH44_gp130,LAV_00173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076712,FDH44_gp129,FDH44_gp129,LAV_00174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076713,FDH44_gp128,FDH44_gp128,LAV_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076714,FDH44_gp127,FDH44_gp127,LAV_00176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076715,FDH44_gp126,FDH44_gp126,LAV_00177,-,-,-,RNA pyrophosphohydrolase,protein-coding,-,-,-,RNA pyrophosphohydrolase,20200910,-
1980139,40076716,FDH44_gp125,FDH44_gp125,LAV_00178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076717,FDH44_gp124,FDH44_gp124,LAV_00179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076718,FDH44_gp123,FDH44_gp123,LAV_00180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076719,FDH44_gp122,FDH44_gp122,LAV_00181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076720,FDH44_gp121,FDH44_gp121,LAV_00182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076721,FDH44_gp120,FDH44_gp120,LAV_00183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076722,FDH44_gp119,FDH44_gp119,LAV_00184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076723,FDH44_gp118,FDH44_gp118,LAV_00185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076724,FDH44_gp117,FDH44_gp117,LAV_00186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076725,FDH44_gp116,FDH44_gp116,LAV_00187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
