#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296662,18989704,DAVIES_2,DAVIES_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1296662,18989776,DAVIES_74,DAVIES_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989777,DAVIES_75,DAVIES_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989778,DAVIES_76,DAVIES_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989779,DAVIES_77,DAVIES_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989780,DAVIES_78,DAVIES_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989781,DAVIES_79,DAVIES_79,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200629,-
1296662,18989782,DAVIES_80,DAVIES_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989783,DAVIES_81,DAVIES_81,-,-,-,-,site-specific DNA methylase,protein-coding,-,-,-,site-specific DNA methylase,20200629,-
1296662,18989784,DAVIES_82,DAVIES_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989785,DAVIES_83,DAVIES_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989786,DAVIES_84,DAVIES_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989787,DAVIES_85,DAVIES_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989788,DAVIES_86,DAVIES_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989789,DAVIES_87,DAVIES_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989790,DAVIES_88,DAVIES_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989791,DAVIES_89,DAVIES_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989792,DAVIES_90,DAVIES_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989793,DAVIES_91,DAVIES_91,-,-,-,-,RNA polymerase subunit sigma 24,protein-coding,-,-,-,RNA polymerase subunit sigma 24,20200629,-
1296662,18989794,DAVIES_92,DAVIES_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989795,DAVIES_93,DAVIES_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989796,DAVIES_94,DAVIES_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989797,DAVIES_1,DAVIES_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1296662,19010280,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Paenibacillus phage Davies).,other,-,-,-,-,20200513,-
