#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852627,29068275,BI037_gp50,BI037_gp50,MP2_gp46,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1852627,29068290,BI037_gp19,BI037_gp19,MP2_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068291,BI037_gp48,BI037_gp48,MP2_gp44,-,-,-,internal virion protein C,protein-coding,-,-,-,internal virion protein C,20201221,-
1852627,29068292,BI037_gp09,BI037_gp09,MP2_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068293,BI037_gp25,BI037_gp25,MP2_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068294,BI037_gp54,BI037_gp54,MP2_gp50,-,-,-,DNA packaging protein B,protein-coding,-,-,-,DNA packaging protein B,20201221,-
1852627,29068295,BI037_gp23,BI037_gp23,MP2_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068296,BI037_gp47,BI037_gp47,MP2_gp43,-,-,-,internal virion protein B,protein-coding,-,-,-,internal virion protein B,20201221,-
1852627,29068297,BI037_gp04,BI037_gp04,MP2_gp04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068298,BI037_gp33,BI037_gp33,MP2_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1852627,29068299,BI037_gp07,BI037_gp07,MP2_gp07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068300,BI037_gp34,BI037_gp34,MP2_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068301,BI037_gp08,BI037_gp08,MP2_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068302,BI037_gp18,BI037_gp18,MP2_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068303,BI037_gp53,BI037_gp53,MP2_gp49,-,-,-,Rz-like lysis protein,protein-coding,-,-,-,Rz-like lysis protein,20201221,-
1852627,29068304,BI037_gp03,BI037_gp03,MP2_gp03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068305,BI037_gp38,BI037_gp38,MP2_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068306,BI037_gp13,BI037_gp13,MP2_gp13,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201221,-
1852627,29068307,BI037_gp26,BI037_gp26,MP2_gp23,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
1852627,29068308,BI037_gp39,BI037_gp39,MP2_gp35,-,-,-,host range protein,protein-coding,-,-,-,host range protein,20201221,-
1852627,29068309,BI037_gp40,BI037_gp40,MP2_gp36,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1852627,29068310,BI037_gp31,BI037_gp31,MP2_gp27,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1852627,29068311,BI037_gp24,BI037_gp24,MP2_gp21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1852627,29068312,BI037_gp52,BI037_gp52,MP2_gp48,-,-,-,DNA packaging protein small subunit,protein-coding,-,-,-,DNA packaging protein small subunit,20201221,-
1852627,29068313,BI037_gp10,BI037_gp10,MP2_gp10,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201221,-
1852627,29068314,BI037_gp29,BI037_gp29,MP2_gp25A,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068315,BI037_gp36,BI037_gp36,MP2_gp32,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1852627,29068316,BI037_gp21,BI037_gp21,MP2_gp18,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1852627,29068317,BI037_gp35,BI037_gp35,MP2_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068318,BI037_gp05,BI037_gp05,MP2_gp05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068319,BI037_gp06,BI037_gp06,MP2_gp06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068320,BI037_gp16,BI037_gp16,MP2_gp13C,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068321,BI037_gp30,BI037_gp30,MP2_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068322,BI037_gp15,BI037_gp15,MP2_gp13B,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068323,BI037_gp20,BI037_gp20,MP2_gp17,-,-,-,RNA polymerase inhibitor,protein-coding,-,-,-,RNA polymerase inhibitor,20201221,-
1852627,29068324,BI037_gp12,BI037_gp12,MP2_gp12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068325,BI037_gp02,BI037_gp02,MP2_gp02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068326,BI037_gp44,BI037_gp44,MP2_gp40,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20201221,-
1852627,29068327,BI037_gp28,BI037_gp28,MP2_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068328,BI037_gp17,BI037_gp17,MP2_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068329,BI037_gp01,BI037_gp01,MP2_gp01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29139942,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
