#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2108120,40101368,2,FDJ48_gp002,PBI_WAITS_2,-,-,-,ADP ribosyltransferase,protein-coding,-,-,-,ADP ribosyltransferase,20210424,-
2108120,40101383,16,FDJ48_gp094,PBI_WAITS_16,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
2108120,40101384,17,FDJ48_gp093,PBI_WAITS_17,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
2108120,40101385,18,FDJ48_gp092,PBI_WAITS_18,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200912,-
2108120,40101386,19,FDJ48_gp091,PBI_WAITS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101387,20,FDJ48_gp090,PBI_WAITS_20,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
2108120,40101388,21,FDJ48_gp089,PBI_WAITS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101389,22,FDJ48_gp088,PBI_WAITS_22,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
2108120,40101390,23,FDJ48_gp087,PBI_WAITS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108120,40101391,24,FDJ48_gp086,PBI_WAITS_24,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
2108120,40101392,25,FDJ48_gp085,PBI_WAITS_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2108120,40101393,27,FDJ48_gp084,PBI_WAITS_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2108120,40101394,28,FDJ48_gp082,PBI_WAITS_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200912,-
2108120,40101395,26,FDJ48_gp083,PBI_WAITS_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2108120,40101396,29,FDJ48_gp081,PBI_WAITS_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2108120,40101397,30,FDJ48_gp080,PBI_WAITS_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2108120,40101398,31,FDJ48_gp079,PBI_WAITS_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2108120,40101399,32,FDJ48_gp078,PBI_WAITS_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200912,-
2108120,40101400,33,FDJ48_gp077,PBI_WAITS_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2108120,40101401,34,FDJ48_gp076,PBI_WAITS_34,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201010,-
2108120,40101402,35,FDJ48_gp075,PBI_WAITS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101403,36,FDJ48_gp074,PBI_WAITS_36,-,-,-,dsDNA partitioning protein,protein-coding,-,-,-,dsDNA partitioning protein,20200910,-
2108120,40101404,37,FDJ48_gp073,PBI_WAITS_37,-,-,-,dsDNA partitioning protein,protein-coding,-,-,-,dsDNA partitioning protein,20200910,-
2108120,40101405,38,FDJ48_gp072,PBI_WAITS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101406,39,FDJ48_gp071,PBI_WAITS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101407,40,FDJ48_gp070,PBI_WAITS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101408,41,FDJ48_gp069,PBI_WAITS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101409,42,FDJ48_gp068,PBI_WAITS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101410,44,FDJ48_gp066,PBI_WAITS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101411,45,FDJ48_gp065,PBI_WAITS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101412,46,FDJ48_gp064,PBI_WAITS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101413,47,FDJ48_gp063,PBI_WAITS_47,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200912,-
2108120,40101414,48,FDJ48_gp062,PBI_WAITS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101415,49,FDJ48_gp061,PBI_WAITS_49,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210424,-
2108120,40101416,50,FDJ48_gp060,PBI_WAITS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101417,51,FDJ48_gp059,PBI_WAITS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101418,52,FDJ48_gp058,PBI_WAITS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101419,53,FDJ48_gp057,PBI_WAITS_53,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20200912,-
2108120,40101420,54,FDJ48_gp056,PBI_WAITS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101421,55,FDJ48_gp055,PBI_WAITS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101422,57,FDJ48_gp053,PBI_WAITS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101423,58,FDJ48_gp052,PBI_WAITS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101424,59,FDJ48_gp051,PBI_WAITS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101425,60,FDJ48_gp050,PBI_WAITS_60,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200910,-
2108120,40101426,61,FDJ48_gp049,PBI_WAITS_61,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20200912,-
2108120,40101427,62,FDJ48_gp048,PBI_WAITS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101428,63,FDJ48_gp047,PBI_WAITS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101429,64,FDJ48_gp046,PBI_WAITS_64,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
2108120,40101430,65,FDJ48_gp045,PBI_WAITS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101431,66,FDJ48_gp044,PBI_WAITS_66,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
2108120,40101432,67,FDJ48_gp043,PBI_WAITS_67,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200912,-
2108120,40101433,68,FDJ48_gp042,PBI_WAITS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101434,69,FDJ48_gp041,PBI_WAITS_69,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200912,-
2108120,40101435,70,FDJ48_gp040,PBI_WAITS_70,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200912,-
2108120,40101436,71,FDJ48_gp039,PBI_WAITS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101437,74,FDJ48_gp036,PBI_WAITS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101438,75,FDJ48_gp035,PBI_WAITS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101439,76,FDJ48_gp034,PBI_WAITS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101440,77,FDJ48_gp033,PBI_WAITS_77,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200912,-
2108120,40101441,78,FDJ48_gp032,PBI_WAITS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101442,79,FDJ48_gp031,PBI_WAITS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108120,40101443,80,FDJ48_gp030,PBI_WAITS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101444,81,FDJ48_gp029,PBI_WAITS_81,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200912,-
2108120,40101445,82,FDJ48_gp028,PBI_WAITS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108120,40101446,83,FDJ48_gp027,PBI_WAITS_83,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
2108120,40101447,84,FDJ48_gp026,PBI_WAITS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101448,85,FDJ48_gp025,PBI_WAITS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101449,86,FDJ48_gp024,PBI_WAITS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101450,87,FDJ48_gp023,PBI_WAITS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101451,88,FDJ48_gp022,PBI_WAITS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101452,89,FDJ48_gp021,PBI_WAITS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101453,90,FDJ48_gp020,PBI_WAITS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101454,91,FDJ48_gp019,PBI_WAITS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101455,92,FDJ48_gp018,PBI_WAITS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101456,93,FDJ48_gp017,PBI_WAITS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101457,94,FDJ48_gp016,PBI_WAITS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101458,95,FDJ48_gp015,PBI_WAITS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101459,96,FDJ48_gp014,PBI_WAITS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101460,97,FDJ48_gp013,PBI_WAITS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101461,98,FDJ48_gp012,PBI_WAITS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101462,99,FDJ48_gp011,PBI_WAITS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101463,100,FDJ48_gp010,PBI_WAITS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101464,101,FDJ48_gp009,PBI_WAITS_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101465,43,FDJ48_gp067,PBI_WAITS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101466,56,FDJ48_gp054,PBI_WAITS_56,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200912,-
2108120,40101467,72,FDJ48_gp038,PBI_WAITS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101468,73,FDJ48_gp037,PBI_WAITS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40120572,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gordonia phage Wait).,other,-,-,-,-,20200513,-
