#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
262071,4955149,phiC2p45,phiC2p45,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201220,-
262071,4955196,phiC2p51,phiC2p51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955197,phiC2p68,phiC2p68,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201220,-
262071,4955198,phiC2p38,phiC2p38,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201220,-
262071,4955199,phiC2p69,phiC2p69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955200,phiC2p76,phiC2p76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955201,phiC2p01,phiC2p01,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201220,-
262071,4955202,phiC2p48,phiC2p48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955203,phiC2p74,phiC2p74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
262071,4955204,phiC2p16,phiC2p16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
262071,4955205,phiC2p78,phiC2p78,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20210129,-
262071,4955206,phiC2p33,phiC2p33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955207,phiC2p82,phiC2p82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955208,phiC2p11,phiC2p11,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20210129,-
262071,4955209,phiC2p64,phiC2p64,-,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20210129,-
262071,4955210,phiC2p83,phiC2p83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955211,phiC2p77,phiC2p77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955212,phiC2p14,phiC2p14,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210129,-
262071,4955213,phiC2p63,phiC2p63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955214,phiC2p53,phiC2p53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
262071,4955215,phiC2p81,phiC2p81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955216,phiC2p66,phiC2p66,-,-,-,-,putative DnaD,protein-coding,-,-,-,putative DnaD,20201220,-
262071,4955217,phiC2p03,phiC2p03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
262071,4955218,phiC2p05,phiC2p05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955219,phiC2p49,phiC2p49,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
262071,4955220,phiC2p67,phiC2p67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955221,phiC2p12,phiC2p12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955222,phiC2p59,phiC2p59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955223,phiC2p06,phiC2p06,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210129,-
262071,4955224,phiC2p09,phiC2p09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955225,phiC2p04,phiC2p04,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201220,-
262071,4955226,phiC2p60,phiC2p60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955227,phiC2p62,phiC2p62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955228,phiC2p56,phiC2p56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955229,phiC2p57,phiC2p57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955230,phiC2p79,phiC2p79,-,-,-,-,ORF6C domain-containing protein,protein-coding,-,-,-,ORF6C domain-containing protein,20210129,-
262071,4969252,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Clostridium difficile phage phiC2; Clostridium phage phiC2).,other,-,-,-,-,20200513,-
