#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1051140,18564665,2,CL80_gp02,EUPHORIA_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1051140,18564719,77,CL80_gp77,EUPHORIA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564720,76,CL80_gp76,EUPHORIA_76,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1051140,18564721,75,CL80_gp75,EUPHORIA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564722,74,CL80_gp74,EUPHORIA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1051140,18564723,73,CL80_gp73,EUPHORIA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564724,72,CL80_gp72,EUPHORIA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564725,71,CL80_gp71,EUPHORIA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564726,70,CL80_gp70,EUPHORIA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564727,69,CL80_gp69,EUPHORIA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564728,68,CL80_gp68,EUPHORIA_68,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200927,-
1051140,18564729,67,CL80_gp67,EUPHORIA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564730,66,CL80_gp66,EUPHORIA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564731,65,CL80_gp65,EUPHORIA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564732,64,CL80_gp64,EUPHORIA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564733,63,CL80_gp63,EUPHORIA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564734,62,CL80_gp62,EUPHORIA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564735,61,CL80_gp61,EUPHORIA_61,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210406,-
1051140,18564736,60,CL80_gp60,EUPHORIA_60,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20200927,-
1051140,18564737,59,CL80_gp59,EUPHORIA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564738,58,CL80_gp58,EUPHORIA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564739,57,CL80_gp57,EUPHORIA_57,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20200927,-
1051140,18564740,56,CL80_gp56,EUPHORIA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1051140,18564741,55,CL80_gp55,EUPHORIA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564742,53,CL80_gp53,EUPHORIA_53,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
1051140,18564743,52,CL80_gp52,EUPHORIA_52,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
1051140,18564744,51,CL80_gp51,EUPHORIA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564745,50,CL80_gp50,EUPHORIA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564746,49,CL80_gp49,EUPHORIA_49,-,-,-,RDF protein,protein-coding,-,-,-,RDF protein,20200927,-
1051140,18564747,48,CL80_gp48,EUPHORIA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564748,47,CL80_gp47,EUPHORIA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564749,46,CL80_gp46,EUPHORIA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564750,45,CL80_gp45,EUPHORIA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564751,44,CL80_gp44,EUPHORIA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564752,43,CL80_gp43,EUPHORIA_43,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1051140,18564753,42,CL80_gp42,EUPHORIA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564754,41,CL80_gp41,EUPHORIA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564755,40,CL80_gp40,EUPHORIA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564756,39,CL80_gp39,EUPHORIA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564757,54,CL80_gp54,EUPHORIA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564758,1,CL80_gp01,EUPHORIA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18669527,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Euphoria; Mycobacterium phage Euphoria).,other,-,-,-,-,20200513,-
