#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034107,40233367,2,FGG23_gp002,PBI_IBHUBESI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1034107,40233396,31,FGG23_gp031,PBI_IBHUBESI_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1034107,40233397,32,FGG23_gp032,PBI_IBHUBESI_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1034107,40233398,33,FGG23_gp033,PBI_IBHUBESI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034107,40233399,34,FGG23_gp034,PBI_IBHUBESI_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233400,35,FGG23_gp035,PBI_IBHUBESI_35,-,-,-,DnaQ,protein-coding,-,-,-,DnaQ,20201220,-
1034107,40233401,36,FGG23_gp036,PBI_IBHUBESI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233402,37,FGG23_gp037,PBI_IBHUBESI_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233403,38,FGG23_gp038,PBI_IBHUBESI_38,-,-,-,PLA2-like domain protein,protein-coding,-,-,-,PLA2-like domain protein,20201220,-
1034107,40233404,39,FGG23_gp039,PBI_IBHUBESI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233405,40,FGG23_gp040,PBI_IBHUBESI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233406,41,FGG23_gp041,PBI_IBHUBESI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034107,40233407,42,FGG23_gp042,PBI_IBHUBESI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233408,43,FGG23_gp043,PBI_IBHUBESI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233409,44,FGG23_gp044,PBI_IBHUBESI_44,-,-,-,integrase,protein-coding,-,-,-,integrase,20210406,-
1034107,40233410,45,FGG23_gp045,PBI_IBHUBESI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233411,46,FGG23_gp046,PBI_IBHUBESI_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201220,-
1034107,40233412,47,FGG23_gp047,PBI_IBHUBESI_47,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201220,-
1034107,40233413,48,FGG23_gp048,PBI_IBHUBESI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233414,49,FGG23_gp049,PBI_IBHUBESI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1034107,40233415,50,FGG23_gp050,PBI_IBHUBESI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233416,51,FGG23_gp051,PBI_IBHUBESI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233417,52,FGG23_gp052,PBI_IBHUBESI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034107,40233418,53,FGG23_gp053,PBI_IBHUBESI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233419,54,FGG23_gp054,PBI_IBHUBESI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233420,55,FGG23_gp055,PBI_IBHUBESI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233421,56,FGG23_gp056,PBI_IBHUBESI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034107,40233422,57,FGG23_gp057,PBI_IBHUBESI_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20201220,-
1034107,40233423,58,FGG23_gp058,PBI_IBHUBESI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233424,59,FGG23_gp059,PBI_IBHUBESI_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20201220,-
1034107,40233425,60,FGG23_gp060,PBI_IBHUBESI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034107,40233426,61,FGG23_gp061,PBI_IBHUBESI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233427,62,FGG23_gp062,PBI_IBHUBESI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233428,63,FGG23_gp063,PBI_IBHUBESI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233429,64,FGG23_gp064,PBI_IBHUBESI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233430,65,FGG23_gp065,PBI_IBHUBESI_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
1034107,40233431,66,FGG23_gp066,PBI_IBHUBESI_66,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1034107,40233432,67,FGG23_gp067,PBI_IBHUBESI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233433,68,FGG23_gp068,PBI_IBHUBESI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233434,69,FGG23_gp069,PBI_IBHUBESI_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233435,70,FGG23_gp070,PBI_IBHUBESI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233436,71,FGG23_gp071,PBI_IBHUBESI_71,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1034107,40233437,72,FGG23_gp072,PBI_IBHUBESI_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233438,73,FGG23_gp073,PBI_IBHUBESI_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233439,74,FGG23_gp074,PBI_IBHUBESI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233440,75,FGG23_gp075,PBI_IBHUBESI_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233441,76,FGG23_gp076,PBI_IBHUBESI_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233442,77,FGG23_gp077,PBI_IBHUBESI_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233443,78,FGG23_gp078,PBI_IBHUBESI_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233444,79,FGG23_gp079,PBI_IBHUBESI_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233445,80,FGG23_gp080,PBI_IBHUBESI_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233446,81,FGG23_gp081,PBI_IBHUBESI_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233447,82,FGG23_gp082,PBI_IBHUBESI_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233448,83,FGG23_gp083,PBI_IBHUBESI_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233449,84,FGG23_gp084,PBI_IBHUBESI_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233450,85,FGG23_gp085,PBI_IBHUBESI_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233451,86,FGG23_gp086,PBI_IBHUBESI_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233452,87,FGG23_gp087,PBI_IBHUBESI_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233453,88,FGG23_gp088,PBI_IBHUBESI_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233454,89,FGG23_gp089,PBI_IBHUBESI_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233455,90,FGG23_gp090,PBI_IBHUBESI_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233456,91,FGG23_gp091,PBI_IBHUBESI_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233457,92,FGG23_gp092,PBI_IBHUBESI_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1034107,40233458,93,FGG23_gp093,PBI_IBHUBESI_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233459,94,FGG23_gp094,PBI_IBHUBESI_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233460,95,FGG23_gp095,PBI_IBHUBESI_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233461,96,FGG23_gp096,PBI_IBHUBESI_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233462,97,FGG23_gp097,PBI_IBHUBESI_97,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20201220,-
1034107,40233463,98,FGG23_gp098,PBI_IBHUBESI_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233464,99,FGG23_gp099,PBI_IBHUBESI_99,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210406,-
1034107,40233465,100,FGG23_gp100,PBI_IBHUBESI_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233466,101,FGG23_gp101,PBI_IBHUBESI_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233467,102,FGG23_gp102,PBI_IBHUBESI_102,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20210406,-
1034107,40233468,103,FGG23_gp103,PBI_IBHUBESI_103,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
1034107,40233469,1,FGG23_gp001,PBI_IBHUBESI_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40340339,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Ibhubesi; Mycobacterium phage Ibhubesi).,other,-,-,-,-,20200513,-
