#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015875,60336446,2,I5J45_gp02,SEA_BARTHOLOMEW_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2015875,60336511,68,I5J45_gp68,SEA_BARTHOLOMEW_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336512,69,I5J45_gp69,SEA_BARTHOLOMEW_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336513,70,I5J45_gp70,SEA_BARTHOLOMEW_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336514,71,I5J45_gp71,SEA_BARTHOLOMEW_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336515,72,I5J45_gp72,SEA_BARTHOLOMEW_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336516,73,I5J45_gp73,SEA_BARTHOLOMEW_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2015875,60336517,74,I5J45_gp74,SEA_BARTHOLOMEW_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336518,75,I5J45_gp75,SEA_BARTHOLOMEW_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336519,76,I5J45_gp76,SEA_BARTHOLOMEW_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336520,77,I5J45_gp77,SEA_BARTHOLOMEW_77,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2015875,60336521,44,I5J45_gp44,SEA_BARTHOLOMEW_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2015875,60336522,1,I5J45_gp01,SEA_BARTHOLOMEW_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2015875,60350499,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Bartholowmew; Mycobacterium phage Bartholowmew).,other,-,-,-,-,20201202,-
