#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2723899,65124878,KNU95_gp02,KNU95_gp02,XccvBFoX3_gp02,-,-,-,glycolate dehydrogenase,protein-coding,-,-,-,glycolate dehydrogenase,20210608,-
2723899,65124919,KNU95_gp43,KNU95_gp43,XccvBFoX3_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124920,KNU95_gp44,KNU95_gp44,XccvBFoX3_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124921,KNU95_gp45,KNU95_gp45,XccvBFoX3_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124922,KNU95_gp46,KNU95_gp46,XccvBFoX3_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124923,KNU95_gp47,KNU95_gp47,XccvBFoX3_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124924,KNU95_gp48,KNU95_gp48,XccvBFoX3_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124925,KNU95_gp49,KNU95_gp49,XccvBFoX3_gp49,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2723899,65124926,KNU95_gp50,KNU95_gp50,XccvBFoX3_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124927,KNU95_gp51,KNU95_gp51,XccvBFoX3_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124928,KNU95_gp52,KNU95_gp52,XccvBFoX3_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124929,KNU95_gp53,KNU95_gp53,XccvBFoX3_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124930,KNU95_gp54,KNU95_gp54,XccvBFoX3_gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124931,KNU95_gp55,KNU95_gp55,XccvBFoX3_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124932,KNU95_gp56,KNU95_gp56,XccvBFoX3_gp56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124933,KNU95_gp57,KNU95_gp57,XccvBFoX3_gp57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124934,KNU95_gp58,KNU95_gp58,XccvBFoX3_gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124935,KNU95_gp59,KNU95_gp59,XccvBFoX3_gp59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124936,KNU95_gp60,KNU95_gp60,XccvBFoX3_gp60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124937,KNU95_gp61,KNU95_gp61,XccvBFoX3_gp61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124938,KNU95_gp62,KNU95_gp62,XccvBFoX3_gp62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124939,KNU95_gp63,KNU95_gp63,XccvBFoX3_gp63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124940,KNU95_gp64,KNU95_gp64,XccvBFoX3_gp64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124941,KNU95_gp65,KNU95_gp65,XccvBFoX3_gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124942,KNU95_gp66,KNU95_gp66,XccvBFoX3_gp66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124943,KNU95_gp67,KNU95_gp67,XccvBFoX3_gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124944,KNU95_gp68,KNU95_gp68,XccvBFoX3_gp68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124945,KNU95_gp69,KNU95_gp69,XccvBFoX3_gp69c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124946,KNU95_gp70,KNU95_gp70,XccvBFoX3_gp70c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124947,KNU95_gp71,KNU95_gp71,XccvBFoX3_gp71c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124948,KNU95_gp72,KNU95_gp72,XccvBFoX3_gp72c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124949,KNU95_gp73,KNU95_gp73,XccvBFoX3_gp73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124950,KNU95_gp74,KNU95_gp74,XccvBFoX3_gp74,-,-,-,putative MOR transcription regulator,protein-coding,-,-,-,putative MOR transcription regulator,20210608,-
2723899,65124951,KNU95_gp75,KNU95_gp75,XccvBFoX3_gp75,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210608,-
2723899,65124952,KNU95_gp76,KNU95_gp76,XccvBFoX3_gp76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124953,KNU95_gp77,KNU95_gp77,XccvBFoX3_gp77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124954,KNU95_gp78,KNU95_gp78,XccvBFoX3_gp78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124955,KNU95_gp01,KNU95_gp01,XccvBFoX3_gp01,-,-,-,putative small terminase,protein-coding,-,-,-,putative small terminase,20210608,-
2723899,65243396,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
