#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698357,26639140,SEA_DANTE_2,SEA_DANTE_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1698357,26639208,SEA_DANTE_70,SEA_DANTE_70,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200629,-
1698357,26639209,SEA_DANTE_71,SEA_DANTE_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639210,SEA_DANTE_72,SEA_DANTE_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639211,SEA_DANTE_73,SEA_DANTE_73,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1698357,26639212,SEA_DANTE_74,SEA_DANTE_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639213,SEA_DANTE_75,SEA_DANTE_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639214,SEA_DANTE_76,SEA_DANTE_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639215,SEA_DANTE_77,SEA_DANTE_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639216,SEA_DANTE_78,SEA_DANTE_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639217,SEA_DANTE_79,SEA_DANTE_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639218,SEA_DANTE_80,SEA_DANTE_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639219,SEA_DANTE_81,SEA_DANTE_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639220,SEA_DANTE_82,SEA_DANTE_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639221,SEA_DANTE_83,SEA_DANTE_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639222,SEA_DANTE_84,SEA_DANTE_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639223,SEA_DANTE_85,SEA_DANTE_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639224,SEA_DANTE_86,SEA_DANTE_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639225,SEA_DANTE_87,SEA_DANTE_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639226,SEA_DANTE_88,SEA_DANTE_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639227,SEA_DANTE_89,SEA_DANTE_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639228,SEA_DANTE_90,SEA_DANTE_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639229,SEA_DANTE_91,SEA_DANTE_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1698357,26639230,SEA_DANTE_92,SEA_DANTE_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639231,SEA_DANTE_93,SEA_DANTE_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639232,SEA_DANTE_94,SEA_DANTE_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639233,SEA_DANTE_95,SEA_DANTE_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639234,SEA_DANTE_96,SEA_DANTE_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639235,SEA_DANTE_97,SEA_DANTE_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639236,SEA_DANTE_98,SEA_DANTE_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639237,SEA_DANTE_99,SEA_DANTE_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639238,SEA_DANTE_100,SEA_DANTE_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639239,SEA_DANTE_101,SEA_DANTE_101,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200629,-
1698357,26639240,SEA_DANTE_102,SEA_DANTE_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639241,SEA_DANTE_103,SEA_DANTE_103,-,-,-,-,N-acetylglucosaminyl transferase,protein-coding,-,-,-,N-acetylglucosaminyl transferase,20200629,-
1698357,26639242,SEA_DANTE_104,SEA_DANTE_104,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1698357,26639243,SEA_DANTE_105,SEA_DANTE_105,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1698357,26639244,SEA_DANTE_1,SEA_DANTE_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1698357,26680919,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Dante).,other,-,-,-,-,20200513,-
