#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1526408,22110048,P108_0002,P108_0002,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1526408,22110095,P108_0049,P108_0049,-,-,-,-,putative Ig-like protein,protein-coding,-,-,-,putative Ig-like protein,20200629,-
1526408,22110096,P108_0050,P108_0050,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200629,-
1526408,22110097,P108_0051,P108_0051,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200629,-
1526408,22110098,P108_0052,P108_0052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110099,P108_0053,P108_0053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110100,P108_0054,P108_0054,-,-,-,-,putative DNA repair exonuclease,protein-coding,-,-,-,putative DNA repair exonuclease,20200629,-
1526408,22110101,P108_0055,P108_0055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110102,P108_0056,P108_0056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110103,P108_0057,P108_0057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110104,P108_0058,P108_0058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110105,P108_0059,P108_0059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110106,P108_0060,P108_0060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110107,P108_0061,P108_0061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110108,P108_0062,P108_0062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110109,P108_0063,P108_0063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110110,P108_0064,P108_0064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110111,P108_0065,P108_0065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110112,P108_0066,P108_0066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110113,P108_0067,P108_0067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110114,P108_0068,P108_0068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110115,P108_0069,P108_0069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110116,P108_0070,P108_0070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110117,P108_0071,P108_0071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110118,P108_0072,P108_0072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110119,P108_0073,P108_0073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110120,P108_0074,P108_0074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110121,P108_0075,P108_0075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110122,P108_0076,P108_0076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110123,P108_0077,P108_0077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110124,P108_0078,P108_0078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110125,P108_0079,P108_0079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110126,P108_0080,P108_0080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110127,P108_0081,P108_0081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110128,P108_0082,P108_0082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110129,P108_0083,P108_0083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110130,P108_0084,P108_0084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1526408,22110131,P108_0085,P108_0085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110132,P108_0086,P108_0086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1526408,22110133,P108_0087,P108_0087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110134,P108_0088,P108_0088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110135,P108_0089,P108_0089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110136,P108_0090,P108_0090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110137,P108_0091,P108_0091,-,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210406,-
1526408,22110138,P108_0092,P108_0092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110139,P108_0093,P108_0093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110140,P108_0094,P108_0094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110141,P108_0095,P108_0095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110142,P108_0096,P108_0096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110143,P108_0097,P108_0097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110144,P108_0098,P108_0098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110145,P108_0099,P108_0099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110146,P108_0100,P108_0100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110147,P108_0101,P108_0101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110148,P108_0102,P108_0102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110149,P108_0103,P108_0103,-,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20200905,-
1526408,22110150,P108_0104,P108_0104,-,-,-,-,nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,nicotinamide phosphoribosyltransferase,20200629,-
1526408,22110151,P108_0105,P108_0105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110152,P108_0106,P108_0106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110153,P108_0107,P108_0107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110154,P108_0108,P108_0108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110155,P108_0109,P108_0109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110156,P108_0110,P108_0110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110157,P108_0111,P108_0111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110158,P108_0112,P108_0112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110159,P108_0113,P108_0113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110160,P108_0114,P108_0114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110161,P108_0115,P108_0115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110162,P108_0116,P108_0116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110163,P108_0117,P108_0117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110164,P108_0118,P108_0118,-,-,-,-,terminal repeat-encoded protein,protein-coding,-,-,-,terminal repeat-encoded protein,20200629,-
1526408,22110165,P108_0119,P108_0119,-,-,-,-,terminal repeat-encoded protein,protein-coding,-,-,-,terminal repeat-encoded protein,20200629,-
1526408,22110166,P108_0120,P108_0120,-,-,-,-,terminal repeat-encoded protein,protein-coding,-,-,-,terminal repeat-encoded protein,20200629,-
1526408,22110167,P108_0121,P108_0121,-,-,-,-,terminal repeat-encoded protein,protein-coding,-,-,-,terminal repeat-encoded protein,20200629,-
1526408,22110168,P108_0122,P108_0122,-,-,-,-,terminal repeat-encoded protein,protein-coding,-,-,-,terminal repeat-encoded protein,20200629,-
1526408,22110169,P108_0123,P108_0123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1526408,22110170,P108_0124,P108_0124,-,-,-,-,terminal repeat-encoded protein,protein-coding,-,-,-,terminal repeat-encoded protein,20200629,-
1526408,22110171,P108_0125,P108_0125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110172,P108_0126,P108_0126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110173,P108_0127,P108_0127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110174,P108_0128,P108_0128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110175,P108_0129,P108_0129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110176,P108_0130,P108_0130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110177,P108_0131,P108_0131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110178,P108_0132,P108_0132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110179,P108_0133,P108_0133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110180,P108_0134,P108_0134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110181,P108_0135,P108_0135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110182,P108_0136,P108_0136,-,-,-,-,terminal repeat-encoded protein,protein-coding,-,-,-,terminal repeat-encoded protein,20200629,-
1526408,22110183,P108_0137,P108_0137,-,-,-,-,terminal repeat-encoded protein,protein-coding,-,-,-,terminal repeat-encoded protein,20200629,-
1526408,22110184,P108_0138,P108_0138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110185,P108_0139,P108_0139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110186,P108_0140,P108_0140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110187,P108_0141,P108_0141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110188,P108_0142,P108_0142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110189,P108_0143,P108_0143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110190,P108_0144,P108_0144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110191,P108_0145,P108_0145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110192,P108_0146,P108_0146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110193,P108_0147,P108_0147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110194,P108_0148,P108_0148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110195,P108_0149,P108_0149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110196,P108_0150,P108_0150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110197,P108_0151,P108_0151,-,-,-,-,serine threonine protein phosphatase,protein-coding,-,-,-,serine threonine protein phosphatase,20200629,-
1526408,22110198,P108_r01,P108_r01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1526408,22110199,P108_0153,P108_0153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110200,P108_0154,P108_0154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110201,P108_0155,P108_0155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110202,P108_0156,P108_0156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110203,P108_0157,P108_0157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110204,P108_0158,P108_0158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110205,P108_0159,P108_0159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110206,P108_0160,P108_0160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110207,P108_0161,P108_0161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110208,P108_0162,P108_0162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110209,P108_0163,P108_0163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110210,P108_0164,P108_0164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110211,P108_0165,P108_0165,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200629,-
1526408,22110212,P108_0166,P108_0166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110213,P108_0167,P108_0167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1526408,22110214,P108_0168,P108_0168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110215,P108_0169,P108_0169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110216,P108_0170,P108_0170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110217,P108_0171,P108_0171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110218,P108_0172,P108_0172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110219,P108_0173,P108_0173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110220,P108_0174,P108_0174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110221,P108_0175,P108_0175,-,-,-,-,nucleoside 2-deoxyribosyltransferase,protein-coding,-,-,-,nucleoside 2-deoxyribosyltransferase,20200629,-
1526408,22110222,P108_0176,P108_0176,-,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20210424,-
1526408,22110223,P108_0177,P108_0177,-,-,-,-,phosphate starvation-inducible protein,protein-coding,-,-,-,phosphate starvation-inducible protein,20210406,-
1526408,22110224,P108_0178,P108_0178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110225,P108_0179,P108_0179,-,-,-,-,putative ribonuclease,protein-coding,-,-,-,putative ribonuclease,20210406,-
1526408,22110226,P108_0180,P108_0180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110227,P108_0181,P108_0181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110228,P108_0182,P108_0182,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1526408,22110229,P108_0183,P108_0183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110230,P108_0184,P108_0184,-,-,-,-,immunodominant staphylococcal antigen A precursor,protein-coding,-,-,-,immunodominant staphylococcal antigen A precursor,20200629,-
1526408,22110231,P108_0185,P108_0185,-,-,-,-,immunodominant staphylococcal antigen A precursor,protein-coding,-,-,-,immunodominant staphylococcal antigen A precursor,20200629,-
1526408,22110232,P108_0186,P108_0186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110233,P108_0187,P108_0187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110234,P108_0188,P108_0188,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200629,-
1526408,22110235,P108_0189,P108_0189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110236,P108_0190,P108_0190,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1526408,22110237,P108_0191,P108_0191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110238,P108_r02,P108_r02,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1526408,22110239,P108_0193,P108_0193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110240,P108_0194,P108_0194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110241,P108_0195,P108_0195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110242,P108_0196,P108_0196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110243,P108_0197,P108_0197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110244,P108_0198,P108_0198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110245,P108_0199,P108_0199,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1526408,22110246,P108_0200,P108_0200,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1526408,22110247,P108_0201,P108_0201,-,-,-,-,virion component,protein-coding,-,-,-,virion component,20200629,-
1526408,22110248,P108_0202,P108_0202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110249,P108_0203,P108_0203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110250,P108_0204,P108_0204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110251,P108_0205,P108_0205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1526408,22110252,P108_0206,P108_0206,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200629,-
1526408,22110253,P108_0207,P108_0207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110254,P108_0208,P108_0208,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1526408,22110255,P108_0209,P108_0209,-,-,-,-,HK97 familygprohead protease,protein-coding,-,-,-,HK97 familygprohead protease,20201221,-
1526408,22110256,P108_0210,P108_0210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110257,P108_0211,P108_0211,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1526408,22110258,P108_0212,P108_0212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110259,P108_0213,P108_0213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110260,P108_0214,P108_0214,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
1526408,22110261,P108_0215,P108_0215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1526408,22110262,P108_0216,P108_0216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
