#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458725,22110628,2,PBI_SOTO_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1458725,22110644,18,PBI_SOTO_18,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1458725,22110645,19,PBI_SOTO_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110646,20,PBI_SOTO_20,-,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201221,-
1458725,22110647,21,PBI_SOTO_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110648,22,PBI_SOTO_22,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1458725,22110649,23,PBI_SOTO_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110650,24,PBI_SOTO_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110651,25,PBI_SOTO_25,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1458725,22110652,26,PBI_SOTO_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110653,27,PBI_SOTO_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110654,28,PBI_SOTO_28,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1458725,22110655,29,PBI_SOTO_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458725,22110656,30,PBI_SOTO_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458725,22110657,31,PBI_SOTO_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458725,22110658,32,PBI_SOTO_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458725,22110659,33,PBI_SOTO_33,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458725,22110660,34,PBI_SOTO_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110661,35,PBI_SOTO_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110662,36,PBI_SOTO_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110663,37,PBI_SOTO_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110664,38,PBI_SOTO_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110665,39,PBI_SOTO_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110666,40,PBI_SOTO_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110667,41,PBI_SOTO_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110668,42,PBI_SOTO_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110669,43,PBI_SOTO_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110670,44,PBI_SOTO_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110671,45,PBI_SOTO_45,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1458725,22110672,46,PBI_SOTO_46,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1458725,22110673,47,PBI_SOTO_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110674,48,PBI_SOTO_48,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1458725,22110675,49,PBI_SOTO_49,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1458725,22110676,50,PBI_SOTO_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110677,51,PBI_SOTO_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110678,52,PBI_SOTO_52,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1458725,22110679,53,PBI_SOTO_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110680,54,PBI_SOTO_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110681,55,PBI_SOTO_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110682,56,PBI_SOTO_56,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1458725,22110683,57,PBI_SOTO_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110684,58,PBI_SOTO_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110685,59,PBI_SOTO_59,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1458725,22110686,60,PBI_SOTO_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110687,61,PBI_SOTO_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110688,62,PBI_SOTO_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110689,63,PBI_SOTO_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110690,64,PBI_SOTO_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110691,65,PBI_SOTO_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110692,66,PBI_SOTO_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110693,67,PBI_SOTO_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110694,68,PBI_SOTO_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110695,69,PBI_SOTO_69,-,-,-,-,RnaseE-like protein,protein-coding,-,-,-,RnaseE-like protein,20201221,-
1458725,22110696,70,PBI_SOTO_70,-,-,-,-,PLA2-like protein,protein-coding,-,-,-,PLA2-like protein,20210123,-
1458725,22110697,71,PBI_SOTO_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110698,72,PBI_SOTO_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110699,73,PBI_SOTO_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110700,74,PBI_SOTO_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110701,75,PBI_SOTO_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110702,76,PBI_SOTO_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110703,77,PBI_SOTO_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110704,78,PBI_SOTO_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110705,79,PBI_SOTO_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110706,80,PBI_SOTO_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110707,81,PBI_SOTO_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110708,82,PBI_SOTO_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110709,83,PBI_SOTO_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110710,84,PBI_SOTO_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110711,85,PBI_SOTO_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110712,86,PBI_SOTO_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110713,87,PBI_SOTO_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110714,88,PBI_SOTO_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110715,89,PBI_SOTO_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110716,90,PBI_SOTO_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110717,91,PBI_SOTO_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110718,92,PBI_SOTO_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110719,93,PBI_SOTO_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110720,94,PBI_SOTO_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110721,95,PBI_SOTO_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110722,96,PBI_SOTO_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110723,97,PBI_SOTO_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110724,98,PBI_SOTO_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110725,1,PBI_SOTO_1,-,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20201221,-
1458725,22203798,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Soto).,other,-,-,-,-,20200513,-
