#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1983784,55002792,HOU10_gp02,HOU10_gp02,P26059B_0002,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20210403,-
1983784,55002811,HOU10_gp21,HOU10_gp21,P26059B_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1983784,55002812,HOU10_gp22,HOU10_gp22,P26059B_0022,-,-,-,ribonuclease H-like domain-containing protein,protein-coding,-,-,-,ribonuclease H-like domain-containing protein,20210403,-
1983784,55002813,HOU10_gp23,HOU10_gp23,P26059B_0023,-,-,-,DNA endonuclease VII,protein-coding,-,-,-,DNA endonuclease VII,20210403,-
1983784,55002814,HOU10_gp24,HOU10_gp24,P26059B_0024,-,-,-,DNA exonuclease,protein-coding,-,-,-,DNA exonuclease,20210403,-
1983784,55002815,HOU10_gp25,HOU10_gp25,P26059B_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1983784,55002816,HOU10_gp26,HOU10_gp26,P26059B_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002817,HOU10_gp27,HOU10_gp27,P26059B_0027,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
1983784,55002818,HOU10_gp28,HOU10_gp28,P26059B_0028,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
1983784,55002819,HOU10_gp29,HOU10_gp29,P26059B_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002820,HOU10_gp30,HOU10_gp30,P26059B_0030,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
1983784,55002821,HOU10_gp31,HOU10_gp31,P26059B_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002822,HOU10_gp32,HOU10_gp32,P26059B_0032,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200629,-
1983784,55002823,HOU10_gp33,HOU10_gp33,P26059B_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002824,HOU10_gp34,HOU10_gp34,P26059B_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002825,HOU10_gp35,HOU10_gp35,P26059B_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002826,HOU10_gp36,HOU10_gp36,P26059B_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002827,HOU10_gp37,HOU10_gp37,P26059B_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002828,HOU10_gp38,HOU10_gp38,P26059B_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002829,HOU10_gp39,HOU10_gp39,P26059B_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1983784,55002830,HOU10_gp40,HOU10_gp40,P26059B_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002831,HOU10_gp41,HOU10_gp41,P26059B_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002832,HOU10_gp42,HOU10_gp42,P26059B_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002833,HOU10_gp43,HOU10_gp43,P26059B_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002834,HOU10_gp44,HOU10_gp44,P26059B_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002835,HOU10_gp45,HOU10_gp45,P26059B_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1983784,55002836,HOU10_gp46,HOU10_gp46,P26059B_0046,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20210403,-
1983784,55002837,HOU10_gp01,HOU10_gp01,P26059B_0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55153509,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
