#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458714,19488371,2,SEABISCUIT_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1458714,19488405,38,SEABISCUIT_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488406,39,SEABISCUIT_39,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200910,-
1458714,19488407,40,SEABISCUIT_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488408,41,SEABISCUIT_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488409,42,SEABISCUIT_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488410,43,SEABISCUIT_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488411,44,SEABISCUIT_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488412,45,SEABISCUIT_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488413,46,SEABISCUIT_46,-,-,-,-,DNA polymerase 1,protein-coding,-,-,-,DNA polymerase 1,20200910,-
1458714,19488414,47,SEABISCUIT_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488415,48,SEABISCUIT_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488416,49,SEABISCUIT_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488417,50,SEABISCUIT_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488418,51,SEABISCUIT_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488419,52,SEABISCUIT_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488420,53,SEABISCUIT_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488421,54,SEABISCUIT_54,-,-,-,-,RDF protein,protein-coding,-,-,-,RDF protein,20200910,-
1458714,19488422,55,SEABISCUIT_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488423,56,SEABISCUIT_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488424,57,SEABISCUIT_57,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
1458714,19488425,58,SEABISCUIT_58,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1458714,19488426,59,SEABISCUIT_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488427,60,SEABISCUIT_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488428,61,SEABISCUIT_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488429,62,SEABISCUIT_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488430,63,SEABISCUIT_63,-,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20200910,-
1458714,19488431,64,SEABISCUIT_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488432,65,SEABISCUIT_65,-,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20210424,-
1458714,19488433,66,SEABISCUIT_66,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210417,-
1458714,19488434,67,SEABISCUIT_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488435,68,SEABISCUIT_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488436,69,SEABISCUIT_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
1458714,19488437,70,SEABISCUIT_70,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200910,-
1458714,19488438,71,SEABISCUIT_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488439,72,SEABISCUIT_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1458714,19488440,73,SEABISCUIT_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1458714,19488441,74,SEABISCUIT_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488442,75,SEABISCUIT_75,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20200910,-
1458714,19488443,76,SEABISCUIT_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488444,77,SEABISCUIT_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488445,78,SEABISCUIT_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488446,79,SEABISCUIT_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488447,80,SEABISCUIT_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488448,81,SEABISCUIT_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488449,82,SEABISCUIT_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488450,83,SEABISCUIT_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488451,84,SEABISCUIT_84,-,-,-,-,DnaJ-like protein,protein-coding,-,-,-,DnaJ-like protein,20200912,-
1458714,19488452,86,SEABISCUIT_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488453,88,SEABISCUIT_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488454,89,SEABISCUIT_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488455,90,SEABISCUIT_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488456,91,SEABISCUIT_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488457,92,SEABISCUIT_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488458,93,SEABISCUIT_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488459,94,SEABISCUIT_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488460,95,SEABISCUIT_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488461,5,SEABISCUIT_5,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1458714,19488462,85,SEABISCUIT_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488463,87,SEABISCUIT_87,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200910,-
1458714,19488464,1,SEABISCUIT_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488465,3,SEABISCUIT_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19554965,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Seabiscuit).,other,-,-,-,-,20200513,-
